"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"874c958d-9274-40c0-b4cb-6751b31c4a0d","Pforzheimer Part 1_entry-32.0_11.txt","ARNOLD, Ricuarp","char-offset:5","","","","","","","","","Author","","",""
"bb82a513-84a7-4b64-ba06-5084b84eff77","Pforzheimer Part 1_entry-32.0_11.txt","CHRONICLE OF LONDON","char-offset:41","","","","","","","","","Title","","",""
"1fd36ca2-ba19-4d78-b16d-2872eff67a1a","Pforzheimer Part 1_entry-32.0_11.txt","The Hoe","char-offset:974","PERSON","","","","","","","","","","",""
"a565cc14-db93-47ef-8c18-8245c6e4698e","Pforzheimer Part 1_entry-32.0_11.txt","The Hoe (II, 1912, Lot 143)","char-offset:974","EVENT","","","","","","","","","","",""
"ac9b3273-ad01-4da1-9a0a-750588a603d5","Pforzheimer Part 1_entry-32.0_11.txt","1912","char-offset:987","","","","","","","","","AuctionYear","","",""
"90d0c3a3-5213-483d-91bf-6d72f1b6f6b3","Pforzheimer Part 1_entry-32.0_11.txt","Hunting-  ton (private)","char-offset:1004","EVENT","","","","","","","","","","",""
"b831ad9a-7008-4f56-92f3-da1e1d21968b","Pforzheimer Part 1_entry-32.0_11.txt","Hunting-  ton","char-offset:1004","PERSON","","","","","","","","","","",""
"7efb43ab-1fdf-45c4-b993-dbb510cbcccd","Pforzheimer Part 1_entry-32.0_11.txt","Clawson","char-offset:1030","PERSON","","","","","","","","","","",""
"1f074d5c-df9f-4ad7-a937-55e18d870fb2","Pforzheimer Part 1_entry-32.0_11.txt","Clawson (I, 1926, Lot 13)","char-offset:1030","EVENT","","","","","","","","","","",""
"b42d64d1-8643-401f-b91b-9993d0607a8f","Pforzheimer Part 1_entry-32.0_11.txt","1926","char-offset:1042","","","","","","","","","AuctionYear","","",""
"dcb40aa4-73d5-494d-ad63-548a6d440ec0","Pforzheimer Part 1_entry-33.0_12.txt","Sotheby’s","char-offset:1139","PERSON","","","","","","","","","","",""
"d0b75f89-6614-4999-9ce8-d8cadf69a8f0","Pforzheimer Part 1_entry-33.0_12.txt","Sotheby’s 3 December 1900","char-offset:1139","EVENT","","","","","","","","","","",""
"95a4fe8b-3430-4c52-882e-517b2e55318e","Pforzheimer Part 1_entry-33.0_12.txt","1900","char-offset:1160","","","","","","","","","AuctionYear","","",""
"8b2fe472-68a9-4457-aa8a-9fa39166e7d2","Pforzheimer Part 1_entry-33.0_12.txt","The Hagen (1918, Lot 984)","char-offset:1166","EVENT","","","","","","","","","","",""
"a5c8dc30-9261-47d3-b6d8-fa9393c5e2e5","Pforzheimer Part 1_entry-33.0_12.txt","The Hagen","char-offset:1166","PERSON","","","","","","","","","","",""
"3aced307-08e1-41bf-b3e0-7a1f4476f3c3","Pforzheimer Part 1_entry-33.0_12.txt","1918","char-offset:1177","","","","","","","","","AuctionYear","","",""
"b1c3a96d-2d8b-44db-8ae3-13735f704f30","Pforzheimer Part 1_entry-38.0_16.txt","For binding and provenance see 4 report, [c.1 570]. 7X § inches.  ","char-offset:1144","","","","","","","","","Auction","","",""
"da5da852-b0a5-4cf1-b73d-cf3149a3bac4","Pforzheimer Part 1_entry-43.0_21.txt","The Joseph Hunter","char-offset:1314","PERSON","","","","","","","","","","",""
"3edf4bb3-7d32-4637-9974-cf5339f0fbb6","Pforzheimer Part 1_entry-43.0_21.txt","B.H.Bright (1845, Lot 876)","char-offset:1333","EVENT","","","","","","","","","","",""
"c4a497ad-d750-482e-a84f-ffb236b4df1b","Pforzheimer Part 1_entry-43.0_21.txt","B.H.Bright","char-offset:1333","PERSON","","","","","","","","","","",""
"f7ee0c70-21ed-46cc-a47f-5898a8c7370c","Pforzheimer Part 1_entry-43.0_21.txt","1845","char-offset:1345","","","","","","","","","AuctionYear","","",""
"d40d16fd-75c1-4d3c-b6aa-6554a8883cb6","Pforzheimer Part 1_entry-44.0_22.txt","The Heber","char-offset:2308","PERSON","","","","","","","","","","",""
"769529e6-afe4-4170-8181-6fc33e595c31","Pforzheimer Part 1_entry-44.0_22.txt","The Heber (VIII, 1836, Lot 62","char-offset:2308","EVENT","","","","","","","","","","",""
"85a2d6fe-1856-49dc-8543-5d9296c9d669","Pforzheimer Part 1_entry-44.0_22.txt","1836","char-offset:2325","","","","","","","","","AuctionYear","","",""
"0188e562-3374-475c-a22e-0ca17937f2e2","Pforzheimer Part 1_entry-44.0_22.txt","62","char-offset:2335","","","","","","","","","Lot","","",""
"0d2ff7b1-4910-4c42-99a7-648cbcdefe92","Pforzheimer Part 1_entry-44.0_22.txt","Corser (I, 1868, Lot 145)","char-offset:2341","EVENT","","","","","","","","","","",""
"fb99973e-ca5b-49d1-b0f8-3a5087625cb1","Pforzheimer Part 1_entry-44.0_22.txt","Corser","char-offset:2341","PERSON","","","","","","","","","","",""
"9be21eec-dd75-437d-a070-17888451f433","Pforzheimer Part 1_entry-44.0_22.txt","1868","char-offset:2352","","","","","","","","","AuctionYear","","",""
"847f37b3-18a1-443a-8483-7fcb31455794","Pforzheimer Part 1_entry-44.0_22.txt","145","char-offset:2362","","","","","","","","","Lot","","",""
"c1cf6466-bd06-4eca-822a-a72c5f6c7516","Pforzheimer Part 1_entry-44.0_22.txt","R.H. Turner","char-offset:2369","PERSON","","","","","","","","","","",""
"e1c047da-8cd9-41c7-ac7b-9faf22fd5b2a","Pforzheimer Part 1_entry-44.0_22.txt","R.H. Turner (I, 1888, Lot 265)","char-offset:2369","EVENT","","","","","","","","","","",""
