"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"5e1f09d3-af15-4e37-9031-1f5c4d7f8cd1","Pforzheimer Part 3_entry-181.0_946.txt","Bowle","char-offset:1072","PERSON","","","","","","","","","","",""
"1cb7c32b-e449-481b-95c5-708c890f4afa","Pforzheimer Part 3_entry-181.0_946.txt","Bowle (1790, Lot 10004)","char-offset:1072","EVENT","","","","","","","","","","",""
"a400194c-8e62-418f-9ceb-1f3382737845","Pforzheimer Part 3_entry-181.0_946.txt","1790","char-offset:1079","","","","","","","","","AuctionYear","","",""
"d765bc15-e036-419f-95bb-d40058053e66","Pforzheimer Part 3_entry-181.0_946.txt","10004","char-offset:1089","","","","","","","","","Lot","","",""
"10c7f7e4-c6fe-4a86-b296-0f3cb872d105","Pforzheimer Part 3_entry-181.0_946.txt","Chalmers (II, 1842, Lot 567)","char-offset:1098","EVENT","","","","","","","","","","",""
"c614b8ad-1d0e-47d6-83fc-fce426aa75a8","Pforzheimer Part 3_entry-181.0_946.txt","Chalmers","char-offset:1098","PERSON","","","","","","","","","","",""
"e6b4fee9-6f5e-49ac-acbc-6c126dd0e633","Pforzheimer Part 3_entry-181.0_946.txt","1842","char-offset:1112","","","","","","","","","AuctionYear","","",""
"aa25e8f3-20c3-4992-9ccc-660e84cd42dd","Pforzheimer Part 3_entry-181.0_946.txt","567","char-offset:1122","","","","","","","","","Lot","","",""
"84556a8b-5628-4839-b846-979d37496ee0","Pforzheimer Part 3_entry-181.0_946.txt","Corser (V, 1870, Lot 742","char-offset:1129","EVENT","","","","","","","","","","",""
"b5011559-0193-4a49-a396-690abe10f274","Pforzheimer Part 3_entry-181.0_946.txt","Corser","char-offset:1129","PERSON","","","","","","","","","","",""
"678dc278-9cf8-4930-9d4c-94e8c74e8b9b","Pforzheimer Part 3_entry-181.0_946.txt","1870","char-offset:1140","","","","","","","","","AuctionYear","","",""
"d279ac61-5a04-4bcb-bf84-73dcbb5c16c2","Pforzheimer Part 3_entry-181.0_946.txt","742","char-offset:1150","","","","","","","","","Lot","","",""
