"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"c4f7c035-4a2e-4b13-ac0a-0f9530ddf189","Pforzheimer Part 3_entry-393.0_MS.10B.txt","Alfred Morrison","char-offset:231","PERSON","","","","","","","","","","",""
"9e9665ee-e5c8-492b-922a-f693790baf1b","Pforzheimer Part 3_entry-393.0_MS.10B.txt","Alfred Morrison (IV, 1919, Lot 2933)","char-offset:231","EVENT","","","","","","","","","","",""
"f1863f9d-a385-4c3c-bf4f-949b1a5e90a7","Pforzheimer Part 3_entry-393.0_MS.10B.txt","1919","char-offset:252","","","","","","","","","AuctionYear","","",""
"c5853253-b195-4609-a973-eed0b129a595","Pforzheimer Part 3_entry-393.0_MS.10B.txt","2933","char-offset:262","","","","","","","","","Lot","","",""
"93cec891-a1d4-4491-adcb-e96afd522eba","Pforzheimer Part 3_entry-392.0_MS.10a.txt","Alfred Morrison","char-offset:331","PERSON","","","","","","","","","","",""
"4c09388f-ada0-466b-8e03-6d6998f06f9b","Pforzheimer Part 3_entry-392.0_MS.10a.txt","Alfred Morrison  (IV, 1919, Lot 2933).","char-offset:331","EVENT","","","","","","","","","","",""
"7a88b92c-0eca-4f2d-abbc-c98b5a538105","Pforzheimer Part 3_entry-392.0_MS.10a.txt","1919","char-offset:353","","","","","","","","","AuctionYear","","",""
"326e3fe5-05d3-4ca9-be8a-07513170bf52","Pforzheimer Part 3_entry-392.0_MS.10a.txt","2933","char-offset:363","","","","","","","","","Lot","","",""
"673f7083-4358-4cbc-bcff-2806c285be43","Pforzheimer Part 3_entry-395.0_MS.11C.txt","Henry  Porter (1879, Lot 104)","char-offset:428","EVENT","","","","","","","","","","",""
"bc8169d9-ce79-4d7f-afce-0bf3c7d568fd","Pforzheimer Part 3_entry-395.0_MS.11C.txt","Henry  Porter","char-offset:428","PERSON","","","","","","","","","","",""
"8360432d-2d75-4603-b8ce-1954b5d4ba83","Pforzheimer Part 3_entry-395.0_MS.11C.txt","1879","char-offset:443","","","","","","","","","AuctionYear","","",""
"05e686d1-4067-47fe-81d8-217e7219e343","Pforzheimer Part 3_entry-395.0_MS.11C.txt","104","char-offset:453","","","","","","","","","Lot","","",""
"8212157f-927b-47e5-a88e-673b16101dc6","Pforzheimer Part 3_entry-395.0_MS.11C.txt","Alfred Morrison (IV, 1919, Lot 2933).","char-offset:459","EVENT","","","","","","","","","","",""
"6836c9f8-edb5-43c5-9e8f-4dde271717db","Pforzheimer Part 3_entry-395.0_MS.11C.txt","Alfred Morrison","char-offset:459","PERSON","","","","","","","","","","",""
"5f6c7ac5-549c-40ed-9a13-976e8bdbd8ce","Pforzheimer Part 3_entry-395.0_MS.11C.txt","1919","char-offset:480","","","","","","","","","AuctionYear","","",""
"8b231cf1-ce10-4a7e-acc2-bcaeb84fc77a","Pforzheimer Part 3_entry-395.0_MS.11C.txt","2933","char-offset:490","","","","","","","","","Lot","","",""
"be052e4a-f9ee-4dac-b2a2-552e9ec2170d","Pforzheimer Part 3_entry-393.5_MS.11A.txt","Alfred Morrison (IV, 1919, Lot 2803)","char-offset:356","EVENT","","","","","","","","","","",""
"aecffd09-aeaa-4f0f-a048-7743a962e4c7","Pforzheimer Part 3_entry-393.5_MS.11A.txt","Alfred Morrison","char-offset:356","PERSON","","","","","","","","","","",""
"96043935-5adc-4092-96e5-f72aaa4503bc","Pforzheimer Part 3_entry-393.5_MS.11A.txt","1919","char-offset:377","","","","","","","","","AuctionYear","","",""
"d64f1d23-4df6-4514-a565-0fc50b35f289","Pforzheimer Part 3_entry-393.5_MS.11A.txt","2803","char-offset:387","","","","","","","","","Lot","","",""
"40d14e4a-59a8-47a4-a2a9-85dc1d6e75a6","Pforzheimer Part 3_entry-384.0_MS.2dd.txt","Thorn  Drury","char-offset:314","PERSON","","","","","","","","","","",""
"26eac20f-0b52-4858-b323-f443c21b2778","Pforzheimer Part 3_entry-384.0_MS.2dd.txt","Thorn  Drury  (IV, 1932, Lot 2395)","char-offset:314","EVENT","","","","","","","","","","",""
"8ea56297-2d87-4079-9c16-87cd017481b5","Pforzheimer Part 3_entry-384.0_MS.2dd.txt","1932","char-offset:333","","","","","","","","","AuctionYear","","",""
"8914fffe-185a-4979-b867-e0a41d2fd122","Pforzheimer Part 3_entry-384.0_MS.2dd.txt","2395","char-offset:343","","","","","","","","","Lot","","",""
"8e651764-9593-4c26-8d2b-c90ba5225331","Pforzheimer Part 3_entry-384.0_MS.2dd.txt","Stevens’s","char-offset:350","PERSON","","","","","","","","","","",""
"770b06ed-335b-4a51-bf5f-8c14e0d567e9","Pforzheimer Part 3_entry-384.0_MS.2dd.txt","Stevens’s (13 February  1932, Lot 15).","char-offset:350","EVENT","","","","","","","","","","",""
"3fb5f468-9709-4996-88df-b60bda01a377","Pforzheimer Part 3_entry-384.0_MS.2dd.txt","1932","char-offset:374","","","","","","","","","AuctionYear","","",""
"15117393-aac4-4231-a3af-1b7e9c3915c0","Pforzheimer Part 3_entry-384.0_MS.2dd.txt","15","char-offset:384","","","","","","","","","Lot","","",""
