"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"ea12aef0-6f1d-4f71-9ce3-78f639297621","Pforzheimer Part 3_entry-426.0_MS.35I.txt","Upcott sale (1846, Lot 429).","char-offset:492","EVENT","","","","","","","","","","",""
"e4001573-7f2a-4ef6-b17a-dbd579f5fffb","Pforzheimer Part 3_entry-426.0_MS.35I.txt","Upcott","char-offset:492","PERSON","","","","","","","","","","",""
"d2230605-8856-42dc-9fce-8e7d6add9880","Pforzheimer Part 3_entry-426.0_MS.35I.txt","1846","char-offset:505","","","","","","","","","AuctionYear","","",""
"f9114302-cbc3-4700-a63b-0d4b92ece9c6","Pforzheimer Part 3_entry-426.0_MS.35I.txt","429","char-offset:515","","","","","","","","","Lot","","",""
"82806daf-b2e8-4093-8e86-9ee1ea980287","Pforzheimer Part 3_entry-426.0_MS.35I.txt","Morrison","char-offset:563","PERSON","","","","","","","","","","",""
"fd33545b-3b09-49d8-bff2-fe4f1932c9c9","Pforzheimer Part 3_entry-426.0_MS.35I.txt","Morrison  sale (IV, 1919, Lot 2822).","char-offset:563","EVENT","","","","","","","","","","",""
"349b1988-f2b3-4aad-bf76-a3515b00d373","Pforzheimer Part 3_entry-426.0_MS.35I.txt","1919","char-offset:583","","","","","","","","","AuctionYear","","",""
"dc2d89b8-fd2b-4b20-865e-42ff423cb8b3","Pforzheimer Part 3_entry-426.0_MS.35I.txt","2822","char-offset:593","","","","","","","","","Lot","","",""
"7c71d7d9-87e9-4312-b405-cfc6bcc644f3","Pforzheimer Part 3_entry-430.5_MS.35K.txt","PROVENANCE: See MS.35A.","char-offset:265","EVENT","","","","","","","","","","",""
"86d2fa74-d392-40ee-8337-7e4e1a23d713","Pforzheimer Part 3_entry-434.0_MS.35O.txt","Dawson  Turner (1859, Lot 679)","char-offset:371","EVENT","","","","","","","","","","",""
"7c193655-3aa4-4818-9cf7-cebff363baa7","Pforzheimer Part 3_entry-434.0_MS.35O.txt","Dawson  Turner","char-offset:371","PERSON","","","","","","","","","","",""
"833e6bcf-8639-4b0c-8cc8-9be0dd1edf1f","Pforzheimer Part 3_entry-434.0_MS.35O.txt","1859","char-offset:387","","","","","","","","","AuctionYear","","",""
"1f373e66-b034-4f7e-80ce-5400fdaf89e1","Pforzheimer Part 3_entry-434.0_MS.35O.txt","679","char-offset:397","","","","","","","","","Lot","","",""
"e99b768a-8cf3-4457-bc1f-ee361e28acae","Pforzheimer Part 3_entry-434.0_MS.35O.txt","Alfred Morrison (IV, 1919, Lot 2702).","char-offset:403","EVENT","","","","","","","","","","",""
"5106ebf3-66e2-4e77-a501-a7efc7d9f946","Pforzheimer Part 3_entry-434.0_MS.35O.txt","Alfred Morrison","char-offset:403","PERSON","","","","","","","","","","",""
"48e82f2d-060e-4565-8a82-5607541ac0d4","Pforzheimer Part 3_entry-434.0_MS.35O.txt","1919","char-offset:424","","","","","","","","","AuctionYear","","",""
"b9c3d932-252d-4d5c-abea-bcadd18f9064","Pforzheimer Part 3_entry-434.0_MS.35O.txt","2702","char-offset:434","","","","","","","","","Lot","","",""
"d01540ec-7c0c-4659-b869-5d85285be311","Pforzheimer Part 3_entry-425.0_MS.35H.txt","Morrison","char-offset:424","PERSON","","","","","","","","","","",""
"20a4523c-11bf-4e68-a983-93ee2906591d","Pforzheimer Part 3_entry-425.0_MS.35H.txt","Morrison sale (IV, 1919, Lot 2822).","char-offset:424","EVENT","","","","","","","","","","",""
"65de9631-625e-4afb-aeda-6d9a62d0569c","Pforzheimer Part 3_entry-425.0_MS.35H.txt","1919","char-offset:443","","","","","","","","","AuctionYear","","",""
"e1f8d70c-e5de-47b6-8e77-950d98f730d3","Pforzheimer Part 3_entry-425.0_MS.35H.txt","2822","char-offset:453","","","","","","","","","Lot","","",""
"d41874fc-8d07-472a-bbc6-b514fd790353","Pforzheimer Part 3_entry-433.0_MS.35M.txt","Alfred Morrison  (IV, 1919, Lot 2701).","char-offset:344","EVENT","","","","","","","","","","",""
"6a505ce9-c23b-4f0c-ad83-f03a05ce7858","Pforzheimer Part 3_entry-433.0_MS.35M.txt","Alfred Morrison","char-offset:344","PERSON","","","","","","","","","","",""
"f89b078e-4d1c-4782-b226-15b81fe8fbae","Pforzheimer Part 3_entry-433.0_MS.35M.txt","1919","char-offset:366","","","","","","","","","AuctionYear","","",""
"3fcb9876-4812-45a7-8645-08357b11f964","Pforzheimer Part 3_entry-433.0_MS.35M.txt","2701","char-offset:376","","","","","","","","","Lot","","",""
"a4da2def-7eee-4a4c-988e-2b2ce9cfaaeb","Pforzheimer Part 3_entry-436.0_MS.35Q.txt","Pepys  Papers—","char-offset:216","EVENT","","","","","","","","","","",""
"32b87c34-44f7-4805-a5e7-a0b305db7bb5","Pforzheimer Part 3_entry-436.0_MS.35Q.txt","Alfred Morrison","char-offset:231","PERSON","","","","","","","","","","",""
"73e5de54-9e12-42de-a092-28a4d8ae270f","Pforzheimer Part 3_entry-436.0_MS.35Q.txt","Alfred Morrison (IV, 1919, Lot 2702).","char-offset:231","EVENT","","","","","","","","","","",""
