"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"1aa27b01-1e0d-4a30-95a7-82086385b89c","Pforzheimer Part 2_entry-149.0_538.txt","miscellany sale at  Anderson’s 10 February 1920, Lot 562.","char-offset:749","EVENT","","","","","","","","","","",""
"42645bd0-5d38-4660-8195-5f3f73d5fc6f","Pforzheimer Part 2_entry-149.0_538.txt","Anderson’s","char-offset:769","PERSON","","","","","","","","","","",""
"10d003ff-aa19-40b2-9ee4-8d3dc0ccdc5a","Pforzheimer Part 2_entry-149.0_538.txt","1920","char-offset:792","","","","","","","","","AuctionYear","","",""
"e6cea23c-ba26-4b21-b08e-fc2770100c2c","Pforzheimer Part 2_entry-149.0_538.txt","562","char-offset:802","","","","","","","","","Lot","","",""
"7a903bcc-268d-456a-99f5-e44dbc20f38e","Pforzheimer Part 2_entry-150.0_539.txt","Jones (1919,  Lot 952)","char-offset:732","EVENT","","","","","","","","","","",""
"f230f0aa-b7f8-4aa4-9b77-808cd3204b29","Pforzheimer Part 2_entry-150.0_539.txt","Jones","char-offset:732","PERSON","","","","","","","","","","",""
"f65faad3-30b8-4399-9ff9-2e690d9855aa","Pforzheimer Part 2_entry-150.0_539.txt","1919","char-offset:739","","","","","","","","","AuctionYear","","",""
"7cb40bf1-d0b8-4862-a0aa-62833dcf970e","Pforzheimer Part 2_entry-150.0_539.txt","952","char-offset:750","","","","","","","","","Lot","","",""
"10b37e47-0951-4248-81b3-d235c88171f7","Pforzheimer Part 2_entry-150.5_540.txt","Locker","char-offset:750","PERSON","","","","","","","","","","",""
"4f54f6ef-2bc5-48b4-bb27-c8622192fde0","Pforzheimer Part 2_entry-150.5_540.txt","Hoe (II, 1912, Lot 1803)","char-offset:757","EVENT","","","","","","","","","","",""
"1f433e74-7b65-4fdf-bdb9-c547a7868cab","Pforzheimer Part 2_entry-150.5_540.txt","Hoe","char-offset:757","PERSON","","","","","","","","","","",""
"88386f73-be10-487f-a77b-64803dd41c07","Pforzheimer Part 2_entry-150.5_540.txt","1912","char-offset:766","","","","","","","","","AuctionYear","","",""
"3d6e01cf-270f-4576-9a34-1eaa7883bb30","Pforzheimer Part 2_entry-150.5_540.txt","1803","char-offset:776","","","","","","","","","Lot","","",""
"8935eca2-aaab-4243-b2f1-7ebf79c8d725","Pforzheimer Part 2_entry-150.5_540.txt","Huntington (VII, 1918, Lot 460)","char-offset:785","EVENT","","","","","","","","","","",""
"77182000-3082-485c-8066-dea77a1efdbb","Pforzheimer Part 2_entry-150.5_540.txt","Huntington","char-offset:785","PERSON","","","","","","","","","","",""
"2fa1b6c0-cfe6-4c49-b4a5-02947042176c","Pforzheimer Part 2_entry-150.5_540.txt","1918","char-offset:802","","","","","","","","","AuctionYear","","",""
"85f63c6b-183a-41ac-bd20-bc239ee5649f","Pforzheimer Part 2_entry-150.5_540.txt","460","char-offset:812","","","","","","","","","Lot","","",""
"4d75d625-e6c2-4c27-83df-58e439aa26f8","Pforzheimer Part 2_entry-150.5_540.txt","Jones","char-offset:818","PERSON","","","","","","","","","","",""
"47bfdd16-6e02-424e-b2ca-879483f22d9d","Pforzheimer Part 2_entry-150.5_540.txt","Jones (1919, Lot 951)","char-offset:818","EVENT","","","","","","","","","","",""
"13232186-0a2e-4658-89c1-155ed2c6756b","Pforzheimer Part 2_entry-150.5_540.txt","1919","char-offset:825","","","","","","","","","AuctionYear","","",""
"c121221a-ae56-4665-9d1d-17f5e2078402","Pforzheimer Part 2_entry-150.5_540.txt","951","char-offset:835","","","","","","","","","Lot","","",""
"79b0d10b-f7f0-4b92-aab9-e2add267c9be","Pforzheimer Part 2_entry-150.5_540.txt","Clawson (I, 1926, Lot 437)","char-offset:842","EVENT","","","","","","","","","","",""
"691fe7ca-28bd-48f6-85dc-42482448cbd5","Pforzheimer Part 2_entry-150.5_540.txt","Clawson","char-offset:842","PERSON","","","","","","","","","","",""
"e9d9b9c7-f6a2-465a-8cff-80acfe353341","Pforzheimer Part 2_entry-150.5_540.txt","1926","char-offset:854","","","","","","","","","AuctionYear","","",""
"95085694-418d-4249-9e41-06d8af3571f5","Pforzheimer Part 2_entry-150.5_540.txt","437","char-offset:864","","","","","","","","","Lot","","",""
"55cdd6a7-f98f-4c19-9823-be609e29b930","Pforzheimer Part 2_entry-152.0_542.txt","e Hagen (118  Lot 681)","char-offset:1050","EVENT","","","","","","","","","","",""
"616f08b0-e44c-456a-883d-66869badfb71","Pforzheimer Part 2_entry-152.0_542.txt","Hagen","char-offset:1052","PERSON","","","","","","","","","","",""
"21060b32-91a7-4b4e-9137-9b621953aec1","Pforzheimer Part 2_entry-152.0_542.txt","118","char-offset:1059","","","","","","","","","AuctionYear","1918?","",""
"f1aa2628-594d-4cec-9e1a-32eefef42ae1","Pforzheimer Part 2_entry-152.0_542.txt","681","char-offset:1068","","","","","","","","","Lot","","",""
"d66e9186-f53d-40c0-ac94-686beed7accf","Pforzheimer Part 2_entry-145.0_533.txt","Regarding provenance see No.$32","char-offset:440","EVENT","","","","","","","","","","",""
"84c7115c-d26a-47e7-b976-bf60df09eea3","Pforzheimer Part 2_entry-146.0_534.txt","Bridgewater","char-offset:2170","PERSON","","","","","","","","","","",""
"26609faa-b1a2-43cc-836b-4fc914e88d1f","Pforzheimer Part 2_entry-146.0_534.txt","Huntington","char-offset:2183","PERSON","","","","","","","","","","",""
"5cd88334-c99d-4da9-a798-b371f24becdd","Pforzheimer Part 2_entry-146.0_534.txt","Jones","char-offset:2206","PERSON","","","","","","","","","","",""
"149421b5-9ec7-4f47-a14b-fa72028524ed","Pforzheimer Part 2_entry-146.0_534.txt","Jones (II, 1919, Lot 944)","char-offset:2206","EVENT","","","","","","","","","","",""
"58d9c7ff-c6ac-4de0-9e3a-4b6e91bea68c","Pforzheimer Part 2_entry-146.0_534.txt","1919","char-offset:2217","","","","","","","","","AuctionYear","","",""
"355367c3-5647-43c8-89b2-a5c1ce479168","Pforzheimer Part 2_entry-146.0_534.txt","944","char-offset:2227","","","","","","","","","Lot","","",""
"43acf48c-9d1d-4c35-a44d-0c0383ccb2c2","Pforzheimer Part 2_entry-146.5_535.txt","Britwell","char-offset:584","PERSON","","","","","","","","","","",""
"77eaca2d-9141-4382-8da5-f3f08a549242","Pforzheimer Part 2_entry-146.5_535.txt","Britwell  (1924, Lot 456)","char-offset:584","EVENT","","","","","","","","","","",""
"6c733a5e-e402-40cd-aab9-2f0a27e65604","Pforzheimer Part 2_entry-146.5_535.txt","1924","char-offset:595","","","","","","","","","AuctionYear","","",""
"f4bcf958-6b2e-4dff-9ed2-09a12f428ecd","Pforzheimer Part 2_entry-146.5_535.txt","456","char-offset:605","","","","","","","","","Lot","","",""
"402e86be-4152-4a2c-9d6a-1b873ee7745c","Pforzheimer Part 2_entry-148.0_537.txt","Lenox Library","char-offset:775","PERSON","","","","","","","","","","",""
"59704e28-31e8-4e85-964e-9550e456d3ed","Pforzheimer Part 2_entry-148.0_537.txt","Church","char-offset:792","PERSON","","","","","","","","","","",""
"236057cd-6869-4907-9575-3311cb1b3a2c","Pforzheimer Part 2_entry-148.0_537.txt","Huntington","char-offset:800","PERSON","","","","","","","","","","",""
"8f1678cb-b662-4193-8bad-17156fd913ee","Pforzheimer Part 2_entry-147.0_536.txt","Corser (IV, 1870, Lot  4371)","char-offset:682","EVENT","","","","","","","","","","",""
"c1a12936-6080-411f-8d87-62ba64eebd7b","Pforzheimer Part 2_entry-147.0_536.txt","Corser","char-offset:682","PERSON","","","","","","","","","","",""
"40492787-be38-42fa-881e-814d29f5c91b","Pforzheimer Part 2_entry-147.0_536.txt","1870","char-offset:694","","","","","","","","","AuctionYear","","",""
"8b6aedfa-2ea8-46da-8efb-88b7767196f8","Pforzheimer Part 2_entry-147.0_536.txt","4371","char-offset:705","","","","","","","","","Lot","","",""
"7b901c72-0714-42fe-8dc6-1e4a4fcfdbd3","Pforzheimer Part 2_entry-147.0_536.txt","Huth","char-offset:713","PERSON","","","","","","","","","","",""
"9eda111e-c52d-4aef-914b-b3e21f5246fb","Pforzheimer Part 2_entry-147.0_536.txt","Huth (IV, 1914, Lot 4043)","char-offset:713","EVENT","","","","","","","","","","",""
"4548ef65-215f-4e00-a4d8-d4998717780f","Pforzheimer Part 2_entry-147.0_536.txt","1914","char-offset:723","","","","","","","","","AuctionYear","","",""
"e8186835-bc61-47a9-99ce-eebde015d2f0","Pforzheimer Part 2_entry-147.0_536.txt","4043","char-offset:733","","","","","","","","","Lot","","",""
