"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"227e1328-bf2e-483c-8da6-cf747322cb6b","Pforzheimer Part 3_entry-24.0_794.txt","Bindley","char-offset:1228","PERSON","","","","","","","","","","",""
"35fe2b33-72c2-44ec-85cb-f183483b5554","Pforzheimer Part 3_entry-24.0_794.txt","Bindley (III, 1819, Lot 1002)","char-offset:1228","EVENT","","","","","","","","","","",""
"e7933620-f6b1-400e-bf4d-d0e59f586d03","Pforzheimer Part 3_entry-24.0_794.txt","1819","char-offset:1242","","","","","","","","","AuctionYear","","",""
"19d5f94a-58d0-47f3-a902-77f13740a192","Pforzheimer Part 3_entry-24.0_794.txt","1002","char-offset:1252","","","","","","","","","Lot","","",""
"f0111297-4a49-49b5-81d1-9e995f4ab602","Pforzheimer Part 3_entry-24.0_794.txt","Heber                                (VI, 1835, Lot 2794)","char-offset:1259","EVENT","","","","","","","","","","",""
"9637bcbc-cd64-4a94-91b7-0dac453e927d","Pforzheimer Part 3_entry-24.0_794.txt","Heber","char-offset:1259","PERSON","","","","","","","","","","",""
"a67d2ac0-4aa9-4ed9-829f-bbadcb16a1d1","Pforzheimer Part 3_entry-24.0_794.txt","1835","char-offset:1301","","","","","","","","","AuctionYear","","",""
"bb1b995f-833d-4345-b2de-04cf26ff6c94","Pforzheimer Part 3_entry-24.0_794.txt","2794","char-offset:1311","","","","","","","","","Lot","","",""
"145bec3b-b717-4143-abf2-7f8a39cea91a","Pforzheimer Part 3_entry-24.0_794.txt","Britwell","char-offset:1318","PERSON","","","","","","","","","","",""
"bf95e26c-fe6c-43e2-bf92-8599375e4594","Pforzheimer Part 3_entry-24.0_794.txt","Britwell (June 1920, Lot 243)","char-offset:1318","EVENT","","","","","","","","","","",""
"3de3d1d3-cf8e-485b-98c3-cdfd49de74d8","Pforzheimer Part 3_entry-24.0_794.txt","1920","char-offset:1333","","","","","","","","","AuctionYear","","",""
"5568d8e6-ccf2-4ae9-86d1-19158a535ea4","Pforzheimer Part 3_entry-24.0_794.txt","243","char-offset:1343","","","","","","","","","Lot","","",""
"4d74ea33-7ec7-4d17-8398-d555be2996ba","Pforzheimer Part 3_entry-24.0_794.txt","Clawson","char-offset:1350","PERSON","","","","","","","","","","",""
"26c3bb2b-124f-4c23-879a-30f0e6008f4b","Pforzheimer Part 3_entry-24.0_794.txt","Clawson (II, 1926, Lot 635)","char-offset:1350","EVENT","","","","","","","","","","",""
"49a9d332-a0d0-4368-9845-bd98e15f51e3","Pforzheimer Part 3_entry-24.0_794.txt","1926","char-offset:1363","","","","","","","","","AuctionYear","","",""
"5a592d4d-bacf-49ad-9e28-bac2674d5ac9","Pforzheimer Part 3_entry-24.0_794.txt","635","char-offset:1373","","","","","","","","","Lot","","",""
"16868952-3480-4da6-bd84-49b28862d040","Pforzheimer Part 3_entry-31.5_802.txt","Lamport Hall","char-offset:1496","PERSON","","","","","","","","","","",""
"fe8d54ca-c156-4806-a386-48bd6fa3eddc","Pforzheimer Part 3_entry-31.5_802.txt","Britwell","char-offset:1509","PERSON","","","","","","","","","","",""
"0eae3261-a52f-42bd-b947-07cb7f966802","Pforzheimer Part 3_entry-31.5_802.txt","Britwell (1923, Lot 65)","char-offset:1509","EVENT","","","","","","","","","","",""
"18010781-25c8-4b3a-a86e-09f507a6296c","Pforzheimer Part 3_entry-31.5_802.txt","1923","char-offset:1519","","","","","","","","","AuctionYear","","",""
"38a83f87-be69-485f-b12c-5e0e299df724","Pforzheimer Part 3_entry-31.5_802.txt","65","char-offset:1529","","","","","","","","","Lot","","",""
