"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"ac987bef-334e-442f-8385-57af9f2d9c60","Pforzheimer Part 1_entry-307.0_242.txt","Dodd sale (I, 1918, Lot 192)","char-offset:827","EVENT","","","","","","","","","","",""
"15a786e3-c642-4e54-b69e-fb085f30d46e","Pforzheimer Part 1_entry-307.0_242.txt","Dodd","char-offset:827","PERSON","","","","","","","","","","",""
"a9ce2882-4e97-44df-a277-5b5d6979bdab","Pforzheimer Part 1_entry-307.0_242.txt","1918","char-offset:841","","","","","","","","","AuctionYear","","",""
"8dff6719-7c1e-48c8-8ff0-2a0d3480ca34","Pforzheimer Part 1_entry-307.0_242.txt","192","char-offset:851","","","","","","","","","Lot","","",""
"36e15bec-0e74-4013-982e-0a858f79220c","Pforzheimer Part 1_entry-295.5_235.txt","The Lefferts","char-offset:747","PERSON","","","","","","","","","","",""
"42c1e5dc-b92a-44c7-86b2-9f6db0515206","Pforzheimer Part 1_entry-295.5_235.txt","The Lefferts (1902, Lot 287)","char-offset:747","EVENT","","","","","","","","","","",""
"b86f4c3e-ba81-4044-adb7-634c401a4641","Pforzheimer Part 1_entry-295.5_235.txt","1902","char-offset:761","","","","","","","","","AuctionYear","","",""
"45423c72-0358-4972-a427-c5891d4f2f76","Pforzheimer Part 1_entry-295.5_235.txt","287","char-offset:771","","","","","","","","","Lot","","",""
"efd4a346-37ca-47d3-be76-5e2d2541a928","Pforzheimer Part 1_entry-295.5_235.txt","Halsey","char-offset:779","EVENT","","","","","","","","","","",""
"939211bb-59a1-4d5f-a789-1e99438df228","Pforzheimer Part 1_entry-295.5_235.txt","Huntington (VII, 1918, Lot 158)","char-offset:788","EVENT","","","","","","","","","","",""
"7b31368b-5bcf-477e-ad14-4e113aec0769","Pforzheimer Part 1_entry-295.5_235.txt","Huntington","char-offset:788","PERSON","","","","","","","","","","",""
