"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"e82b6ab3-34e2-42d2-beda-85a73a755ed6","Pforzheimer Part 1_entry-15.0_1.txt","1","char-offset:0","","","","","","","","","ID","","",""
"64581771-2f3a-42d0-8bcd-9caff6510b3d","Pforzheimer Part 1_entry-15.0_1.txt","ALEXANDER, Wixtiam Ear or StirtinG","char-offset:2","","","","","","","","","Author","","",""
"b7692297-df8e-4b15-99e1-61286181df7b","Pforzheimer Part 1_entry-15.0_1.txt","AVRORA. | Containing the firft  fancies of the | Authors youth, | VVilliam Alexander of Menftrie.","char-offset:90","","","","","","","","","Title","","",""
"3b1c3fac-d455-42b8-98b9-16282d146ecd","Pforzheimer Part 1_entry-15.0_1.txt","1604","char-offset:282","","","","","","","","","Year","","",""
"393451d4-c22d-4b6c-9523-0aa94776ed17","Pforzheimer Part 1_entry-15.0_1.txt","The Corser (V, 1870, Lot 825)","char-offset:585","EVENT","","","","","","","","","","",""
"4d0279af-2cc9-414a-94ff-434bd4026789","Pforzheimer Part 1_entry-15.0_1.txt","The Corser","char-offset:585","PERSON","","","","","","","","","","",""
"4369be98-840c-45cd-af66-2bd088fcd555","Pforzheimer Part 1_entry-15.0_1.txt","1870","char-offset:600","","","","","","","","","AuctionYear","","",""
"942f3795-da54-4567-940e-6faff48dda22","Pforzheimer Part 1_entry-15.0_1.txt","Lot 825","char-offset:606","","","","","","","","","Lot","","",""
"6254a51d-d9d4-4713-976a-be32fccd7c01","Pforzheimer Part 1_entry-15.0_1.txt","Kershaw (1877,  Lot 1387)","char-offset:617","EVENT","","","","","","","","","","",""
"88d21fc2-44f9-4adc-ba52-8774bd2db0e0","Pforzheimer Part 1_entry-15.0_1.txt","Kershaw","char-offset:617","PERSON","","","","","","","","","","",""
"3e6c0632-23aa-44aa-8ff4-50fdd0d6ada0","Pforzheimer Part 1_entry-15.0_1.txt","1877","char-offset:626","","","","","","","","","AuctionYear","","",""
"6bc9c19d-182e-4e2a-9292-daa5835c7521","Pforzheimer Part 1_entry-15.0_1.txt","Lot 1387","char-offset:633","","","","","","","","","Lot","","",""
"eb11a1f8-c8fb-4492-b727-952f6686446e","Pforzheimer Part 1_entry-15.0_1.txt","Huth (VII, 1918, Lot 7090)","char-offset:645","EVENT","","","","","","","","","","",""
"eae86a2d-87e2-483c-a2eb-5874f7f676ea","Pforzheimer Part 1_entry-15.0_1.txt","Huth","char-offset:645","PERSON","","","","","","","","","","",""
"1bcec08c-dfa4-4914-bdb7-bb43b09470a5","Pforzheimer Part 1_entry-15.0_1.txt","1918","char-offset:656","","","","","","","","","AuctionYear","","",""
"49a2540c-25a5-426f-9fcc-9a33a1baf79e","Pforzheimer Part 1_entry-15.0_1.txt","Lot 7090","char-offset:662","","","","","","","","","Lot","","",""
"4da33084-1ef9-4c8d-a618-b087ce677600","Pforzheimer Part 1_entry-15.5_2.txt","2","char-offset:0","","","","","","","","","ID","","",""
"5097b834-3d2a-4225-b134-594628ac4600","Pforzheimer Part 1_entry-15.5_2.txt","ALEXANDER, Wiiu1am Eart or STIRLING.","char-offset:2","","","","","","","","","Author","","",""
"583df795-7292-4cb0-a01d-828fe2811f9f","Pforzheimer Part 1_entry-15.5_2.txt","DOOMES-DAY, | OR, | THE GREAT | DAY  OF THE LORDS | IVDGEMENT. | BY | Ss. WILLIAM ALEXAN-  DER | KNIGHT.","char-offset:65","","","","","","","","","Title","","",""
"8b863a42-59f2-47a0-852b-7066692e57fb","Pforzheimer Part 1_entry-15.5_2.txt","1614","char-offset:358","","","","","","","","","Year","","",""
"24ed86cc-c05b-4391-9d5c-2278e54c64ba","Pforzheimer Part 1_entry-15.5_2.txt","The Heber (IV, 1834, Lot 2640)","char-offset:842","EVENT","","","","","","","","","","",""
"9261162e-ff10-413b-bdeb-913826de1c49","Pforzheimer Part 1_entry-15.5_2.txt","The Heber","char-offset:842","PERSON","","","","","","","","","","",""
"16bb3fbc-9628-4c0e-bee5-64b98db05c67","Pforzheimer Part 1_entry-15.5_2.txt","1834","char-offset:857","","","","","","","","","AuctionYear","","",""
"e9a1a5c4-653e-4c7c-9bba-e0db6cf4bbda","Pforzheimer Part 1_entry-15.5_2.txt","Britwell (1922, Lot 10)","char-offset:875","EVENT","","","","","","","","","","",""
"6b30ccb8-3f85-41bd-b6b1-02233bc87159","Pforzheimer Part 1_entry-15.5_2.txt","Britwell","char-offset:875","PERSON","","","","","","","","","","",""
"9eea4a48-bf0b-4a28-b243-f03c1da3fd14","Pforzheimer Part 1_entry-15.5_2.txt","1922","char-offset:885","","","","","","","","","AuctionYear","","",""
"697ea5f9-789d-43d2-a813-ff878586d7b1","Pforzheimer Part 1_entry-17.0_3.txt","3","char-offset:0","","","","","","","","","ID","","",""
"92b75489-a89c-4652-9aef-a43f8e93a196","Pforzheimer Part 1_entry-17.0_3.txt","THE | MONARCHICK | TRAGEDIES","char-offset:40","","","","","","","","","Title","","",""
"5fae7335-1320-4c9c-ac79-a8f7fd3d1960","Pforzheimer Part 1_entry-17.0_3.txt","William Alexander","char-offset:75","","","","","","","","","Author","","",""
"7c6f43b1-1c1e-49f2-85ea-65c89247a92b","Pforzheimer Part 1_entry-17.0_3.txt","1604","char-offset:211","","","","","","","","","Year","","",""
