"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"e5bb9829-e55e-4f30-9441-5f002356749f","Pforzheimer Part 2_entry-274.0_640.txt","Mostyn","char-offset:708","PERSON","","","","","","","","","","",""
"490cb8b3-deab-4c5a-a390-33534be05dd5","Pforzheimer Part 2_entry-274.0_640.txt","Mostyn (1919, Lot 194)","char-offset:708","EVENT","","","","","","","","","","",""
"d977f2bc-834e-43c2-8cf8-1980f0cff9e0","Pforzheimer Part 2_entry-274.0_640.txt","1919","char-offset:716","","","","","","","","","AuctionYear","","",""
"cdbfcb11-a977-4b4b-8bc3-b7ad1170d813","Pforzheimer Part 2_entry-274.0_640.txt","194","char-offset:726","","","","","","","","","Lot","","",""
"734ea7bb-ee53-4d21-839d-deb7adda03cb","Pforzheimer Part 2_entry-278.0_644.txt","Bridgewater","char-offset:787","PERSON","","","","","","","","","","",""
"65925df2-fa09-49ed-b1f9-362e27a7dfc3","Pforzheimer Part 2_entry-278.0_644.txt","Huntington (VIII, 1918, Lot 314)","char-offset:800","EVENT","","","","","","","","","","",""
"5c00edaf-27a6-4c64-9970-76058bcbdcd7","Pforzheimer Part 2_entry-278.0_644.txt","Huntington","char-offset:800","PERSON","","","","","","","","","","",""
"3fe63088-9900-4ea5-99ad-e3370de18d17","Pforzheimer Part 2_entry-278.0_644.txt","1918","char-offset:818","","","","","","","","","AuctionYear","","",""
"fa6a0d8a-7640-4c0a-97da-6516709a6f8a","Pforzheimer Part 2_entry-278.0_644.txt","314","char-offset:828","","","","","","","","","Lot","","",""
"a6e38388-74f0-49cf-8731-58bab2b450bc","Pforzheimer Part 2_entry-278.0_644.txt","Jones (1919, Lot 1077)","char-offset:835","EVENT","","","","","","","","","","",""
"423cc379-0b00-4b87-bcee-4ad07779f289","Pforzheimer Part 2_entry-278.0_644.txt","Jones","char-offset:835","PERSON","","","","","","","","","","",""
"4da3fb55-f352-4dfc-a4c7-5c6a4b4e5c35","Pforzheimer Part 2_entry-278.0_644.txt","1919","char-offset:842","","","","","","","","","AuctionYear","","",""
"85939b96-0443-4848-ad13-1092d2b15c8c","Pforzheimer Part 2_entry-278.0_644.txt","1077","char-offset:852","","","","","","","","","Lot","","",""
"6fb53981-0a2d-448c-86a6-adc9d6391d66","Pforzheimer Part 2_entry-270.0_635.txt","Lefferts","char-offset:1007","PERSON","","","","","","","","","","",""
"5a1a52fd-6cca-4ef1-8f3c-a8478bf389f7","Pforzheimer Part 2_entry-270.0_635.txt","Lefferts (1902, Lot 852)","char-offset:1007","EVENT","","","","","","","","","","",""
"bcf22bdd-8c9f-4eb8-a451-2eb980e0689b","Pforzheimer Part 2_entry-270.0_635.txt","1902","char-offset:1017","","","","","","","","","AuctionYear","","",""
"3de21479-2898-4b08-a97e-e618a873eee2","Pforzheimer Part 2_entry-270.0_635.txt","852","char-offset:1027","","","","","","","","","Lot","","",""
"3f952440-30bd-40d6-840c-0453966c0857","Pforzheimer Part 2_entry-270.0_635.txt","Hagen","char-offset:1035","PERSON","","","","","","","","","","",""
"f853d8c2-f91a-4725-967d-b435a72b441c","Pforzheimer Part 2_entry-270.0_635.txt","Hagen (1918, Lot 733)","char-offset:1035","EVENT","","","","","","","","","","",""
"2fe126dc-57f7-492a-ac6e-d80464ac7eae","Pforzheimer Part 2_entry-270.0_635.txt","1918","char-offset:1042","","","","","","","","","AuctionYear","","",""
"e48114f1-d472-4e8e-b19b-b5438ede99a5","Pforzheimer Part 2_entry-270.0_635.txt","733","char-offset:1052","","","","","","","","","Lot","","",""
"ae9ce37b-6af8-441a-a4c7-f88593180188","Pforzheimer Part 2_entry-272.5_638.txt","Kemble","char-offset:601","PERSON","","","","","","","","","","",""
"47d95f2e-596e-4856-9a3b-044966435583","Pforzheimer Part 2_entry-272.5_638.txt","Kemble (1797)","char-offset:601","EVENT","","","","","","","","","","",""
"fcf643ad-e7a6-4ee2-b086-2c222ea33293","Pforzheimer Part 2_entry-272.5_638.txt","1797","char-offset:609","","","","","","","","","AuctionYear","","",""
"ccd1b06e-2ea7-4c3a-b230-6daa6aee553d","Pforzheimer Part 2_entry-272.5_638.txt","Devonshire","char-offset:618","PERSON","","","","","","","","","","",""
"6d9fa0f7-1f6f-4b30-94c0-86fcfe9df236","Pforzheimer Part 2_entry-272.5_638.txt","Huntington","char-offset:630","PERSON","","","","","","","","","","",""
"98559c93-c111-4479-9c51-d78d047ad802","Pforzheimer Part 2_entry-266.0_631.txt","Knight (1847, Lot 639)","char-offset:1395","EVENT","","","","","","","","","","",""
"95499003-d767-44f7-855b-549ce81fe690","Pforzheimer Part 2_entry-266.0_631.txt","Knight","char-offset:1395","PERSON","","","","","","","","","","",""
"21135400-cac4-4c49-83d8-64b27e4a8f5f","Pforzheimer Part 2_entry-266.0_631.txt","1847","char-offset:1403","","","","","","","","","AuctionYear","","",""
"287a26a5-da02-4e43-a7cc-e5814e5b52de","Pforzheimer Part 2_entry-266.0_631.txt","639","char-offset:1413","","","","","","","","","Lot","","",""
"7f01a57d-1968-4d98-b5cb-80d3a269ea88","Pforzheimer Part 2_entry-266.0_631.txt","Tite (1874, Lot 1911)","char-offset:1421","EVENT","","","","","","","","","","",""
"6af69b53-5310-49dd-8777-ff938d60c670","Pforzheimer Part 2_entry-266.0_631.txt","Tite","char-offset:1421","PERSON","","","","","","","","","","",""
"cb8217ad-533d-4749-8bbf-4e1a62b6112d","Pforzheimer Part 2_entry-266.0_631.txt","1874","char-offset:1427","","","","","","","","","AuctionYear","","",""
"9aa2be97-73a9-471a-ad52-f2e2ede4c27b","Pforzheimer Part 2_entry-266.0_631.txt","1911","char-offset:1437","","","","","","","","","Lot","","",""
"b9f627e4-cc7d-45ff-bc5a-45277b357505","Pforzheimer Part 2_entry-266.0_631.txt","Arnold (1901, Lot 263)","char-offset:1444","EVENT","","","","","","","","","","",""
"293fc5b9-464d-4deb-92e0-cec35ce956ba","Pforzheimer Part 2_entry-266.0_631.txt","Arnold","char-offset:1444","PERSON","","","","","","","","","","",""
"be031424-25d4-487d-9d8f-0b9689576834","Pforzheimer Part 2_entry-266.0_631.txt","1901","char-offset:1452","","","","","","","","","AuctionYear","","",""
"01275f8c-f9e7-4e87-97d1-c2b8285161da","Pforzheimer Part 2_entry-266.0_631.txt","263","char-offset:1462","","","","","","","","","Lot","","",""
"8529057d-2df2-47ec-9402-c4294dbe54c1","Pforzheimer Part 2_entry-266.0_631.txt","Hagen (1918, Lot 734) c","char-offset:1467","EVENT","","","","","","","","","","",""
