"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"5543f897-73be-413d-93e7-e232a7dd37de","Pforzheimer Part 1_entry-162.0_119.txt","The Hagen","char-offset:1305","PERSON","","","","","","","","","","",""
"cc4f876f-3a4c-4fac-a558-ec5297ecd2e5","Pforzheimer Part 1_entry-162.0_119.txt","The Hagen (I, 1918, Lot 146)","char-offset:1305","EVENT","","","","","","","","","","",""
"3db0be12-f828-46f3-b58e-2569cb536525","Pforzheimer Part 1_entry-162.0_119.txt","1918","char-offset:1319","","","","","","","","","AuctionYear","","",""
"4a200d6b-c19f-44e2-b2b3-76f7dad6a416","Pforzheimer Part 1_entry-162.0_119.txt","146","char-offset:1329","","","","","","","","","Lot","","",""
"77cf8362-4fe7-4ff4-a18f-c4a1d3601be5","Pforzheimer Part 1_entry-157.0_115.txt","The Halsey","char-offset:2549","EVENT","","","","","","","","","","",""
"35bb9052-e9dc-45a6-bbfd-05b75579bd8b","Pforzheimer Part 1_entry-157.0_115.txt","Hunting-  ton","char-offset:2562","PERSON","","","","","","","","","","",""
"77ec05a9-1b08-4be6-8322-d4b5920cbe43","Pforzheimer Part 1_entry-157.0_115.txt","Hunting-  ton (IX, 1918, Lot 76)","char-offset:2562","EVENT","","","","","","","","","","",""
"3b069075-fb6a-49c0-88e3-00273f06e13c","Pforzheimer Part 1_entry-157.0_115.txt","1918","char-offset:2581","","","","","","","","","AuctionYear","","",""
"4fbee66d-9a82-423b-8577-46a88d1ab4fa","Pforzheimer Part 1_entry-157.0_115.txt","76","char-offset:2591","","","","","","","","","Lot","","",""
"971457e4-13f0-4c4f-b679-33a6e9dd610b","Pforzheimer Part 1_entry-156.0_114.txt","The R.S.Turner  (1888, Lot 734)","char-offset:668","EVENT","","","","","","","","","","",""
"3294c7dc-7173-4bf7-9d7b-086addff825d","Pforzheimer Part 1_entry-156.0_114.txt","The R.S.Turner","char-offset:668","PERSON","","","","","","","","","","",""
"5fcd6e43-e42f-4fa6-9a57-40907c156b24","Pforzheimer Part 1_entry-156.0_114.txt","1888","char-offset:685","","","","","","","","","AuctionYear","","",""
"96f660d6-eba1-4ae6-8624-f88d4475422d","Pforzheimer Part 1_entry-156.0_114.txt","734","char-offset:695","","","","","","","","","Lot","","",""
"c36bade5-2106-4101-9829-7fdc6d3461fb","Pforzheimer Part 1_entry-156.0_114.txt","William Cowan","char-offset:701","PERSON","","","","","","","","","","",""
"a0b0afd6-9cb1-42de-8e0e-c9806f282224","Pforzheimer Part 1_entry-156.0_114.txt","William Cowan (11 May 1908, Lot 446)","char-offset:701","EVENT","","","","","","","","","","",""
"0606f797-4e25-45e6-b337-5a5e1d15e7b6","Pforzheimer Part 1_entry-156.0_114.txt","1908","char-offset:723","","","","","","","","","AuctionYear","","",""
"9c8b7577-c9b9-4966-80d0-f93bad221a6a","Pforzheimer Part 1_entry-156.0_114.txt","446","char-offset:733","","","","","","","","","Lot","","",""
"073f8dd3-ee8b-4663-a2ae-48e38e0bde5a","Pforzheimer Part 1_entry-156.0_114.txt","P.M.Pittar (II, 1918, Lot 174","char-offset:738","EVENT","","","","","","","","","","",""
"950b25f0-ddde-4d2d-b36c-6a7795a3668d","Pforzheimer Part 1_entry-156.0_114.txt","P.M.Pittar","char-offset:738","PERSON","","","","","","","","","","",""
"386e2924-34ad-4671-a1cb-bb58314b911d","Pforzheimer Part 1_entry-156.0_114.txt","1918","char-offset:754","","","","","","","","","AuctionYear","","",""
"82f1605e-846e-4e29-8119-5482f635fc7c","Pforzheimer Part 1_entry-156.0_114.txt","174","char-offset:764","","","","","","","","","Lot","","",""
"b4e0627b-a5cf-46fe-bac2-dec80dfa8099","Pforzheimer Part 1_entry-156.0_114.txt","Sotheby’s 17 Dec. 1919, Lot 44)","char-offset:777","EVENT","","","","","","","","","","",""
"38764ab0-68f7-462e-88a9-1e49ead913d2","Pforzheimer Part 1_entry-156.0_114.txt","Sotheby","char-offset:777","PERSON","","","","","","","","","","",""
"558a2fc3-45f8-4257-9e8d-b468f347649e","Pforzheimer Part 1_entry-156.0_114.txt","1919","char-offset:795","","","","","","","","","AuctionYear","","",""
"6a07ff10-eb5e-4ac4-bb47-5e56d64b4c9b","Pforzheimer Part 1_entry-156.0_114.txt","44","char-offset:805","","","","","","","","","Lot","","",""
"31d8ded2-ad2c-4950-a8cd-1d6161ba4883","Pforzheimer Part 1_entry-152.0_111.txt","The Mark P. Robinson (II, 1918, Lot 106)","char-offset:594","EVENT","","","","","","","","","","",""
"3b1ad300-172e-4d87-b6fc-532b7745499d","Pforzheimer Part 1_entry-152.0_111.txt","The Mark P. Robinson","char-offset:594","PERSON","","","","","","","","","","",""
"f6cc88a2-145a-4c5f-888e-e15c1936f7bb","Pforzheimer Part 1_entry-152.0_111.txt","1918","char-offset:620","","","","","","","","","AuctionYear","","",""
"29bc5898-992c-4f42-ad95-def643ee9df5","Pforzheimer Part 1_entry-152.0_111.txt","106","char-offset:630","","","","","","","","","Lot","","",""
"048da8f4-de94-4d2c-92b4-d818baf86b11","Pforzheimer Part 1_entry-159.0_116.txt","The  Jones (I, 1919, Lot 251)","char-offset:1348","EVENT","","","","","","","","","","",""
"9a06ce0e-48b8-42bf-8d8f-3a732508e52c","Pforzheimer Part 1_entry-159.0_116.txt","The  Jones","char-offset:1348","PERSON","","","","","","","","","","",""
"d234e858-cddb-4496-a39d-210159f59f8e","Pforzheimer Part 1_entry-159.0_116.txt","1919","char-offset:1363","","","","","","","","","AuctionYear","","",""
"85fbf523-f8c7-4c86-89f5-3928f0943e52","Pforzheimer Part 1_entry-159.0_116.txt","251","char-offset:1373","","","","","","","","","Lot","","",""
"1ef97824-b1f8-4c08-9d5f-ab45b8c40b0c","Pforzheimer Part 1_entry-159.5_117.txt","The Jones","char-offset:875","PERSON","","","","","","","","","","",""
"f073d637-b74e-4ad9-901b-e5b552e12248","Pforzheimer Part 1_entry-159.5_117.txt","The Jones (I, 1919,  Lot 249)","char-offset:875","EVENT","","","","","","","","","","",""
"a70ae866-305a-4ea2-b053-116e4e5e32a8","Pforzheimer Part 1_entry-159.5_117.txt","1919","char-offset:889","","","","","","","","","AuctionYear","","",""
"778697bc-f37a-4f65-8f15-68c6d591f241","Pforzheimer Part 1_entry-159.5_117.txt","249","char-offset:900","","","","","","","","","Lot","","",""
"81eea62f-9cde-4663-9314-2b87e79124fb","Pforzheimer Part 1_entry-150.0_110.txt","The Shakespeare Library","char-offset:1645","PERSON","","","","","","","","","","",""
"dbf72829-0a17-4d05-aa00-a30fdb1c6aa8","Pforzheimer Part 1_entry-150.0_110.txt","The Shakespeare Library (I, 1918, Lot  135)","char-offset:1645","EVENT","","","","","","","","","","",""
"13d13bc2-5f1e-4d12-b428-a4b5434c8f34","Pforzheimer Part 1_entry-150.0_110.txt","1918","char-offset:1673","","","","","","","","","AuctionYear","","",""
"61f3cfd3-979f-4f88-b4e8-78a2d98bc79e","Pforzheimer Part 1_entry-150.0_110.txt","135","char-offset:1684","","","","","","","","","Lot","","",""
"c910648a-80a8-49e6-a55a-1759c5a936a3","Pforzheimer Part 1_entry-153.0_112.txt","The Mark P. Robinson (I, 1918, Lot 107)","char-offset:286","EVENT","","","","","","","","","","",""
"ca918161-353c-4dc9-b96f-0be287bb6c5a","Pforzheimer Part 1_entry-153.0_112.txt","The Mark P. Robinson","char-offset:286","PERSON","","","","","","","","","","",""
"dd3c491c-f1e6-437f-8b7b-d185e29f0f43","Pforzheimer Part 1_entry-153.0_112.txt","1918","char-offset:311","","","","","","","","","AuctionYear","","",""
"b782c6e7-9bc2-4176-9121-232a72b4d30c","Pforzheimer Part 1_entry-153.0_112.txt","107","char-offset:321","","","","","","","","","Lot","","",""
"0b2fdac1-82d7-47b4-9e36-7e67aa3e56ea","Pforzheimer Part 1_entry-165.0_121.txt","The Roxburghe (1812, Lot 4542)","char-offset:809","EVENT","","","","","","","","","","",""
"12bd6bec-a081-4926-ac21-5a7dac5c6942","Pforzheimer Part 1_entry-165.0_121.txt","he Roxburghe","char-offset:810","PERSON","","","","","","","","","","",""
"5c43ba0c-2296-4581-8ce7-26f92e8df517","Pforzheimer Part 1_entry-165.0_121.txt","1812","char-offset:824","","","","","","","","","AuctionYear","","",""
"4ef6eda5-18ba-4039-b7cc-4cbdc51081a7","Pforzheimer Part 1_entry-165.0_121.txt","4542","char-offset:834","","","","","","","","","Lot","","",""
"b4664c8c-f14b-40be-bbf4-d8d223fa7e6b","Pforzheimer Part 1_entry-165.0_121.txt","Kemble (1814)","char-offset:842","EVENT","","","","","","","","","","",""
"b2aa69a0-f821-495a-a6b8-713f71de7829","Pforzheimer Part 1_entry-165.0_121.txt","Kemble","char-offset:842","PERSON","","","","","","","","","","",""
"5503ce73-d356-4de3-9502-ffba3f938fe0","Pforzheimer Part 1_entry-165.0_121.txt","1814","char-offset:850","","","","","","","","","AuctionYear","","",""
"15d8df1b-dfb9-461b-a373-3e60e3596de3","Pforzheimer Part 1_entry-165.0_121.txt","Devonshire","char-offset:858","EVENT","","","","","","","","","","",""
"b2fd7a27-06e9-4125-89ab-408047a28aaa","Pforzheimer Part 1_entry-165.0_121.txt","Huntington  (private)","char-offset:870","EVENT","","","","","","","","","","",""
"d6db75b3-4eed-4b4f-9686-bb4879ee0dbd","Pforzheimer Part 1_entry-155.0_113.txt","The Jones (1918, Lot 245)","char-offset:1083","EVENT","","","","","","","","","","",""
"672897de-7cc8-46f8-be01-297d53074879","Pforzheimer Part 1_entry-155.0_113.txt","The Jones","char-offset:1083","PERSON","","","","","","","","","","",""
"d56de3fb-b2f9-4158-9dc7-3e9a59cc6cd3","Pforzheimer Part 1_entry-155.0_113.txt","1918","char-offset:1094","","","","","","","","","AuctionYear","","",""
"8de12f43-412d-4914-b8ee-3c3c99a779ac","Pforzheimer Part 1_entry-155.0_113.txt","245","char-offset:1104","","","","","","","","","Lot","","",""
"a523f379-8a30-4add-8b4d-c39774fa2fc5","Pforzheimer Part 1_entry-161.0_118.txt","The Jones","char-offset:1664","PERSON","","","","","","","","","","",""
"704ac7fb-4ebd-4224-ae4d-139477bbfde9","Pforzheimer Part 1_entry-161.0_118.txt","The Jones (I,  1919, Lot 250)","char-offset:1664","EVENT","","","","","","","","","","",""
"842fa9a5-cd45-45f6-8df1-f14eadbcec8a","Pforzheimer Part 1_entry-161.0_118.txt","1919","char-offset:1679","","","","","","","","","AuctionYear","","",""
