"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"30c1b53b-ebab-4dc6-8ba4-153f9435c6ad","Pforzheimer Part 2_entry-91.0_484.txt","Bridgewater","char-offset:767","EVENT","","","","","","","","","","",""
"4b6eabbd-2007-4542-b9ea-c7b69b1b481f","Pforzheimer Part 2_entry-91.0_484.txt","Huntington (VII, 1918, Lot 253)","char-offset:780","EVENT","","","","","","","","","","",""
"2df783b2-48f6-467b-8c13-5fabde9c7de8","Pforzheimer Part 2_entry-91.0_484.txt","Huntington","char-offset:780","PERSON","","","","","","","","","","",""
"b2fa6a6a-4772-47d8-92ec-2ebe335234b8","Pforzheimer Part 2_entry-91.0_484.txt","1918","char-offset:797","","","","","","","","","AuctionYear","","",""
"22464346-0c6c-4342-b88d-5f448ac8d443","Pforzheimer Part 2_entry-91.0_484.txt","253","char-offset:807","","","","","","","","","Lot","","",""
"67231eb1-53a4-462d-a497-d110607f1d15","Pforzheimer Part 2_entry-91.0_484.txt","Clawson (I, 1926, Lot 388)","char-offset:814","EVENT","","","","","","","","","","",""
"8e808ef5-6e28-4673-913f-8d27cd2f9035","Pforzheimer Part 2_entry-91.0_484.txt","Clawson","char-offset:814","PERSON","","","","","","","","","","",""
"5ba4682c-4af7-4de3-b833-1d1bafad888d","Pforzheimer Part 2_entry-91.0_484.txt","1926","char-offset:826","","","","","","","","","AuctionYear","","",""
"9b4d7a05-0b36-463f-82fb-1424b74a6ee0","Pforzheimer Part 2_entry-91.0_484.txt","388","char-offset:836","","","","","","","","","Lot","","",""
"0174da35-61ab-4e0a-9c1c-6c93e0c44855","Pforzheimer Part 2_entry-88.0_480.txt","Arbury","char-offset:1142","PERSON","","","","","","","","","","",""
"e360a139-4a9a-4601-b479-3a5d21411604","Pforzheimer Part 2_entry-88.0_480.txt","Arbury  h (VI, 1921, Lot 169)","char-offset:1142","EVENT","","","","","","","","","","",""
"adc2751d-b16a-4f59-aa4e-c7a97b197e72","Pforzheimer Part 2_entry-88.0_480.txt","1921","char-offset:1157","","","","","","","","","AuctionYear","","",""
"97a7f274-2e6f-408a-8c18-37e89d465232","Pforzheimer Part 2_entry-88.0_480.txt","169","char-offset:1167","","","","","","","","","Lot","","",""
"78731283-2e17-47d3-9630-f3130d3515d9","Pforzheimer Part 2_entry-88.0_480.txt","Clawson (I, 1926, Lot 386)","char-offset:1174","EVENT","","","","","","","","","","",""
"ae0fcb16-176a-4701-8ecd-16a0710193ea","Pforzheimer Part 2_entry-88.0_480.txt","Clawson","char-offset:1174","PERSON","","","","","","","","","","",""
"08ff6d5d-78bd-47ee-9912-bdee2fd362db","Pforzheimer Part 2_entry-88.0_480.txt","1926","char-offset:1186","","","","","","","","","AuctionYear","","",""
"7f6f7323-b856-4130-be7b-79541050b0ba","Pforzheimer Part 2_entry-88.0_480.txt","386","char-offset:1196","","","","","","","","","Lot","","",""
"f563ee46-d8c0-45ae-88dd-a120cef0207c","Pforzheimer Part 2_entry-90.75_483.txt","Wolfreston","char-offset:951","PERSON","","","","","","","","","","",""
"5d57d025-7331-4c2c-9aea-d37b04691678","Pforzheimer Part 2_entry-90.75_483.txt","Wolfreston (1856, Lot 285)","char-offset:951","EVENT","","","","","","","","","","",""
"8d2ac0c9-e011-4f1f-95b4-35ad03e3cbf8","Pforzheimer Part 2_entry-90.75_483.txt","1856","char-offset:963","","","","","","","","","AuctionYear","","",""
"85c48f4c-0a0b-4422-ba84-c59d8e9d8b61","Pforzheimer Part 2_entry-90.75_483.txt","285","char-offset:973","","","","","","","","","Lot","","",""
"46729909-e9e6-4c1e-a36c-d5803ebca815","Pforzheimer Part 2_entry-90.75_483.txt","Tite (1874,  Lot 1412)","char-offset:980","EVENT","","","","","","","","","","",""
"3ee8874c-3075-42b7-bf07-508208484a26","Pforzheimer Part 2_entry-90.75_483.txt","Tite","char-offset:980","PERSON","","","","","","","","","","",""
"cb1a151e-ef7d-470e-9c9b-8262cfa5780a","Pforzheimer Part 2_entry-90.75_483.txt","1874","char-offset:986","","","","","","","","","AuctionYear","","",""
"05ba6729-3d50-40b3-9e52-aa5fdef41da8","Pforzheimer Part 2_entry-90.75_483.txt","1412","char-offset:997","","","","","","","","","Lot","","",""
"343f17ad-000f-421f-ac48-b084254afc63","Pforzheimer Part 2_entry-90.75_483.txt","Huth","char-offset:1004","PERSON","","","","","","","","","","",""
"4807bced-edab-4d95-9fa1-c47b86a6091e","Pforzheimer Part 2_entry-90.75_483.txt","Huth (III, 1913, Lot 3643)","char-offset:1004","EVENT","","","","","","","","","","",""
"65ee4dd2-2b09-4e02-84b2-36557919f464","Pforzheimer Part 2_entry-90.75_483.txt","1913","char-offset:1015","","","","","","","","","AuctionYear","","",""
"8dfb484a-ffc0-432d-a609-b7e467becb3d","Pforzheimer Part 2_entry-90.75_483.txt","3643","char-offset:1025","","","","","","","","","Lot","","",""
"1cee6d78-c564-4141-a417-f31e43ee3473","Pforzheimer Part 2_entry-90.75_483.txt","Huntington","char-offset:1032","PERSON","","","","","","","","","","",""
"ae44d998-6c61-4494-9f06-66b4e91ed21b","Pforzheimer Part 2_entry-90.75_483.txt","Huntington (private)","char-offset:1032","EVENT","","","","","","","","","","",""
