"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"29a7e337-2ca7-4bfe-a820-54c911277eab","Pforzheimer Part 3_entry-250.0_1014.txt","Hoef (III, 1912,                                 Lot  3256)","char-offset:928","EVENT","","","","","","","","","","",""
"160a9cd3-231b-4d23-93e0-0265e64d73d8","Pforzheimer Part 3_entry-250.0_1014.txt","Hoef","char-offset:928","PERSON","","","","","","","","","","",""
"4f386038-a416-4da6-bd2a-23a69d18d086","Pforzheimer Part 3_entry-250.0_1014.txt","1912","char-offset:939","","","","","","","","","AuctionYear","","",""
"dde61c1c-8b97-4515-a5d5-a20977f56a8a","Pforzheimer Part 3_entry-250.0_1014.txt","3256","char-offset:982","","","","","","","","","Lot","","",""
"1a07020a-a11b-4279-a5a1-d8632f695986","Pforzheimer Part 3_entry-250.0_1014.txt","Jones","char-offset:989","PERSON","","","","","","","","","","",""
"23ced8e2-a177-4cff-9fc4-f2bca4b9fd2f","Pforzheimer Part 3_entry-250.0_1014.txt","Jones (1923, Lot 192)","char-offset:989","EVENT","","","","","","","","","","",""
"800556a8-286a-445d-bb98-5d7123aa4522","Pforzheimer Part 3_entry-250.0_1014.txt","1923","char-offset:996","","","","","","","","","AuctionYear","","",""
"49582a8b-ca69-4ceb-b300-84de13c3259f","Pforzheimer Part 3_entry-250.0_1014.txt","192","char-offset:1006","","","","","","","","","Lot","","",""
"2d5b1a99-b7be-4283-945e-a4c01a0ecbca","Pforzheimer Part 3_entry-244.5_1008.txt","Mark P. Robinson  (II, 1918, Lot 226)","char-offset:1673","EVENT","","","","","","","","","","",""
"43966f10-5905-4418-9fcd-6a6410fc6794","Pforzheimer Part 3_entry-244.5_1008.txt","Mark P. Robinson","char-offset:1673","PERSON","","","","","","","","","","",""
"7ed39f9b-6905-49e0-98e1-fc230c6ca874","Pforzheimer Part 3_entry-244.5_1008.txt","1918","char-offset:1696","","","","","","","","","AuctionYear","","",""
"c0607946-31be-4b56-96e1-1205e321a089","Pforzheimer Part 3_entry-244.5_1008.txt","226","char-offset:1706","","","","","","","","","Lot","","",""
"b6359d67-80ed-4646-a639-7ea5d31910bd","Pforzheimer Part 3_entry-246.0_1010.txt","Ouvry","char-offset:922","PERSON","","","","","","","","","","",""
"9c0b1aa1-e26e-4864-84ee-d08fb2985754","Pforzheimer Part 3_entry-246.0_1010.txt","Ouvry  (I, 1882, Lot 1568)","char-offset:922","EVENT","","","","","","","","","","",""
"f8ae8dc8-59b7-46b5-94bf-dd7a473bb3ac","Pforzheimer Part 3_entry-246.0_1010.txt","1882","char-offset:933","","","","","","","","","AuctionYear","","",""
"1c5ef98c-e98c-4e88-a47b-e40a35a27dd4","Pforzheimer Part 3_entry-246.0_1010.txt","1568","char-offset:943","","","","","","","","","Lot","","",""
"37ab9d29-eda0-41f5-9741-1b024b77aa71","Pforzheimer Part 3_entry-246.0_1010.txt","Locker","char-offset:950","PERSON","","","","","","","","","","",""
"aa304967-7263-40d8-8f04-a3ea6104d430","Pforzheimer Part 3_entry-246.0_1010.txt","Church  estate sale (1916, Lot 1137)","char-offset:957","EVENT","","","","","","","","","","",""
"fceea7d4-23a5-4083-ad6a-d8e60f8046e5","Pforzheimer Part 3_entry-246.0_1010.txt","Church  estate sale","char-offset:957","PERSON","","","","","","","","","","",""
"3855cc0b-523d-46a2-b093-c4899fb06436","Pforzheimer Part 3_entry-246.0_1010.txt","1916","char-offset:978","","","","","","","","","AuctionYear","","",""
"2f341106-bc16-4370-a739-d8c4a83fa932","Pforzheimer Part 3_entry-246.0_1010.txt","1137","char-offset:988","","","","","","","","","Lot","","",""
"fb5e31b0-2730-47d9-9c40-9bb57adaf2a7","Pforzheimer Part 3_entry-246.0_1010.txt","Huntington","char-offset:994","PERSON","","","","","","","","","","",""
"b73dfaf6-27be-4c2e-b50d-c0c43439d017","Pforzheimer Part 3_entry-246.0_1010.txt","Huntington  (VII,                              1918, Lot 855)","char-offset:994","EVENT","","","","","","","","","","",""
"ac1d6d41-dc01-4e53-a400-97f8b10f534e","Pforzheimer Part 3_entry-246.0_1010.txt","1918","char-offset:1041","","","","","","","","","AuctionYear","","",""
"0e609d4f-adbd-4fcc-b6b2-65fa11442724","Pforzheimer Part 3_entry-246.0_1010.txt","855","char-offset:1051","","","","","","","","","Lot","","",""
"524ce060-c691-4f52-b40e-ef17f7b956f0","Pforzheimer Part 3_entry-243.0_1006.txt","Lefferts (1902, Lot 1310)","char-offset:3083","EVENT","","","","","","","","","","",""
"98bc5b64-510b-45e4-92fe-7ad0e307679d","Pforzheimer Part 3_entry-243.0_1006.txt","Lefferts","char-offset:3083","PERSON","","","","","","","","","","",""
"c64cefc4-6fc1-4d48-9133-4e839bfd1abc","Pforzheimer Part 3_entry-243.0_1006.txt","1902","char-offset:3093","","","","","","","","","AuctionYear","","",""
"a7659412-962b-44a0-b118-08f3162626db","Pforzheimer Part 3_entry-243.0_1006.txt","1310","char-offset:3103","","","","","","","","","Lot","","",""
"cb33a1a1-dddb-4159-8da9-ee170c78e232","Pforzheimer Part 3_entry-243.0_1006.txt","Hagen  (1918, Lot 1258)","char-offset:3110","EVENT","","","","","","","","","","",""
"2cdb4cd1-c6ed-49ff-8ebb-1408f3f27913","Pforzheimer Part 3_entry-243.0_1006.txt","Hagen","char-offset:3110","PERSON","","","","","","","","","","",""
"3180115b-50da-45fc-afcb-ea8989046417","Pforzheimer Part 3_entry-243.0_1006.txt","1918","char-offset:3118","","","","","","","","","AuctionYear","","",""
"dda266e0-a532-40d5-8779-f1b273c0d1f5","Pforzheimer Part 3_entry-243.0_1006.txt","1258","char-offset:3128","","","","","","","","","Lot","","",""
"6e4e4fe0-d444-40cf-b496-dc4a9a9ac230","Pforzheimer Part 3_entry-253.0_1017..txt","Hoe","char-offset:1021","PERSON","","","","","","","","","","",""
"3de584de-7e0f-4f3d-ae89-7e2b78d98e6b","Pforzheimer Part 3_entry-253.0_1017..txt","Hoe (II, 1912, Lot 3275)","char-offset:1021","EVENT","","","","","","","","","","",""
"e8a11a2d-8ab0-49bf-be2d-d1932b86de2e","Pforzheimer Part 3_entry-253.0_1017..txt","1912","char-offset:1030","","","","","","","","","AuctionYear","","",""
"dc3c1170-d0c0-4e2c-b51f-7be1f961c910","Pforzheimer Part 3_entry-253.0_1017..txt","3275","char-offset:1040","","","","","","","","","Lot","","",""
"e9eec3b9-2c69-412f-8106-ac40c0b63222","Pforzheimer Part 3_entry-253.0_1017..txt","Huntington (VII, 1918, Lot 858)","char-offset:1048","EVENT","","","","","","","","","","",""
"8249b754-a655-45ee-b5cf-ba664b323a4e","Pforzheimer Part 3_entry-253.0_1017..txt","Huntington","char-offset:1048","PERSON","","","","","","","","","","",""
"c13673a4-4489-4158-b2e8-93c463553a71","Pforzheimer Part 3_entry-253.0_1017..txt","1918","char-offset:1065","","","","","","","","","AuctionYear","","",""
"b6b1a7da-e386-4320-ac36-d55b190f6a53","Pforzheimer Part 3_entry-253.0_1017..txt","858","char-offset:1075","","","","","","","","","Lot","","",""
"728497eb-6729-4981-b60d-f879a709ba09","Pforzheimer Part 3_entry-254.0_1018.txt","Lefferts","char-offset:1106","PERSON","","","","","","","","","","",""
"4400c820-f2b1-4fe6-8b4f-68f4fdd15c7a","Pforzheimer Part 3_entry-254.0_1018.txt","Lefferts (1902, Lot 1331)","char-offset:1106","EVENT","","","","","","","","","","",""
"7514c29f-bdf7-40a4-85ae-b52f63862d64","Pforzheimer Part 3_entry-254.0_1018.txt","1902","char-offset:1116","","","","","","","","","AuctionYear","","",""
"d6af2ecf-90e5-4fa0-95c6-3a0ca1b44fef","Pforzheimer Part 3_entry-254.0_1018.txt","1331","char-offset:1126","","","","","","","","","Lot","","",""
"1832c67d-a337-483f-8114-ba38b7cf8b87","Pforzheimer Part 3_entry-254.0_1018.txt","Hagen (1918, Lot 1341)","char-offset:1133","EVENT","","","","","","","","","","",""
"df30344d-2e3f-40a3-9191-f292d77cd866","Pforzheimer Part 3_entry-254.0_1018.txt","Hagen","char-offset:1133","PERSON","","","","","","","","","","",""
"12ceaeab-248b-4d1a-9ce6-39d9779430bb","Pforzheimer Part 3_entry-254.0_1018.txt","1918","char-offset:1140","","","","","","","","","AuctionYear","","",""
"ebdeab95-69f9-4dc0-947f-f8eec785b2d0","Pforzheimer Part 3_entry-254.0_1018.txt","1341","char-offset:1150","","","","","","","","","Lot","","",""
"f2ebdf18-6b26-4e0b-ab38-8450c609c025","Pforzheimer Part 3_entry-252.0_1016.txt","Bridgewater","char-offset:916","PERSON","","","","","","","","","","",""
"89584487-aef7-4e3c-89d7-044e98c203d8","Pforzheimer Part 3_entry-252.0_1016.txt","Huntington   (XII, 1920, Lot 321)","char-offset:929","EVENT","","","","","","","","","","",""
"cc1c0d1a-8f13-47cc-91b6-73a238837b2c","Pforzheimer Part 3_entry-252.0_1016.txt","Huntington","char-offset:929","PERSON","","","","","","","","","","",""
"b09603f6-5bea-41e3-b54a-bc78973b1b30","Pforzheimer Part 3_entry-252.0_1016.txt","1920","char-offset:948","","","","","","","","","AuctionYear","","",""
"7526aa0c-8f81-4f25-94f1-9391a2aec6ae","Pforzheimer Part 3_entry-252.0_1016.txt","321","char-offset:958","","","","","","","","","Lot","","",""
"1d6caa9a-823c-44d5-bc2d-be9861cafeaf","Pforzheimer Part 3_entry-241.0_1004.txt","Jolley","char-offset:1017","PERSON","","","","","","","","","","",""
"f277bdf8-e1b4-47d6-bc03-6da87264b4c5","Pforzheimer Part 3_entry-241.0_1004.txt","Jolley (IV, 1844, Lot                                  1085)","char-offset:1017","EVENT","","","","","","","","","","",""
"c41a3aac-9aac-4049-8e2c-e61b08572edc","Pforzheimer Part 3_entry-241.0_1004.txt","1844","char-offset:1029","","","","","","","","","AuctionYear","","",""
"866907ee-872e-498c-8ae0-0c20d0a2ab0d","Pforzheimer Part 3_entry-241.0_1004.txt","1085","char-offset:1072","","","","","","","","","Lot","","",""
"3bf17b5c-1fbb-4381-a729-40ea7e2b80c3","Pforzheimer Part 3_entry-241.0_1004.txt","Hoe","char-offset:1080","PERSON","","","","","","","","","","",""
"4dfbeeb4-fb7f-4839-a456-956e98de39ee","Pforzheimer Part 3_entry-241.0_1004.txt","Hoe (III, 1912, Lot 3146)","char-offset:1080","EVENT","","","","","","","","","","",""
"6d42821c-80d3-48b4-b31f-68682d967b11","Pforzheimer Part 3_entry-241.0_1004.txt","1912","char-offset:1090","","","","","","","","","AuctionYear","","",""
"b3afeef0-2b4e-4801-9f54-fa2b1516b8fd","Pforzheimer Part 3_entry-241.0_1004.txt","3146","char-offset:1100","","","","","","","","","Lot","","",""
"af76a72a-5abd-410f-bf09-e541f6d83248","Pforzheimer Part 3_entry-241.0_1004.txt","Huntington (VII, 1918, Lot 843)","char-offset:1108","EVENT","","","","","","","","","","",""
"c39bce76-ff50-495e-a669-c15e0e5968e9","Pforzheimer Part 3_entry-241.0_1004.txt","Huntington","char-offset:1108","PERSON","","","","","","","","","","",""
"ca6af60c-6cb3-47e8-8d94-ad322d0c21b4","Pforzheimer Part 3_entry-241.0_1004.txt","1918","char-offset:1125","","","","","","","","","AuctionYear","","",""
"5cdbacda-0f91-4199-a6e1-1616e440503a","Pforzheimer Part 3_entry-241.0_1004.txt","843","char-offset:1135","","","","","","","","","Lot","","",""
"870b9922-955f-4ff3-91db-597bb6c02dc0","Pforzheimer Part 3_entry-251.0_1015.txt","Britwell (April 1924,                  Lot 573)","char-offset:1149","EVENT","","","","","","","","","","",""
"f635c743-1525-4d42-a843-951d7f566b7c","Pforzheimer Part 3_entry-251.0_1015.txt","Britwell","char-offset:1149","PERSON","","","","","","","","","","",""
"7ed74e79-6db4-44b0-ac80-b9bae02ebb41","Pforzheimer Part 3_entry-251.0_1015.txt","1924","char-offset:1165","","","","","","","","","AuctionYear","","",""
"f1e5881b-b265-43d7-bf85-7c584b56495d","Pforzheimer Part 3_entry-251.0_1015.txt","573","char-offset:1192","","","","","","","","","Lot","","",""
"aba8dff3-48a1-456d-a021-d678adf5f8d1","Pforzheimer Part 3_entry-244.0_1007.txt","Chalmers","char-offset:2340","PERSON","","","","","","","","","","",""
"49637a0f-77b0-4ee7-955d-274b8f6e1457","Pforzheimer Part 3_entry-244.0_1007.txt","Britwell","char-offset:2371","PERSON","","","","","","","","","","",""
"6c1cd7cd-c0d9-4adc-8eaf-ec2fa028d647","Pforzheimer Part 3_entry-244.0_1007.txt","Britwell (1924, Lot 762)","char-offset:2371","EVENT","","","","","","","","","","",""
"49f08a2d-1951-4273-bb56-d2206760760b","Pforzheimer Part 3_entry-244.0_1007.txt","1924","char-offset:2381","","","","","","","","","AuctionYear","","",""
"5df44f3a-69db-4f97-a45b-b278e4b6186d","Pforzheimer Part 3_entry-244.0_1007.txt","762","char-offset:2391","","","","","","","","","Lot","","",""
"954c2e9f-9ab9-4812-8364-1c1ce00f0783","Pforzheimer Part 3_entry-245.0_1009.txt","Kemble","char-offset:819","PERSON","","","","","","","","","","",""
"63883f2b-94ea-4604-af40-4d149da9104a","Pforzheimer Part 3_entry-245.0_1009.txt","Kemble                  (1797)","char-offset:819","EVENT","","","","","","","","","","",""
"aba191b3-43e4-4e13-a74c-4f590fa54b44","Pforzheimer Part 3_entry-245.0_1009.txt","1797","char-offset:844","","","","","","","","","AuctionYear","","",""
"ace53cfe-a4ba-44f1-8ed8-7ec6b4caafa7","Pforzheimer Part 3_entry-245.0_1009.txt","Devonshire","char-offset:852","PERSON","","","","","","","","","","",""
"efb02957-4821-4570-9d55-12fd16bb7158","Pforzheimer Part 3_entry-245.0_1009.txt","Huntington","char-offset:864","PERSON","","","","","","","","","","",""
"f37481bd-656c-4213-8069-3692fee59727","Pforzheimer Part 3_entry-249.0_1013.txt","Heber","char-offset:1361","PERSON","","","","","","","","","","",""
"ae39608d-f2f5-4b9e-863b-80690871aadc","Pforzheimer Part 3_entry-249.0_1013.txt","Heber  (VII, 1835, Lot 5939)","char-offset:1361","EVENT","","","","","","","","","","",""
"4e6f593d-d508-479e-be85-301b8eb6894f","Pforzheimer Part 3_entry-249.0_1013.txt","1835","char-offset:1374","","","","","","","","","AuctionYear","","",""
"221559ec-427f-4296-85ba-b3490783ced0","Pforzheimer Part 3_entry-249.0_1013.txt","5939","char-offset:1384","","","","","","","","","Lot","","",""
"30fb91a4-53f4-4c73-bbd4-a635d8037e76","Pforzheimer Part 3_entry-242.0_1005.txt","Kemble","char-offset:799","PERSON","","","","","","","","","","",""
"95c48226-c97c-47c6-b1d5-2ef920d02836","Pforzheimer Part 3_entry-242.0_1005.txt","Kemble (1798)","char-offset:799","EVENT","","","","","","","","","","",""
"98f3212b-cb46-4b5e-9a5d-97453628fddb","Pforzheimer Part 3_entry-242.0_1005.txt","1798","char-offset:807","","","","","","","","","AuctionYear","","",""
"c702bb40-3955-40a3-ade2-c34853d3a072","Pforzheimer Part 3_entry-242.0_1005.txt","Devonshire","char-offset:846","PERSON","","","","","","","","","","",""
"1049d701-8783-4a63-b8c2-85747d8ce5f7","Pforzheimer Part 3_entry-242.0_1005.txt","Huntington","char-offset:860","PERSON","","","","","","","","","","",""
"7b33b323-09de-4415-ae1d-98be9d216521","Pforzheimer Part 3_entry-247.0_1011.txt",", Heber (VI, 1835, Lot 3659)","char-offset:2786","EVENT","","","","","","","","","","",""
"d414be76-2ac4-41bf-92a7-d33acace6036","Pforzheimer Part 3_entry-247.0_1011.txt","Heber","char-offset:2788","PERSON","","","","","","","","","","",""
"dcfd401b-e3c5-45e8-9412-c82233dd6a73","Pforzheimer Part 3_entry-247.0_1011.txt","1835","char-offset:2799","","","","","","","","","AuctionYear","","",""
"ece217f1-b2ff-4f94-8b6e-78a6c9777b9c","Pforzheimer Part 3_entry-247.0_1011.txt","3659","char-offset:2809","","","","","","","","","Lot","","",""
"ce564df6-695f-48c9-b352-72603c11fc99","Pforzheimer Part 3_entry-247.0_1011.txt","Christie-Miller (1924, Lot 772).","char-offset:2820","EVENT","","","","","","","","","","",""
"e8848712-da8c-4874-8696-f6308fe9d028","Pforzheimer Part 3_entry-247.0_1011.txt","Christie-Miller","char-offset:2820","PERSON","","","","","","","","","","",""
"067e65c6-05d8-4900-86ac-a7e2ca203c4c","Pforzheimer Part 3_entry-247.0_1011.txt","1924","char-offset:2837","","","","","","","","","AuctionYear","","",""
"7f078a4b-2b0a-4643-a031-89b421a130a0","Pforzheimer Part 3_entry-247.0_1011.txt","772","char-offset:2847","","","","","","","","","Lot","","",""
