"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"6cd74f98-c236-4924-a2da-cfc0751bcbd3","Pforzheimer Part 3_entry-101.0_871.txt","Huth (VII, 1918, Lot 6733)","char-offset:1327","EVENT","","","","","","","","","","",""
"c1b8d82c-fdb8-4944-bf24-53ab1a224cb2","Pforzheimer Part 3_entry-101.0_871.txt","Huth","char-offset:1327","PERSON","","","","","","","","","","",""
"3f0b33cb-87eb-4f06-b342-07442a8b7128","Pforzheimer Part 3_entry-101.0_871.txt","1918","char-offset:1338","","","","","","","","","AuctionYear","","",""
"ccaf0114-4353-449f-8d14-bc2bb3489257","Pforzheimer Part 3_entry-101.0_871.txt","6733","char-offset:1348","","","","","","","","","Lot","","",""
"ce81bb06-3ffd-415d-9d02-1535d944ccda","Pforzheimer Part 3_entry-106.0_877.txt","Shakespeare  Library (I, 1918, Lot 784) copy.","char-offset:989","EVENT","","","","","","","","","","",""
"e46c9c96-0f60-4db5-a7c0-c6e5ef9d3fb3","Pforzheimer Part 3_entry-106.0_877.txt","Shakespeare  Library","char-offset:989","PERSON","","","","","","","","","","",""
"50494f96-ed3f-4b26-8752-84d395d5fcdf","Pforzheimer Part 3_entry-106.0_877.txt","1918","char-offset:1014","","","","","","","","","AuctionYear","","",""
"c2af6a39-d1fb-45b7-b9ff-d3c6c227afcf","Pforzheimer Part 3_entry-106.0_877.txt","784","char-offset:1024","","","","","","","","","Lot","","",""
"9744822c-e696-49d3-8e1c-be9389d91f02","Pforzheimer Part 3_entry-103.0_873.txt","Huth","char-offset:1254","PERSON","","","","","","","","","","",""
"5df7eca8-5263-43ee-a19c-bddeb8cfe523","Pforzheimer Part 3_entry-103.0_873.txt","Huth (VII, 1918, Lot 6742)","char-offset:1254","EVENT","","","","","","","","","","",""
"7d3b92a0-2e75-4aa6-9667-4cded87341b8","Pforzheimer Part 3_entry-103.0_873.txt","1918","char-offset:1265","","","","","","","","","AuctionYear","","",""
"c339c2cb-40d9-44ec-853c-da9e23ec9801","Pforzheimer Part 3_entry-103.0_873.txt","6742","char-offset:1275","","","","","","","","","Lot","","",""
"951acf14-d0f4-401b-af79-9c74c88692b1","Pforzheimer Part 3_entry-109.5_881.txt","Pittar                                   (II, 1918, Lot 587)","char-offset:978","EVENT","","","","","","","","","","",""
"ab9ad271-35a1-4710-8bb7-da7bdd26aaad","Pforzheimer Part 3_entry-109.5_881.txt","Pittar","char-offset:978","PERSON","","","","","","","","","","",""
"a8dc9c60-a956-49fe-aee1-b94a7ce23822","Pforzheimer Part 3_entry-109.5_881.txt","1918","char-offset:1024","","","","","","","","","AuctionYear","","",""
"8266984d-4180-4015-85c2-06e6e4666ebf","Pforzheimer Part 3_entry-109.5_881.txt","587","char-offset:1034","","","","","","","","","Lot","","",""
"b8a8dea7-15d0-4746-884c-39e8d65b98a5","Pforzheimer Part 3_entry-109.5_881.txt","Clawson","char-offset:1040","PERSON","","","","","","","","","","",""
"b7bc05fa-e754-4f81-adf6-c271d683f676","Pforzheimer Part 3_entry-109.5_881.txt","Clawson  (II, 1926, Lot 724)","char-offset:1040","EVENT","","","","","","","","","","",""
"bc1e7baa-5b10-410c-b1d5-3c65b45d4144","Pforzheimer Part 3_entry-109.5_881.txt","1926","char-offset:1054","","","","","","","","","AuctionYear","","",""
"56974180-dd59-4b62-a093-c5a8c0ce300d","Pforzheimer Part 3_entry-109.5_881.txt","724","char-offset:1064","","","","","","","","","Lot","","",""
"465addcd-b467-4225-94bf-22f58b2c907d","Pforzheimer Part 3_entry-102.0_872.txt","Shakespeare Library (I, 1918, Lot 541","char-offset:1950","EVENT","","","","","","","","","","",""
"39d1d468-014c-44d3-b096-cfb9d725e57d","Pforzheimer Part 3_entry-102.0_872.txt","Shakespeare Library","char-offset:1950","PERSON","","","","","","","","","","",""
"973a9d80-89d9-4b02-bfb1-70d1b467147a","Pforzheimer Part 3_entry-102.0_872.txt","1918","char-offset:1974","","","","","","","","","AuctionYear","","",""
"98ffe190-0531-4dee-b0fb-2a0530165e47","Pforzheimer Part 3_entry-102.0_872.txt","541","char-offset:1984","","","","","","","","","Lot","","",""
"9ada89e0-f3a5-426a-810b-bafa20994303","Pforzheimer Part 3_entry-111.0_884.txt","Kinnear","char-offset:962","PERSON","","","","","","","","","","",""
"6d5a06da-7a63-49ae-919d-ccf826be4b61","Pforzheimer Part 3_entry-111.0_884.txt","Kinnear  (Thorpe Cat. 1835, Pt. IV, Lot 1964)","char-offset:962","EVENT","","","","","","","","","","",""
"4ad79668-dc70-4480-9e4f-d21a009559c4","Pforzheimer Part 3_entry-111.0_884.txt","1835","char-offset:984","","","","","","","","","AuctionYear","","",""
"e4c19188-3349-49a3-aa5c-bc6b76066505","Pforzheimer Part 3_entry-111.0_884.txt","1964","char-offset:1002","","","","","","","","","Lot","","",""
"31d6c6f1-2807-4ac2-9b0e-1a9f8bf81267","Pforzheimer Part 3_entry-111.0_884.txt","Lord   Brougham","char-offset:1008","PERSON","","","","","","","","","","",""
"ae12b454-5366-49c2-9947-64c3ae56590e","Pforzheimer Part 3_entry-111.0_884.txt","J.Fitchett                     Marsh","char-offset:1036","PERSON","","","","","","","","","","",""
"9cd4522f-216d-4a11-936e-fdaf323100b5","Pforzheimer Part 3_entry-111.0_884.txt","J.Fitchett                     Marsh  (1882, Lot 2403)","char-offset:1036","EVENT","","","","","","","","","","",""
"f708655e-0bc0-4174-85ff-a634a62ecda7","Pforzheimer Part 3_entry-111.0_884.txt","1882","char-offset:1075","","","","","","","","","AuctionYear","","",""
"63449c13-be77-4444-8165-0c21e7729c49","Pforzheimer Part 3_entry-111.0_884.txt","2403","char-offset:1085","","","","","","","","","Lot","","",""
"3431cb5a-b27f-48de-8838-992310579c8b","Pforzheimer Part 3_entry-105.0_876.txt","Huth   (VII, 1918, Lot  6751)","char-offset:1154","EVENT","","","","","","","","","","",""
"801f7b8a-84b3-4b5e-80c5-c28a6276a86b","Pforzheimer Part 3_entry-105.0_876.txt","Huth","char-offset:1154","PERSON","","","","","","","","","","",""
"d8bab66e-55bd-4f7b-baa4-0c0ab97189d9","Pforzheimer Part 3_entry-105.0_876.txt","1918","char-offset:1167","","","","","","","","","AuctionYear","","",""
"2cb719a7-862c-41ae-99a5-e6db4c47dc5f","Pforzheimer Part 3_entry-105.0_876.txt","6751","char-offset:1178","","","","","","","","","Lot","","",""
"ba30106a-9218-4921-8f76-61e948342ac7","Pforzheimer Part 3_entry-110.0_882.txt","Shakespeare Library","char-offset:933","PERSON","","","","","","","","","","",""
"943d263d-f7a0-4e80-a8fe-cd0ad10ffcb8","Pforzheimer Part 3_entry-110.0_882.txt","Shakespeare Library (II, 1918, Lot                   302)","char-offset:933","EVENT","","","","","","","","","","",""
"41720554-c91d-40dd-9710-acbfe5541006","Pforzheimer Part 3_entry-110.0_882.txt","1918","char-offset:958","","","","","","","","","AuctionYear","","",""
"cbfef416-929e-4ff7-836f-80adcc434b32","Pforzheimer Part 3_entry-110.0_882.txt","302","char-offset:986","","","","","","","","","Lot","","",""
"65c2fb33-94ba-4c74-8731-526a5fd1f105","Pforzheimer Part 3_entry-103.5_874.txt","Sydney Herbert","char-offset:1031","PERSON","","","","","","","","","","",""
"53db3ee5-12bc-47a6-8259-9ec04136479b","Pforzheimer Part 3_entry-103.5_874.txt","Sydney Herbert (1916, Lot 794).","char-offset:1031","EVENT","","","","","","","","","","",""
"6af2b59a-67eb-4e01-9c68-04a051a33860","Pforzheimer Part 3_entry-103.5_874.txt","1916","char-offset:1047","","","","","","","","","AuctionYear","","",""
"cbf7c46a-475b-41ee-be1c-a6a79aea0fb0","Pforzheimer Part 3_entry-103.5_874.txt","794","char-offset:1057","","","","","","","","","Lot","","",""
"ef24e80f-4830-4e58-bffa-fcb65e220d76","Pforzheimer Part 3_entry-108.0_879.txt","Ouvry (I, 1882, Lot 1322)","char-offset:1062","EVENT","","","","","","","","","","",""
"13372af7-9c6c-47ac-bf33-44547a4077e0","Pforzheimer Part 3_entry-108.0_879.txt","Ouvry","char-offset:1062","PERSON","","","","","","","","","","",""
"d3a05364-661d-4d89-a0fc-75c6cd3999f6","Pforzheimer Part 3_entry-108.0_879.txt","1882","char-offset:1072","","","","","","","","","AuctionYear","","",""
"a615c87a-c886-455e-8cbc-15e2a8b4be34","Pforzheimer Part 3_entry-108.0_879.txt","1322","char-offset:1082","","","","","","","","","Lot","","",""
"a4c3f769-46af-46de-bb2f-5dd7e945fcf0","Pforzheimer Part 3_entry-108.0_879.txt","Poor","char-offset:1088","PERSON","","","","","","","","","","",""
"14e4b6f4-97a6-4d25-915b-aa0939661ed4","Pforzheimer Part 3_entry-108.0_879.txt","Poor (III, 1909, Lot                                934)","char-offset:1088","EVENT","","","","","","","","","","",""
"2c5e8881-8367-4036-bcb3-9395f8868543","Pforzheimer Part 3_entry-108.0_879.txt","1909","char-offset:1099","","","","","","","","","AuctionYear","","",""
"60cfebc9-ce8d-448e-8761-5c77ced98b46","Pforzheimer Part 3_entry-108.0_879.txt","934","char-offset:1140","","","","","","","","","Lot","","",""
"634c1d6f-4f89-4f38-8480-061832bce398","Pforzheimer Part 3_entry-108.0_879.txt","Huntington","char-offset:1147","PERSON","","","","","","","","","","",""
"6ae8d67a-90ea-4933-af8e-b74cca07d3d3","Pforzheimer Part 3_entry-108.0_879.txt","Huntington (VIII, 1918, Lot 425)","char-offset:1147","EVENT","","","","","","","","","","",""
"274e540b-2d84-4f59-8cd8-a3418eccbdc8","Pforzheimer Part 3_entry-108.0_879.txt","1918","char-offset:1165","","","","","","","","","AuctionYear","","",""
"3ffc0545-f072-4529-be4a-fca820cc344c","Pforzheimer Part 3_entry-108.0_879.txt","425","char-offset:1175","","","","","","","","","Lot","","",""
"a0676695-84dc-49fd-a976-8026c0ee38e8","Pforzheimer Part 3_entry-112.0_885.txt","Pittar","char-offset:1293","PERSON","","","","","","","","","","",""
"33414398-4817-4995-ac9f-ac16806d7f8d","Pforzheimer Part 3_entry-112.0_885.txt","Pittar (II, 1918, Lot 586)","char-offset:1293","EVENT","","","","","","","","","","",""
"892da7fb-69c5-47dc-8747-a7ab6137dce5","Pforzheimer Part 3_entry-112.0_885.txt","1918","char-offset:1305","","","","","","","","","AuctionYear","","",""
"c442347e-acf2-4506-9e0c-928f412ea55d","Pforzheimer Part 3_entry-112.0_885.txt","586","char-offset:1315","","","","","","","","","Lot","","",""
"3835b1a5-b825-4e36-bed6-e694c2bc84ff","Pforzheimer Part 3_entry-112.0_885.txt","Clawson (II, 1926, Lot 743)","char-offset:1322","EVENT","","","","","","","","","","",""
"5ce0136d-d0b8-4dfe-97c8-171112c4a1f4","Pforzheimer Part 3_entry-112.0_885.txt","Clawson","char-offset:1322","PERSON","","","","","","","","","","",""
"0a6cf50c-7435-4149-83f0-80b792bdbb78","Pforzheimer Part 3_entry-112.0_885.txt","1926","char-offset:1335","","","","","","","","","AuctionYear","","",""
"ba5c9a18-86b0-4ed7-917c-b8c14ca54589","Pforzheimer Part 3_entry-112.0_885.txt","743","char-offset:1345","","","","","","","","","Lot","","",""
"467b1875-3b01-49f6-afd8-4200345fe7d2","Pforzheimer Part 3_entry-107.0_878.txt","Huth (VII, 1918, Lot 6758)","char-offset:1117","EVENT","","","","","","","","","","",""
"5dc2c5c4-65aa-4735-9bf3-a7f8837d8ff9","Pforzheimer Part 3_entry-107.0_878.txt","Huth","char-offset:1117","PERSON","","","","","","","","","","",""
"bac74788-8610-4a86-915d-ef52f7772897","Pforzheimer Part 3_entry-107.0_878.txt","1918","char-offset:1128","","","","","","","","","AuctionYear","","",""
"6a72d78c-30ab-41c0-8cf7-b56b6c8a87f4","Pforzheimer Part 3_entry-107.0_878.txt","6758","char-offset:1138","","","","","","","","","Lot","","",""
"dbfce32a-10fb-405e-8774-59ea0a10e8ea","Pforzheimer Part 3_entry-109.0_880.txt","e R.S.Turner (I, 1888, Lot 2427)","char-offset:1317","EVENT","","","","","","","","","","",""
"487fb41c-ad03-4b42-9313-cb61bf63ee7a","Pforzheimer Part 3_entry-109.0_880.txt","R.S.Turner","char-offset:1319","PERSON","","","","","","","","","","",""
"c4a40683-8965-4be1-85e4-61f84b385797","Pforzheimer Part 3_entry-109.0_880.txt","1888","char-offset:1334","","","","","","","","","AuctionYear","","",""
"6f891681-d489-4801-9866-83f2931e2825","Pforzheimer Part 3_entry-109.0_880.txt","2427","char-offset:1344","","","","","","","","","Lot","","",""
"f0969726-fe49-42b1-bf12-d4431f0cf8f0","Pforzheimer Part 3_entry-109.0_880.txt","N.Q Pope","char-offset:1352","PERSON","","","","","","","","","","",""
"aac8620f-2ee5-4407-b8f2-664c1e278083","Pforzheimer Part 3_entry-109.0_880.txt","N.Q Pope (1895","char-offset:1352","EVENT","","","","","","","","","","",""
"2aa8efbd-2c83-4cdb-9a3b-83fd7b68e25a","Pforzheimer Part 3_entry-109.0_880.txt","1895","char-offset:1362","","","","","","","","","AuctionYear","","",""
"6c340e6b-e0fa-45a9-a697-403fb0e2401a","Pforzheimer Part 3_entry-109.0_880.txt","Hoe","char-offset:1370","PERSON","","","","","","","","","","",""
"9b226bc4-36db-479a-b92d-720d1c112b02","Pforzheimer Part 3_entry-109.0_880.txt","Hoe (I, 1911, Lot 2928)","char-offset:1370","EVENT","","","","","","","","","","",""
"e100a15f-6a94-4ae3-b4d5-65b6043d3866","Pforzheimer Part 3_entry-109.0_880.txt","1911","char-offset:1378","","","","","","","","","AuctionYear","","",""
"c9208001-de33-46c4-9cfe-2d9360310a11","Pforzheimer Part 3_entry-109.0_880.txt","2928","char-offset:1388","","","","","","","","","Lot","","",""
