"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"7b984351-73c2-479d-a4bf-ecb5f71fe948","Pforzheimer Part 3_entry-338.0_1102.txt","Lefferts (1902,                                Lot 1451)","char-offset:1576","EVENT","","","","","","","","","","",""
"c180db95-08c5-4247-b33d-c11e6ffac50c","Pforzheimer Part 3_entry-338.0_1102.txt","Lefferts","char-offset:1576","PERSON","","","","","","","","","","",""
"1ac43f04-2287-4a43-b5d1-eb77000fbe58","Pforzheimer Part 3_entry-338.0_1102.txt","1902","char-offset:1586","","","","","","","","","AuctionYear","","",""
"05753264-8643-484b-8ae0-bd15568df9cf","Pforzheimer Part 3_entry-338.0_1102.txt","1451","char-offset:1627","","","","","","","","","Lot","","",""
"320b774c-2b91-45ab-a74e-75fde18defa0","Pforzheimer Part 3_entry-338.0_1102.txt","Hagen (1918, Lot 1424)","char-offset:1635","EVENT","","","","","","","","","","",""
"4d1b1a9f-55e7-427b-9d16-6ddd7627229b","Pforzheimer Part 3_entry-338.0_1102.txt","Hagen","char-offset:1635","PERSON","","","","","","","","","","",""
"a8ef7092-f90a-40d4-8b82-16830b2fd8e6","Pforzheimer Part 3_entry-338.0_1102.txt","1918","char-offset:1642","","","","","","","","","AuctionYear","","",""
"8e3c3c4c-d5c4-462e-b03c-6eee88ecaca8","Pforzheimer Part 3_entry-338.0_1102.txt","1424","char-offset:1652","","","","","","","","","Lot","","",""
"46bde187-2db4-4e7a-a73d-9a14541bd50f","Pforzheimer Part 3_entry-337.0_1101.txt","Foun-                 taine","char-offset:1650","PERSON","","","","","","","","","","",""
"764b3a9c-56a1-4fd1-8df3-2607e64310d7","Pforzheimer Part 3_entry-337.0_1101.txt","Foun-                 taine (1902, Lot 938)","char-offset:1650","EVENT","","","","","","","","","","",""
"ca989d14-5023-4bbd-9b52-66ad1d14c1f5","Pforzheimer Part 3_entry-337.0_1101.txt","1902","char-offset:1679","","","","","","","","","AuctionYear","","",""
"9e027b04-dd55-4282-aa4e-5d805c599e40","Pforzheimer Part 3_entry-337.0_1101.txt","938","char-offset:1689","","","","","","","","","Lot","","",""
