"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"5da2fb15-39ee-4bc2-8e4a-cf1f60799c41","Pforzheimer Part 2_entry-68.0_455.txt","Pearson (1788, Lot 2147)","char-offset:2467","EVENT","","","","","","","","","","",""
"228f884f-8d07-41ff-96e4-b6ba59073ac8","Pforzheimer Part 2_entry-68.0_455.txt","Pearson","char-offset:2467","PERSON","","","","","","","","","","",""
"3c54247b-38ba-448e-9205-c15a00d46ab6","Pforzheimer Part 2_entry-68.0_455.txt","1788","char-offset:2476","","","","","","","","","AuctionYear","","",""
"61effc05-5085-44b4-af9d-922a89c65de6","Pforzheimer Part 2_entry-68.0_455.txt","2147","char-offset:2486","","","","","","","","","Lot","","",""
"32a46d66-e040-43f4-9471-8b49110e6aea","Pforzheimer Part 2_entry-68.0_455.txt","George Mason (IV, 1799, Lot 275)","char-offset:2495","EVENT","","","","","","","","","","",""
"bcb64a07-28fb-4369-9633-8146bd158011","Pforzheimer Part 2_entry-68.0_455.txt","George Mason","char-offset:2495","PERSON","","","","","","","","","","",""
"d694ae7b-2aca-4b60-817d-499841e6550e","Pforzheimer Part 2_entry-68.0_455.txt","1799","char-offset:2513","","","","","","","","","AuctionYear","","",""
"da5db455-6ad8-4542-9e35-38d4c20bd68c","Pforzheimer Part 2_entry-68.0_455.txt","275","char-offset:2523","","","","","","","","","Lot","","",""
"4f781804-26ca-4e46-9eef-282795003631","Pforzheimer Part 2_entry-68.0_455.txt","Roxburghe","char-offset:2528","PERSON","","","","","","","","","","",""
"8ed14fed-999e-4199-a14b-90742aaeedab","Pforzheimer Part 2_entry-68.0_455.txt","Roxburghe (1812, Lot 3270)","char-offset:2528","EVENT","","","","","","","","","","",""
"0c278cf6-2218-479d-a72d-00efb09ab3db","Pforzheimer Part 2_entry-68.0_455.txt","1812","char-offset:2539","","","","","","","","","AuctionYear","","",""
"319b46a7-d99a-428d-822f-98858d4bc091","Pforzheimer Part 2_entry-68.0_455.txt","3270","char-offset:2549","","","","","","","","","Lot","","",""
"35ce7dd2-73aa-44c8-b080-90ee64347d24","Pforzheimer Part 2_entry-68.0_455.txt","J.M.Rice (1834, Lot 806)","char-offset:2556","EVENT","","","","","","","","","","",""
"6b56465c-22d1-4af9-9ab3-6c8315da58ef","Pforzheimer Part 2_entry-68.0_455.txt","J.M.Rice","char-offset:2556","PERSON","","","","","","","","","","",""
"34464bd0-b487-4764-950e-eb6d0cb07536","Pforzheimer Part 2_entry-68.0_455.txt","1834","char-offset:2566","","","","","","","","","AuctionYear","","",""
"41a11d8d-e954-4363-a2fc-048e03a72a3d","Pforzheimer Part 2_entry-68.0_455.txt","806","char-offset:2576","","","","","","","","","Lot","","",""
"06f00674-e52d-41ef-9086-590c56409e22","Pforzheimer Part 2_entry-68.0_455.txt","Britwell (1922, Lot 357)","char-offset:2584","EVENT","","","","","","","","","","",""
"5120e844-1552-4f0f-9a18-57bfea1ede4b","Pforzheimer Part 2_entry-68.0_455.txt","Britwell","char-offset:2584","PERSON","","","","","","","","","","",""
"a3ce11a2-ec6d-4f5e-b331-ca8785191b1a","Pforzheimer Part 2_entry-68.0_455.txt","1922","char-offset:2594","","","","","","","","","AuctionYear","","",""
"10a7e7b0-8997-49d4-8652-b2b8b0ed1a2f","Pforzheimer Part 2_entry-68.0_455.txt","357","char-offset:2604","","","","","","","","","Lot","","",""
"e9257973-b87e-433c-a846-5f475a3e5765","Pforzheimer Part 2_entry-59.0_449.txt","Poor (Il,  1908, Lot 536)","char-offset:937","EVENT","","","","","","","","","","",""
"c1fd8384-14c3-4693-a3c9-aa40b59562df","Pforzheimer Part 2_entry-59.0_449.txt","Poor","char-offset:937","PERSON","","","","","","","","","","",""
"c61b9ac9-c2a8-4003-81ea-a8e5b9a3c16d","Pforzheimer Part 2_entry-59.0_449.txt","1908","char-offset:949","","","","","","","","","AuctionYear","","",""
"98ed0995-780d-44d4-9db1-5637bce27861","Pforzheimer Part 2_entry-59.0_449.txt","536","char-offset:959","","","","","","","","","Lot","","",""
"bfe6e261-e9dd-4486-b48f-a093af6f6a36","Pforzheimer Part 2_entry-59.0_449.txt","Huntington","char-offset:964","PERSON","","","","","","","","","","",""
"9c6a235f-2710-415d-b750-f53cabda0843","Pforzheimer Part 2_entry-59.0_449.txt","Huntington (VII, 1918, Lot 400)","char-offset:964","EVENT","","","","","","","","","","",""
"252b2045-9ded-4801-b8da-107c94fddea0","Pforzheimer Part 2_entry-59.0_449.txt","1918","char-offset:981","","","","","","","","","AuctionYear","","",""
"9a23eaad-3c79-4827-9ce5-2100e00bf2f5","Pforzheimer Part 2_entry-59.0_449.txt","400","char-offset:991","","","","","","","","","Lot","","",""
"25bc01e1-625c-4bd8-a4f0-b24df565a91a","Pforzheimer Part 2_entry-69.0_456.txt","Earl of Albermarle","char-offset:948","PERSON","","","","","","","","","","",""
"09db488f-1a60-477c-ae4c-e3f39059667b","Pforzheimer Part 2_entry-69.0_456.txt","Earl of Albermarle (1921, Lot 332)","char-offset:948","EVENT","","","","","","","","","","",""
"ffbea1ce-bff1-4dac-b701-bfee5c40988e","Pforzheimer Part 2_entry-69.0_456.txt","1921","char-offset:968","","","","","","","","","AuctionYear","","",""
"b5e78b54-d3c1-4aa0-bf6a-e964caee944c","Pforzheimer Part 2_entry-69.0_456.txt","332","char-offset:978","","","","","","","","","Lot","","",""
"54c992e8-6a98-4bca-a106-0de1d873a3df","Pforzheimer Part 2_entry-61.0_450.txt","Chew","char-offset:978","EVENT","","","","","","","","","","",""
"8e826419-d70f-410d-b666-99ff0a0a0642","Pforzheimer Part 2_entry-61.0_450.txt","Huntington","char-offset:985","EVENT","","","","","","","","","","",""
"816f010a-1168-4877-9b75-9a04e035165b","Pforzheimer Part 2_entry-61.0_450.txt","English Literature from London (1919, Lot 385a)","char-offset:997","EVENT","","","","","","","","","","",""
"cd23ce43-32bf-4a5c-9b71-b6af8312f633","Pforzheimer Part 2_entry-61.0_450.txt","English Literature from London","char-offset:997","PERSON","","","","","","","","","","",""
"561d1861-6ff5-4a32-83d2-92e12faf346d","Pforzheimer Part 2_entry-61.0_450.txt","1919","char-offset:1029","","","","","","","","","AuctionYear","","",""
"ca4a3cb3-201b-441e-8718-c99e02ec91cc","Pforzheimer Part 2_entry-61.0_450.txt","385a","char-offset:1039","","","","","","","","","Lot","","",""
"58aae38b-8996-4291-8bd5-a45bbd51da93","Pforzheimer Part 2_entry-62.0_451.txt","Chalmers (11, 1842, Lot 180","char-offset:605","EVENT","","","","","","","","","","",""
"d36cf51f-ee97-4297-8f2f-95366a067d49","Pforzheimer Part 2_entry-62.0_451.txt","Chalmers","char-offset:605","PERSON","","","","","","","","","","",""
"ec18ddff-aa73-4153-b723-6aa8c5a08298","Pforzheimer Part 2_entry-62.0_451.txt","1842","char-offset:619","","","","","","","","","AuctionYear","","",""
"38281413-2d9d-428c-b14d-240b56dfb169","Pforzheimer Part 2_entry-62.0_451.txt","180","char-offset:629","","","","","","","","","Lot","","",""
"531e1acd-771a-40cc-a36b-5c5293938526","Pforzheimer Part 2_entry-62.0_451.txt","Britvell (1919, Lot $4)","char-offset:633","EVENT","","","","","","","","","","",""
"f2d3e4f6-331d-4e52-9b29-eca8ef94a654","Pforzheimer Part 2_entry-62.0_451.txt","Britvell","char-offset:633","PERSON","","","","","","","","","","",""
"c9099653-b390-403b-8a68-dfa40676539d","Pforzheimer Part 2_entry-62.0_451.txt","1919","char-offset:643","","","","","","","","","AuctionYear","","",""
"71b89134-f4f3-4b50-8112-bdcb7e05e8b4","Pforzheimer Part 2_entry-62.0_451.txt","4","char-offset:654","","","","","","","","","Lot","","",""
"42e1a165-562d-4321-b3e8-bc17d4e87b25","Pforzheimer Part 2_entry-62.0_451.txt","Jones (1923, Lot 98)","char-offset:659","EVENT","","","","","","","","","","",""
"467dd271-f808-4940-b38c-f2a8cc541a14","Pforzheimer Part 2_entry-62.0_451.txt","Jones","char-offset:659","PERSON","","","","","","","","","","",""
"3afb1e18-9b31-4fc1-be20-df76f2eac173","Pforzheimer Part 2_entry-62.0_451.txt","1923","char-offset:666","","","","","","","","","AuctionYear","","",""
