"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"24589e21-ac47-47d9-b637-d9857c0d0d20","Pforzheimer Part 2_entry-386.5_761.txt","761","char-offset:0","","","","","","","","","","Two copies
","",""
"7e5c6781-db80-47eb-8293-fa3a3c893d99","Pforzheimer Part 2_entry-386.5_761.txt","Heber","char-offset:795","PERSON","","","","","","","","","","",""
"6ae8f153-c5c4-49b4-b766-aede9a8db7e8","Pforzheimer Part 2_entry-386.5_761.txt","Heber (II, 1834,  Lot 4100)","char-offset:795","EVENT","","","","","","","","","","",""
"2f296017-0c1d-4370-b809-9b93b800a1a8","Pforzheimer Part 2_entry-386.5_761.txt","1834","char-offset:806","","","","","","","","","AuctionYear","","",""
"f7815dff-b4d5-406c-8f13-e26e368effc7","Pforzheimer Part 2_entry-386.5_761.txt","4100","char-offset:817","","","","","","","","","Lot","","",""
"e7b231f9-2d35-4ffd-9018-83730ed6e5ef","Pforzheimer Part 2_entry-386.5_761.txt","Holgate","char-offset:825","PERSON","","","","","","","","","","",""
"656962e5-3e9f-42d7-bda7-2a6d8ab5cb2c","Pforzheimer Part 2_entry-386.5_761.txt","Holgate (1846, Lot 290)","char-offset:825","EVENT","","","","","","","","","","",""
"28ad2c54-4c2b-4c39-813a-2a42814f9d00","Pforzheimer Part 2_entry-386.5_761.txt","1846","char-offset:834","","","","","","","","","AuctionYear","","",""
"70933803-ab46-4c09-8c73-abd09254dcfa","Pforzheimer Part 2_entry-386.5_761.txt","290","char-offset:844","","","","","","","","","Lot","","",""
"cce4b0c6-46f6-41ca-84cd-2897cae1b924","Pforzheimer Part 2_entry-386.5_761.txt","Knight (I, 1860, Lot 286)","char-offset:850","EVENT","","","","","","","","","","",""
"31b94aa5-f06b-4a58-a0b6-369e191b0ef8","Pforzheimer Part 2_entry-386.5_761.txt","Knight","char-offset:850","PERSON","","","","","","","","","","",""
"0ec6b9ff-c6d3-431f-a977-acffebeb1f4b","Pforzheimer Part 2_entry-386.5_761.txt","1860","char-offset:861","","","","","","","","","AuctionYear","","",""
"a2cada37-9cb9-4084-9aa5-acf018372019","Pforzheimer Part 2_entry-386.5_761.txt","286","char-offset:871","","","","","","","","","Lot","","",""
