"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"ecfd29f2-b22f-454f-ab3f-aa0ab96e4b5f","Pforzheimer Part 2_entry-45.0_439.txt","Mostyn","char-offset:481","PERSON","","","","","","","","","","",""
"24c33f78-08b9-4060-b633-04fdefa6849c","Pforzheimer Part 2_entry-45.0_439.txt","Mostyn (1919, Lot  141)","char-offset:481","EVENT","","","","","","","","","","",""
"f9a1a7bc-698e-4988-91af-9a87a58ea6b5","Pforzheimer Part 2_entry-45.0_439.txt","1919","char-offset:489","","","","","","","","","AuctionYear","","",""
"0d949b24-9f2b-49ae-8538-70e8e790ae0e","Pforzheimer Part 2_entry-45.0_439.txt","141","char-offset:500","","","","","","","","","Lot","","",""
"3b6dd699-0b85-4992-b11e-7da2222278b8","Pforzheimer Part 2_entry-45.0_439.txt","Clawson (I, 1926, Lot 95)","char-offset:507","EVENT","","","","","","","","","","",""
"71ff36e5-e4cf-4f07-a3cc-8c539d44e21b","Pforzheimer Part 2_entry-45.0_439.txt","Clawson","char-offset:507","PERSON","","","","","","","","","","",""
"32b84221-e6fd-476c-bc9c-4af003232ccc","Pforzheimer Part 2_entry-45.0_439.txt","1926","char-offset:519","","","","","","","","","AuctionYear","","",""
"ba10a270-cd8b-4be3-8645-2ba4d0c9afdb","Pforzheimer Part 2_entry-45.0_439.txt","95","char-offset:529","","","","","","","","","Lot","","",""
"d7f5356f-4d16-463a-b433-b86a72522d5a","Pforzheimer Part 2_entry-35.0_432.txt","Sykes (I, 1824, Lot 1340)","char-offset:1637","EVENT","","","","","","","","","","",""
"67b8b7bd-bb0d-49ee-a684-1ce98fb5eda2","Pforzheimer Part 2_entry-35.0_432.txt","Sykes","char-offset:1637","PERSON","","","","","","","","","","",""
"7f2f4fe5-ea42-4a89-9fb0-ee23f8425324","Pforzheimer Part 2_entry-35.0_432.txt","1824","char-offset:1647","","","","","","","","","AuctionYear","","",""
"dc6072e5-737a-412e-9369-db048d35ca56","Pforzheimer Part 2_entry-35.0_432.txt","1340","char-offset:1657","","","","","","","","","Lot","","",""
"2e5b21b9-f69c-4b95-a55c-75803caef3a7","Pforzheimer Part 2_entry-35.0_432.txt","Freeling (1836, Lot 1279)","char-offset:1663","EVENT","","","","","","","","","","",""
"3f2c7e1d-a156-47ea-91d3-d8dfb8091de7","Pforzheimer Part 2_entry-35.0_432.txt","Freeling","char-offset:1663","PERSON","","","","","","","","","","",""
"a7f75e35-24b9-4e0b-989e-d36556cfd4bb","Pforzheimer Part 2_entry-35.0_432.txt","1836","char-offset:1673","","","","","","","","","AuctionYear","","",""
"075a2fc2-0471-48a3-9696-6fbbc3ddf902","Pforzheimer Part 2_entry-35.0_432.txt","1279","char-offset:1683","","","","","","","","","Lot","","",""
"094316ac-4e8d-4904-8ab2-0c75f6128658","Pforzheimer Part 2_entry-35.0_432.txt","Britwell","char-offset:1692","PERSON","","","","","","","","","","",""
"7d17c07e-0b44-4eba-9fee-7cd1721b1647","Pforzheimer Part 2_entry-35.0_432.txt","Britwell (1923, Lot 322)","char-offset:1692","EVENT","","","","","","","","","","",""
"60a97e55-c9ec-4d5b-b446-a72f461d348c","Pforzheimer Part 2_entry-35.0_432.txt","1923","char-offset:1702","","","","","","","","","AuctionYear","","",""
"e776373c-5f33-479d-854b-2a1ca18e74ed","Pforzheimer Part 2_entry-35.0_432.txt","322","char-offset:1712","","","","","","","","","Lot","","",""
"ae8651cf-b402-443c-84c2-a21e329e1262","Pforzheimer Part 2_entry-35.0_432.txt","Clawson (I, 1926, Lot 331)","char-offset:1718","EVENT","","","","","","","","","","",""
"14f56b10-6422-4c93-9842-246ecbd6e83e","Pforzheimer Part 2_entry-35.0_432.txt","Clawson","char-offset:1718","PERSON","","","","","","","","","","",""
"9a5c9c65-73f7-452a-9975-7f136b9e7c9d","Pforzheimer Part 2_entry-35.0_432.txt","1926","char-offset:1730","","","","","","","","","AuctionYear","","",""
"ffb057dc-10d9-4c0d-b2b0-43ba9c59f130","Pforzheimer Part 2_entry-35.0_432.txt","331","char-offset:1740","","","","","","","","","Lot","","",""
