"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"58ea946b-234e-4ecf-a328-81e64f154b46","Pforzheimer Part 2_entry-3.0_398.txt","Hibbert","char-offset:1010","PERSON","","","","","","","","","","",""
"9ba57337-a957-4f41-830c-9e9881e6a5a1","Pforzheimer Part 2_entry-3.0_398.txt","Hibbert (1829, Lot 6126)","char-offset:1010","EVENT","","","","","","","","","","",""
"21e3fd1a-8276-4558-85cc-36a4d2b4b5ff","Pforzheimer Part 2_entry-3.0_398.txt","1829","char-offset:1019","","","","","","","","","AuctionYear","","",""
"777796ef-2f15-4e83-acf2-d6c9d1862d3f","Pforzheimer Part 2_entry-3.0_398.txt","6126","char-offset:1029","","","","","","","","","Lot","","",""
"8a89aacc-7731-4c4d-8860-f797b83e9b6d","Pforzheimer Part 2_entry-3.0_398.txt","Britwell","char-offset:1037","PERSON","","","","","","","","","","",""
"676098c8-b76a-4c5e-b695-825b9bf23b71","Pforzheimer Part 2_entry-3.0_398.txt","Britwell (1924, Lot 712)","char-offset:1037","EVENT","","","","","","","","","","",""
"0192e311-a4de-4f57-89ce-2d9e6b9d0774","Pforzheimer Part 2_entry-3.0_398.txt","1924","char-offset:1047","","","","","","","","","AuctionYear","","",""
"d47c38ff-ab39-489b-9fc9-14c468bc4053","Pforzheimer Part 2_entry-3.0_398.txt","712","char-offset:1057","","","","","","","","","Lot","","",""
"1aa7a085-4896-422a-9d60-a7a0fada70e8","Pforzheimer Part 2_entry-2.0_397.txt","Mostyn (1919, Lot  124)","char-offset:507","EVENT","","","","","","","","","","",""
"a190fb08-965c-4c84-8280-6823ad68a23e","Pforzheimer Part 2_entry-2.0_397.txt","Mostyn","char-offset:507","PERSON","","","","","","","","","","",""
"7dc6b4a4-a1de-48b1-8255-626a5978142d","Pforzheimer Part 2_entry-2.0_397.txt","1919","char-offset:515","","","","","","","","","AuctionYear","","",""
"a56320b7-0f8a-4397-9493-7b8565ffd410","Pforzheimer Part 2_entry-2.0_397.txt","124","char-offset:526","","","","","","","","","Lot","","",""
"5f9152a8-b95e-4a05-bd4f-89ba5cf4e673","Pforzheimer Part 2_entry-2.0_397.txt","Clawson (I, 1926, Lot 450)","char-offset:533","EVENT","","","","","","","","","","",""
"07d3f91d-f41e-4d37-b13e-27f5b159339f","Pforzheimer Part 2_entry-2.0_397.txt","Clawson","char-offset:533","PERSON","","","","","","","","","","",""
"8d2c6d5d-21f5-41e7-b023-092c3fa9dc73","Pforzheimer Part 2_entry-2.0_397.txt","1926","char-offset:545","","","","","","","","","AuctionYear","","",""
"75f109d8-21d7-4145-b84c-eb4719d0dc52","Pforzheimer Part 2_entry-2.0_397.txt","450","char-offset:555","","","","","","","","","Lot","","",""
"4d33c856-8802-4d27-9b4c-dd88cec468fc","Pforzheimer Part 2_entry-4.0_399.txt","Mallet (1766, Lot 795)","char-offset:859","EVENT","","","","","","","","","","",""
"a7c3e5b0-8fa9-4449-9917-6e6e6557e161","Pforzheimer Part 2_entry-4.0_399.txt","Mallet","char-offset:859","PERSON","","","","","","","","","","",""
"7f53a79c-7313-43b0-9a9f-97134e1ad36c","Pforzheimer Part 2_entry-4.0_399.txt","1766","char-offset:867","","","","","","","","","AuctionYear","","",""
"8d25d28d-cb44-40af-b694-9eb5265c8ed5","Pforzheimer Part 2_entry-4.0_399.txt","795","char-offset:877","","","","","","","","","Lot","","",""
"85ee1c6b-d56a-41a2-82c2-cdc8c1cd6869","Pforzheimer Part 2_entry-4.0_399.txt","Stevens (1800, Lot 869","char-offset:884","EVENT","","","","","","","","","","",""
"c538992f-4ba9-4435-a22e-33185d0fc779","Pforzheimer Part 2_entry-4.0_399.txt","Stevens","char-offset:884","PERSON","","","","","","","","","","",""
"499f8be6-a566-477e-8e60-d4bbf57abab9","Pforzheimer Part 2_entry-4.0_399.txt","1800","char-offset:893","","","","","","","","","AuctionYear","","",""
"04c42c21-3aa2-4605-b855-211b13cdc6f1","Pforzheimer Part 2_entry-4.0_399.txt","869","char-offset:903","","","","","","","","","Lot","","",""
"c6fdb6a5-95c7-4a8f-b6a1-b8df7152facb","Pforzheimer Part 2_entry-4.0_399.txt","Forster  (1806, Lot 919","char-offset:910","EVENT","","","","","","","","","","",""
"41655bff-4237-4a6c-a1af-eb04b86f83ee","Pforzheimer Part 2_entry-4.0_399.txt","Forster","char-offset:910","PERSON","","","","","","","","","","",""
"be9d7048-60b6-405f-80a1-61b8852436b8","Pforzheimer Part 2_entry-4.0_399.txt","1806","char-offset:920","","","","","","","","","AuctionYear","","",""
"ddfca139-8eab-4d1e-b26b-65dca9343678","Pforzheimer Part 2_entry-4.0_399.txt","919","char-offset:930","","","","","","","","","Lot","","",""
"1ec4b1e9-9996-4874-9ffb-3819f234c0b8","Pforzheimer Part 2_entry-4.0_399.txt","Heber (IV, 1834, Lot 771)","char-offset:937","EVENT","","","","","","","","","","",""
"d22ee298-8595-4345-94b2-8ccf06d0bfdf","Pforzheimer Part 2_entry-4.0_399.txt","Heber","char-offset:937","PERSON","","","","","","","","","","",""
"92ef3e5d-942d-41c1-95d2-eb6a9ac03377","Pforzheimer Part 2_entry-4.0_399.txt","1834","char-offset:948","","","","","","","","","AuctionYear","","",""
"9e3423b8-e51c-43ee-9254-9d24b6372ef7","Pforzheimer Part 2_entry-4.0_399.txt","771","char-offset:958","","","","","","","","","Lot","","",""
"438338c7-552d-44ef-94fb-9987c88cd5eb","Pforzheimer Part 2_entry-4.0_399.txt","Britwell (1924, Lot 342)","char-offset:965","EVENT","","","","","","","","","","",""
"a2d517be-7896-4b39-b759-5266b512a41f","Pforzheimer Part 2_entry-4.0_399.txt","Britwell","char-offset:965","PERSON","","","","","","","","","","",""
"bd24e8ba-3b5c-4a77-8054-e17ef8d3a350","Pforzheimer Part 2_entry-4.0_399.txt","1924","char-offset:975","","","","","","","","","AuctionYear","","",""
"3d0c8028-3e8f-4612-a3f5-59dc0e426939","Pforzheimer Part 2_entry-4.0_399.txt","342","char-offset:985","","","","","","","","","Lot","","",""
"f4e1083b-36da-450d-b02c-16b5275c8aa1","Pforzheimer Part 2_entry-7.0_401.txt","Regarding binding and provenance, see Posies 1575.","char-offset:1511","EVENT","","","","","","","","","","",""
"ec9c3bcf-fdd5-4964-b5b5-36dc415cd31c","Pforzheimer Part 1_entry-465.0_388.txt","M.J.Perry","char-offset:988","EVENT","","","","","","","","","","",""
"94447aff-b7d2-48d7-ac74-246bf54434f0","Pforzheimer Part 1_entry-465.0_388.txt","Jones","char-offset:1000","PERSON","","","","","","","","","","",""
"59456ee1-d520-4f12-a9ea-4e99e22a4982","Pforzheimer Part 1_entry-465.0_388.txt","Jones (1923, Lot 82)","char-offset:1000","EVENT","","","","","","","","","","",""
"ba915cec-0fff-4b5e-81ff-07e86ee7abac","Pforzheimer Part 1_entry-465.0_388.txt","1923","char-offset:1007","","","","","","","","","AuctionYear","","",""
"95505a9b-f10e-4043-952c-9a26f8674bd6","Pforzheimer Part 1_entry-465.0_388.txt","82","char-offset:1017","","","","","","","","","Lot","","",""
"157d165a-928a-42f4-be22-a1717f4bf651","Pforzheimer Part 1_entry-465.0_388.txt","Clawson","char-offset:1022","PERSON","","","","","","","","","","",""
"76e687eb-e6a5-493b-8e02-d63bc27689ee","Pforzheimer Part 1_entry-465.0_388.txt","Clawson (I, 1926, Lot 498)","char-offset:1022","EVENT","","","","","","","","","","",""
"683da659-d032-413f-b13c-c372ec49fa44","Pforzheimer Part 1_entry-465.0_388.txt","1926","char-offset:1034","","","","","","","","","AuctionYear","","",""
"6ea25f34-b2a2-480b-939b-dc2b5b276adb","Pforzheimer Part 1_entry-465.0_388.txt","498","char-offset:1044","","","","","","","","","Lot","","",""
"59ea6073-c621-4010-972c-21d5798d5e75","Pforzheimer Part 1_entry-466.0_390.txt","Browsholme","char-offset:1832","PERSON","","","","","","","","","","",""
"f05b9cf8-2933-4f89-9f27-98f4be80351c","Pforzheimer Part 1_entry-466.0_390.txt","Browsholme (Parker family)","char-offset:1832","EVENT","","","","","","","","","","",""
"8879c099-ffc3-4492-80f3-0b502fe6f68b","Pforzheimer Part 1_entry-466.0_390.txt","Eshton Hall (1916, Lot 269)","char-offset:1861","EVENT","","","","","","","","","","",""
"43708993-0082-4a56-9610-618ed0d3cf62","Pforzheimer Part 1_entry-466.0_390.txt","Eshton Hall","char-offset:1861","PERSON","","","","","","","","","","",""
"1a25ebc0-09f4-4410-a969-d00fe5602d32","Pforzheimer Part 1_entry-466.0_390.txt","1916","char-offset:1874","","","","","","","","","AuctionYear","","",""
"2d569186-d6e4-4c71-b559-a100570abc6c","Pforzheimer Part 1_entry-466.0_390.txt","269","char-offset:1884","","","","","","","","","Lot","","",""
"73600bb3-fad3-49af-ac6e-c0efd294d07f","Pforzheimer Part 1_entry-466.0_390.txt","Huntington","char-offset:1891","PERSON","","","","","","","","","","",""
"59706978-f7c8-4731-a2d0-af0768b5b0bf","Pforzheimer Part 1_entry-466.0_390.txt","Huntington (IX, 1918,  Lot 263)","char-offset:1891","EVENT","","","","","","","","","","",""
"2872d62e-becf-4031-b9e0-155e77c9f8b9","Pforzheimer Part 1_entry-466.0_390.txt","1918","char-offset:1907","","","","","","","","","AuctionYear","","",""
"1800c1ce-cbbd-479e-ae48-43623e289db7","Pforzheimer Part 1_entry-466.0_390.txt","263","char-offset:1918","","","","","","","","","Lot","","",""
"ea1a13a0-bd15-4bf7-a756-4acf3d5d99c5","Pforzheimer Part 1_entry-467.0_391.txt","Pickering","char-offset:1868","EVENT","","","","","","","","","","",""
"6f8c0b49-e558-4c80-8ca4-80dcc06f1880","Pforzheimer Part 1_entry-467.0_391.txt","Huth (III, 1913, Lot 3088)","char-offset:1879","EVENT","","","","","","","","","","",""
"0ed1b28f-3277-47f0-9c17-490f31e1e726","Pforzheimer Part 1_entry-467.0_391.txt","Huth","char-offset:1879","PERSON","","","","","","","","","","",""
"bb2e28d4-a71e-4566-870d-ff0fc20d97bf","Pforzheimer Part 1_entry-467.0_391.txt","1913","char-offset:1890","","","","","","","","","AuctionYear","","",""
"9a544a33-8fb4-4a51-a614-7d3ca6c8e1b3","Pforzheimer Part 1_entry-467.0_391.txt","3088","char-offset:1900","","","","","","","","","Lot","","",""
"814e31b2-2825-4950-89ad-7820f5c76af2","Pforzheimer Part 1_entry-467.0_391.txt","Cox (Pickering and Chatto Cat. 188, Lot 2784)","char-offset:1908","EVENT","","","","","","","","","","",""
"06daf3fd-399a-442c-9c6d-427dec2b71bc","Pforzheimer Part 1_entry-467.0_391.txt","Cox","char-offset:1908","PERSON","","","","","","","","","","",""
"dfaaee56-8357-4bd4-bb24-f644abe56d4c","Pforzheimer Part 1_entry-467.0_391.txt","2784","char-offset:1948","","","","","","","","","Lot","","",""
"88a52328-311e-4001-8966-71d84d6ccabc","Pforzheimer Part 1_entry-468.0_392.txt","Bridgewater","char-offset:1983","EVENT","","","","","","","","","","",""
"81087450-c929-44bf-bf79-7b3ddfec3281","Pforzheimer Part 1_entry-468.0_392.txt","Huntington (1X,  1918, Lot 264)","char-offset:1997","EVENT","","","","","","","","","","",""
"945100b1-2f96-4ab3-8c1e-a2baa0ce93e9","Pforzheimer Part 1_entry-468.0_392.txt","Huntington","char-offset:1997","PERSON","","","","","","","","","","",""
"3a36d4b7-f338-454b-bf7f-08f02077c469","Pforzheimer Part 1_entry-468.0_392.txt","1918","char-offset:2014","","","","","","","","","AuctionYear","","",""
"5330c9b5-10dd-47f7-a324-597676114b07","Pforzheimer Part 1_entry-468.0_392.txt","264","char-offset:2024","","","","","","","","","Lot","","",""
"7299f99e-f684-487e-a810-8a6573a484ef","Pforzheimer Part 2_entry-1.875_396.txt","Roxburghe","char-offset:640","PERSON","","","","","","","","","","",""
"20c2380a-6f97-4e9c-aee5-60e6748cc4c9","Pforzheimer Part 2_entry-1.875_396.txt","Roxburghe (1812, Lot  $294)","char-offset:640","EVENT","","","","","","","","","","",""
"45709ef7-5a80-4425-9c55-8b19bf5f7cf8","Pforzheimer Part 2_entry-1.875_396.txt","1812","char-offset:651","","","","","","","","","AuctionYear","","",""
"8451e133-d4e6-4d6b-937e-39d0da1677db","Pforzheimer Part 2_entry-1.875_396.txt","294","char-offset:663","","","","","","","","","Lot","","",""
"dfdce3c6-c208-44c3-9fed-4786fd76e439","Pforzheimer Part 2_entry-1.875_396.txt","Heber (II, 1834, Lot 3221)","char-offset:669","EVENT","","","","","","","","","","",""
"bf3cffae-29b0-4095-9e3c-7ba4a64768e0","Pforzheimer Part 2_entry-1.875_396.txt","Heber","char-offset:669","PERSON","","","","","","","","","","",""
"a88e6ea1-8485-48ad-bd86-62804f40b569","Pforzheimer Part 2_entry-1.875_396.txt","1834","char-offset:680","","","","","","","","","AuctionYear","","",""
"4bc162d8-dc23-416a-8f8a-d091e1a71f6c","Pforzheimer Part 2_entry-1.875_396.txt","3221","char-offset:690","","","","","","","","","Lot","","",""
"90275fab-528e-47d5-bc2b-db6d8099c02f","Pforzheimer Part 2_entry-1.875_396.txt","Britwell","char-offset:698","PERSON","","","","","","","","","","",""
"51e4a221-c25c-4af5-ac72-45b8d9c64710","Pforzheimer Part 2_entry-1.875_396.txt","Britwell (1922, Lot 412)","char-offset:698","EVENT","","","","","","","","","","",""
"8e53aee3-d35d-4f1b-b84f-e7f91eb434f9","Pforzheimer Part 2_entry-1.875_396.txt","1922","char-offset:708","","","","","","","","","AuctionYear","","",""
"9b611526-2fae-48c9-9ceb-2f4cdb4ff915","Pforzheimer Part 2_entry-1.875_396.txt","412","char-offset:718","","","","","","","","","Lot","","",""
"d1afab0e-01f9-4e3f-b4ed-dfb334024075","Pforzheimer Part 1_entry-464.0_387.txt","Regarding binding and provenance, see the Emanuel.","char-offset:862","EVENT","","","","","","","","","","",""
