"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"0bcf241e-8d8b-4214-a6f5-960eef2f22f3","Pforzheimer Part 1_entry-442.0_367.txt","Kemble","char-offset:737","PERSON","","","","","","","","","","",""
"4ab23478-4746-4039-b556-db2485c1aedf","Pforzheimer Part 1_entry-442.0_367.txt","Kemble  (1798)","char-offset:737","EVENT","","","","","","","","","","",""
"5d16f7b6-88cc-4821-84ff-1002c2a4f709","Pforzheimer Part 1_entry-442.0_367.txt","1798","char-offset:746","","","","","","","","","AuctionYear","","",""
"b1174bcd-d12b-4d01-9d5c-66d0cb20b3cc","Pforzheimer Part 1_entry-442.0_367.txt","Devonshire","char-offset:754","EVENT","","","","","","","","","","",""
"cd29ba5d-304d-43eb-906b-24a5a5181e4e","Pforzheimer Part 1_entry-442.0_367.txt","Huntington (private)","char-offset:767","EVENT","","","","","","","","","","",""
"508ae344-f4c0-4202-8a3e-b9d5dc5e6947","Pforzheimer Part 1_entry-442.0_367.txt","Huntington","char-offset:767","PERSON","","","","","","","","","","",""
"5c9e6583-1613-4748-a495-d92fa8bc85d9","Pforzheimer Part 1_entry-443.0_368.txt","Mostyn","char-offset:973","PERSON","","","","","","","","","","",""
"10e96e4a-f05f-452f-a309-fbb524ea6189","Pforzheimer Part 1_entry-443.0_368.txt","Mostyn (1919, Lot 111)","char-offset:973","EVENT","","","","","","","","","","",""
"cc65b695-d2f3-43c4-8e26-7f0b99eb3af5","Pforzheimer Part 1_entry-443.0_368.txt","1919","char-offset:981","","","","","","","","","AuctionYear","","",""
"e60cac50-6878-4e70-a526-25d40616074b","Pforzheimer Part 1_entry-443.0_368.txt","111","char-offset:991","","","","","","","","","Lot","","",""
"9478c265-6718-4200-8058-039c0e05686b","Pforzheimer Part 1_entry-443.0_368.txt","Clawson","char-offset:998","PERSON","","","","","","","","","","",""
"97e68df8-3e93-4711-8959-f7c6e80b11bc","Pforzheimer Part 1_entry-443.0_368.txt","Clawson  (I, 1926, Lot 34)","char-offset:998","EVENT","","","","","","","","","","",""
"39d36877-4c5c-4b06-9a2a-6513c41b8c43","Pforzheimer Part 1_entry-443.0_368.txt","1926","char-offset:1011","","","","","","","","","AuctionYear","","",""
"1cc3b1eb-6ffd-4ad1-b041-2e68e369cf65","Pforzheimer Part 1_entry-443.0_368.txt","34","char-offset:1021","","","","","","","","","Lot","","",""
"bdb5e972-24d7-4661-848e-b5d173b6fc69","Pforzheimer Part 1_entry-445.5_371.txt","Corser","char-offset:711","PERSON","","","","","","","","","","",""
"d0d51686-9daf-4524-9259-860118e21403","Pforzheimer Part 1_entry-445.5_371.txt","Corser (VII, 1871, Lot 68)","char-offset:711","EVENT","","","","","","","","","","",""
"90dae3f7-4cdd-42fa-bce9-6173ccba12de","Pforzheimer Part 1_entry-445.5_371.txt","1871","char-offset:724","","","","","","","","","AuctionYear","","",""
"3b2044e9-c52b-4c86-a36a-e94b54aaed95","Pforzheimer Part 1_entry-445.5_371.txt","68","char-offset:734","","","","","","","","","Lot","","",""
"46692871-f0b4-450c-a478-d73216301412","Pforzheimer Part 1_entry-445.5_371.txt","Huth","char-offset:739","PERSON","","","","","","","","","","",""
"46be6a69-869d-48dc-94db-3691c99d8e15","Pforzheimer Part 1_entry-445.5_371.txt","Huth  (III, 1913, Lot 2953)","char-offset:739","EVENT","","","","","","","","","","",""
"4a15acbf-66f2-463e-8511-567dbe07ef79","Pforzheimer Part 1_entry-445.5_371.txt","1913","char-offset:751","","","","","","","","","AuctionYear","","",""
"467b1c2c-b4ff-4d6e-ad76-5b9ab12128d8","Pforzheimer Part 1_entry-445.5_371.txt","2953","char-offset:761","","","","","","","","","Lot","","",""
"2229e75e-4f7c-4121-a952-087b1f89a774","Pforzheimer Part 1_entry-445.5_371.txt","Hagen","char-offset:769","PERSON","","","","","","","","","","",""
"392a71f4-b10d-474e-9328-08c1baedba12","Pforzheimer Part 1_entry-445.5_371.txt","Hagen (I, 1918, Lot 527)","char-offset:769","EVENT","","","","","","","","","","",""
"5988d2ce-bdb4-44ea-804e-0d7329f9d713","Pforzheimer Part 1_entry-445.5_371.txt","1918","char-offset:779","","","","","","","","","AuctionYear","","",""
"4a028e1c-70a8-41cf-8858-efa32b776d6e","Pforzheimer Part 1_entry-445.5_371.txt","527","char-offset:789","","","","","","","","","Lot","","",""
"3d7ea468-5abf-4608-8762-a831abfb7bd2","Pforzheimer Part 1_entry-445.5_371.txt","Clawson (I, 1926, Lot 43)","char-offset:796","EVENT","","","","","","","","","","",""
"8431722c-10f6-4926-a55c-0dfe644bd41b","Pforzheimer Part 1_entry-445.5_371.txt","Clawson","char-offset:796","PERSON","","","","","","","","","","",""
"800a8673-6043-41a8-8fb6-9c55ee4eb037","Pforzheimer Part 1_entry-445.5_371.txt","1926","char-offset:808","","","","","","","","","AuctionYear","","",""
"bfb116a5-fc0e-4e9a-b609-938f5ba23192","Pforzheimer Part 1_entry-445.5_371.txt","43","char-offset:818","","","","","","","","","Lot","","",""
"1a1ca9ca-51dd-4453-8268-4168315a1d92","Pforzheimer Part 1_entry-446.0_372.txt","372","char-offset:0","","","","","","","","","","Two copies!
","",""
"f3262134-03dd-42b6-bd89-5dc8b5c76248","Pforzheimer Part 1_entry-446.0_372.txt","Arbury Library","char-offset:537","PERSON","","","","","","","","","","",""
"8179a96d-eee1-44b4-a761-5e16cf24c228","Pforzheimer Part 1_entry-446.0_372.txt","Arbury Library (1920, Lot 113)","char-offset:537","EVENT","","","","","","","","","","",""
"1503aeca-813c-4e81-8df3-af0fd1c53608","Pforzheimer Part 1_entry-446.0_372.txt","1920","char-offset:553","","","","","","","","","AuctionYear","","",""
"f02dc17c-97c4-43d6-9c9e-f43f2f7e99e3","Pforzheimer Part 1_entry-446.0_372.txt","113","char-offset:563","","","","","","","","","Lot","","",""
"0dc14995-e506-42ec-940a-c8aeac0abff8","Pforzheimer Part 1_entry-446.0_372.txt","G.D.Smith (II, 1920, Lot 117)","char-offset:571","EVENT","","","","","","","","","","",""
"8e465797-7722-43f3-8dc9-3f788f07758c","Pforzheimer Part 1_entry-446.0_372.txt","G.D.Smith","char-offset:571","PERSON","","","","","","","","","","",""
"ab7bf05b-3c38-48cc-883e-d677b394459a","Pforzheimer Part 1_entry-446.0_372.txt","1920","char-offset:586","","","","","","","","","AuctionYear","","",""
"fc0c041e-6787-48d6-bafc-5cff2f83514f","Pforzheimer Part 1_entry-446.0_372.txt","117","char-offset:596","","","","","","","","","Lot","","",""
"73dbbe71-6e1a-44ff-9f3c-8bdbcc10af7e","Pforzheimer Part 1_entry-446.0_372.txt","Frederick Perkins  (1889, Lot 748)","char-offset:685","EVENT","","","","","","","","","","",""
"1e10945a-1bcf-496a-b528-feb0f45b3cf4","Pforzheimer Part 1_entry-446.0_372.txt","Frederick Perkins","char-offset:685","PERSON","","","","","","","","","","",""
"417430b6-6128-4c5e-a964-33d2381ef85e","Pforzheimer Part 1_entry-446.0_372.txt","1889","char-offset:705","","","","","","","","","AuctionYear","","",""
"cc223874-5d17-4e34-b31c-febe9aba002b","Pforzheimer Part 1_entry-446.0_372.txt","748","char-offset:715","","","","","","","","","Lot","","",""
"33ec1eb0-47e5-4a4d-b7ad-e574d678b433","Pforzheimer Part 1_entry-446.0_372.txt","McKee","char-offset:721","PERSON","","","","","","","","","","",""
"2b93af6f-3b05-4e3d-b020-bf9071e07542","Pforzheimer Part 1_entry-446.0_372.txt","McKee (III, 1901, Lot 2367)","char-offset:721","EVENT","","","","","","","","","","",""
"d1ce3d89-d2b9-4b87-ab19-f3cfab07de5c","Pforzheimer Part 1_entry-446.0_372.txt","1901","char-offset:733","","","","","","","","","AuctionYear","","",""
"5a3a8bc7-026e-41e8-a656-3fe3808197ce","Pforzheimer Part 1_entry-446.0_372.txt","2367","char-offset:743","","","","","","","","","Lot","","",""
"9e76049d-5de3-4358-8f77-e03a332f07bb","Pforzheimer Part 1_entry-446.0_372.txt","Bangs","char-offset:757","PERSON","","","","","","","","","","",""
"c14748f3-0a92-4a67-b99c-2d6dbb84db51","Pforzheimer Part 1_entry-446.0_372.txt","Bangs (18 Nov. 1901, Lot 76)","char-offset:757","EVENT","","","","","","","","","","",""
"97eb3af7-bf73-4795-be3d-cbf3a152708e","Pforzheimer Part 1_entry-446.0_372.txt","1901","char-offset:772","","","","","","","","","AuctionYear","","",""
"1117294d-b3cd-4e89-9d92-79d6d828d28a","Pforzheimer Part 1_entry-446.0_372.txt","76","char-offset:782","","","","","","","","","Lot","","",""
"ed6a5fe7-cff5-4b95-989b-97f2f838aafd","Pforzheimer Part 1_entry-446.0_372.txt","Hagen","char-offset:786","PERSON","","","","","","","","","","",""
"281b6e0b-44a7-4495-906f-d84b6fda1594","Pforzheimer Part 1_entry-446.0_372.txt","Hagen  (1918, Lot 529)","char-offset:786","EVENT","","","","","","","","","","",""
"f93c31d7-0e01-4458-939f-f6463732af62","Pforzheimer Part 1_entry-446.0_372.txt","1918","char-offset:794","","","","","","","","","AuctionYear","","",""
"27ce13ab-9c03-453f-84e0-ff2066e357ef","Pforzheimer Part 1_entry-446.0_372.txt","529","char-offset:804","","","","","","","","","Lot","","",""
"4c61998b-1462-4cd9-8adf-62ebdabff69b","Pforzheimer Part 1_entry-445.0_370.txt","Halsey","char-offset:799","PERSON","","","","","","","","","","",""
"78b99dba-5548-47ea-849b-1c08c13967ff","Pforzheimer Part 1_entry-445.0_370.txt","Huntington","char-offset:808","PERSON","","","","","","","","","","",""
"008ba9ec-2be4-4bbe-8393-580dd3901a32","Pforzheimer Part 1_entry-445.0_370.txt","Huntington (V, 1917, Lot 177)","char-offset:808","EVENT","","","","","","","","","","",""
"df0a264a-be07-4233-b2c4-c81f9b8de4c8","Pforzheimer Part 1_entry-445.0_370.txt","1917","char-offset:823","","","","","","","","","AuctionYear","","",""
"fc03d0c5-96ed-49a3-abc5-1526f2ea9547","Pforzheimer Part 1_entry-445.0_370.txt","177","char-offset:833","","","","","","","","","Lot","","",""
"c31fbbaf-a8dd-4aae-9aaa-e44d4d498c53","Pforzheimer Part 1_entry-445.0_370.txt","Hagen (I, 1918, Lot 526","char-offset:841","EVENT","","","","","","","","","","",""
"12a12c9d-756e-432b-9075-312ffa19454c","Pforzheimer Part 1_entry-445.0_370.txt","Hagen","char-offset:841","PERSON","","","","","","","","","","",""
"343d9948-6dee-461d-839e-4684bafe9f05","Pforzheimer Part 1_entry-445.0_370.txt","1918","char-offset:851","","","","","","","","","AuctionYear","","",""
"8ad818e9-e178-4f29-b1d4-d582e33ae965","Pforzheimer Part 1_entry-445.0_370.txt","526","char-offset:861","","","","","","","","","Lot","","",""
"82fa5970-55bb-4b63-a7e4-41c72fd027a0","Pforzheimer Part 1_entry-437.0_362A.txt","Kemble (1800)","char-offset:1929","EVENT","","","","","","","","","","",""
"15029e7d-16bf-48e7-8de8-8cca2d4e79b0","Pforzheimer Part 1_entry-437.0_362A.txt","Kemble","char-offset:1929","PERSON","","","","","","","","","","",""
"fa332edc-5d61-4d15-92fa-9e724edb5f60","Pforzheimer Part 1_entry-437.0_362A.txt","1800","char-offset:1937","","","","","","","","","AuctionYear","","",""
"827822b6-b55e-4746-9add-4b00d52073c7","Pforzheimer Part 1_entry-437.0_362A.txt","Devon-  shire","char-offset:1945","EVENT","","","","","","","","","","",""
"0530759a-ee9b-43f0-8bc0-1b45162b38cd","Pforzheimer Part 1_entry-437.0_362A.txt","Huntington (IX, 1918, Lot 246)","char-offset:1960","EVENT","","","","","","","","","","",""
"6d059ff7-dba0-4c33-8285-893773908d42","Pforzheimer Part 1_entry-437.0_362A.txt","Huntington","char-offset:1960","PERSON","","","","","","","","","","",""
"117df6ac-cc80-460a-99db-6354e64e33b1","Pforzheimer Part 1_entry-437.0_362A.txt","1918","char-offset:1976","","","","","","","","","AuctionYear","","",""
"d329f43e-5f77-434a-94ba-06fc5a61102e","Pforzheimer Part 1_entry-437.0_362A.txt","246","char-offset:1986","","","","","","","","","Lot","","",""
"dc82c052-2273-4180-a9d1-97ae84bb16b0","Pforzheimer Part 1_entry-433.5_360.txt","Kemble","char-offset:954","PERSON","","","","","","","","","","",""
"696170a0-25a7-41a7-8169-8b6ff523539b","Pforzheimer Part 1_entry-433.5_360.txt","Kemble (1801)","char-offset:954","EVENT","","","","","","","","","","",""
"80cbe1c5-a4e1-4569-99e3-eba0d4dfd142","Pforzheimer Part 1_entry-433.5_360.txt","1801","char-offset:962","","","","","","","","","AuctionYear","","",""
"73898430-580b-4ccc-8a2a-e8f8bbae3903","Pforzheimer Part 1_entry-433.5_360.txt","Devonshire","char-offset:969","EVENT","","","","","","","","","","",""
"45846c60-ecbc-4c76-af7a-638eb96f3698","Pforzheimer Part 1_entry-433.5_360.txt","Huntington (IX, 1918, Lot 241)","char-offset:981","EVENT","","","","","","","","","","",""
"65626c98-b144-4bc3-a2cb-cc237ed9dbb0","Pforzheimer Part 1_entry-433.5_360.txt","Huntington","char-offset:981","PERSON","","","","","","","","","","",""
"2b211b58-3eb3-4079-95ba-3ab5eebdbc37","Pforzheimer Part 1_entry-433.5_360.txt","1918","char-offset:997","","","","","","","","","AuctionYear","","",""
"fa4f3b93-6931-4dc9-a86f-bb791dd1a689","Pforzheimer Part 1_entry-433.5_360.txt","241","char-offset:1007","","","","","","","","","Lot","","",""
"d04b80a5-e282-4485-996a-ae42c3a6e665","Pforzheimer Part 1_entry-440.0_363.txt","Herbert","char-offset:2302","EVENT","","","","","","","","","","",""
