"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"2ebf2736-a034-48c4-8df3-2e94ae6bfe37","Pforzheimer Part 2_entry-112.0_506.txt","Britwell","char-offset:898","PERSON","","","","","","","","","","",""
"d4edae35-36df-467e-a865-0e832e64e7d4","Pforzheimer Part 2_entry-112.0_506.txt","Britwell (1919, Lot 56)","char-offset:898","EVENT","","","","","","","","","","",""
"55afab9d-8e45-424f-be7e-0063e9b32a49","Pforzheimer Part 2_entry-112.0_506.txt","1919","char-offset:908","","","","","","","","","AuctionYear","","",""
"bf01504f-4af9-4944-9f6e-69e55132ce13","Pforzheimer Part 2_entry-112.0_506.txt","56","char-offset:918","","","","","","","","","Lot","","",""
"a8436739-e918-4c3b-9d29-f237bfacfb1d","Pforzheimer Part 2_entry-119.0_512.txt","Hoe (IV, 1912, Lot 1710)","char-offset:1248","EVENT","","","","","","","","","","",""
"64a43bb6-ef1a-4c11-9008-89090b958c5b","Pforzheimer Part 2_entry-119.0_512.txt","Hoe","char-offset:1248","PERSON","","","","","","","","","","",""
"8746912f-5a42-4a4d-87cd-5eb6677f8f7a","Pforzheimer Part 2_entry-119.0_512.txt","1912","char-offset:1257","","","","","","","","","AuctionYear","","",""
"f60c5737-76f1-478f-b3f1-721f03b138d6","Pforzheimer Part 2_entry-119.0_512.txt","1710","char-offset:1267","","","","","","","","","Lot","","",""
"4ec0fcff-bc51-45a1-835e-fd1db15a938b","Pforzheimer Part 2_entry-122.0_515.txt","Hagen","char-offset:2531","PERSON","","","","","","","","","","",""
"eb4358dc-1b90-4048-abf0-1e17fde7539f","Pforzheimer Part 2_entry-122.0_515.txt","Hagen (1918, Lot 649)","char-offset:2531","EVENT","","","","","","","","","","",""
"db4321d1-51af-4ece-b429-cc02b1ffc4f9","Pforzheimer Part 2_entry-122.0_515.txt","1918","char-offset:2538","","","","","","","","","AuctionYear","","",""
"83fa18a6-e00b-4a25-aeab-db9949d90714","Pforzheimer Part 2_entry-122.0_515.txt","649","char-offset:2548","","","","","","","","","Lot","","",""
"97aa2f13-2838-46cb-add8-cd960a3a4453","Pforzheimer Part 2_entry-113.0_507.txt","Pinkerton  (1, 1812, Lot 85)","char-offset:627","EVENT","","","","","","","","","","",""
"df50909d-d3e7-457c-9cd4-0158f1a20ca3","Pforzheimer Part 2_entry-113.0_507.txt","Pinkerton","char-offset:627","PERSON","","","","","","","","","","",""
"9504aab6-8f9c-4e95-8720-730eda98e32a","Pforzheimer Part 2_entry-113.0_507.txt","1812","char-offset:642","","","","","","","","","AuctionYear","","",""
"696e18c7-28ee-4bc3-9d6b-261f69b1e2f9","Pforzheimer Part 2_entry-113.0_507.txt","85","char-offset:652","","","","","","","","","Lot","","",""
"6d0eb5f5-93b0-4354-8faa-ed910f3b4671","Pforzheimer Part 2_entry-113.0_507.txt","Heber","char-offset:656","PERSON","","","","","","","","","","",""
"53faf0be-ed5d-4d9f-85ba-cbe6c21471ba","Pforzheimer Part 2_entry-113.0_507.txt","Heber (IV, 184, Lot 2563)","char-offset:656","EVENT","","","","","","","","","","",""
"a7ac7807-e5cf-4793-890e-029b0f0354da","Pforzheimer Part 2_entry-113.0_507.txt","184","char-offset:667","","","","","","","","","AuctionYear","1840?","",""
"67acafcb-e7ba-4200-b3fe-0d50d484f7c7","Pforzheimer Part 2_entry-113.0_507.txt","2563","char-offset:676","","","","","","","","","Lot","","",""
"7925964f-a170-49e7-aab4-7bb0ac134b6c","Pforzheimer Part 2_entry-113.0_507.txt","Britwell","char-offset:683","PERSON","","","","","","","","","","",""
"4df305e7-3569-4308-89f9-58c8826b30df","Pforzheimer Part 2_entry-113.0_507.txt","Britwell (1922, Lot 646)","char-offset:683","EVENT","","","","","","","","","","",""
"147651d8-c0ea-4ec9-8146-7181d78c2fd5","Pforzheimer Part 2_entry-113.0_507.txt","1922","char-offset:693","","","","","","","","","AuctionYear","","",""
"b59cd465-ba2f-419e-981e-19831b09a94f","Pforzheimer Part 2_entry-113.0_507.txt","646","char-offset:703","","","","","","","","","Lot","","",""
"eee1d2ae-87ae-48e6-a3cb-16c9ed21d7ba","Pforzheimer Part 2_entry-117.0_511.txt","Hoe (IV, 1912, Lot 1705)","char-offset:1176","EVENT","","","","","","","","","","",""
"50372851-248b-4a2d-a177-0a115e782920","Pforzheimer Part 2_entry-117.0_511.txt","Hoe","char-offset:1176","PERSON","","","","","","","","","","",""
"56cbe138-c133-486e-b9d6-8ccd3ff780fd","Pforzheimer Part 2_entry-117.0_511.txt","1912","char-offset:1185","","","","","","","","","AuctionYear","","",""
"19ebed87-0a90-4bbf-bf24-bebeeee4e9dd","Pforzheimer Part 2_entry-117.0_511.txt","1705","char-offset:1195","","","","","","","","","Lot","","",""
"3e4bf637-1eb9-4660-8b48-734cc4eec4c6","Pforzheimer Part 2_entry-114.0_508.txt","J.M.Rice (1834, Lot 950)","char-offset:848","EVENT","","","","","","","","","","",""
"0998fec5-3fc9-4961-b8b1-f46c4b2761cc","Pforzheimer Part 2_entry-114.0_508.txt","J.M.Rice","char-offset:848","PERSON","","","","","","","","","","",""
"5309fe26-981e-4ed1-ba9c-6ee5667f8f13","Pforzheimer Part 2_entry-114.0_508.txt","1834","char-offset:858","","","","","","","","","AuctionYear","","",""
"e83129c1-5a47-47b8-9f7f-e51312a4b3b8","Pforzheimer Part 2_entry-114.0_508.txt","950","char-offset:868","","","","","","","","","Lot","","",""
"7a9287b0-23bd-422d-863a-ac133226f140","Pforzheimer Part 2_entry-114.0_508.txt","Britwell","char-offset:875","PERSON","","","","","","","","","","",""
