"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"e94f58ac-7581-4198-ae79-38d8719db9be","Pforzheimer Part 2_entry-373.0_746.txt","Halsey","char-offset:880","PERSON","","","","","","","","","","",""
"4e81876c-5c03-4b48-af9a-df345a58f48f","Pforzheimer Part 2_entry-373.0_746.txt","Huntington (VII, 1918, Lot 623)","char-offset:887","EVENT","","","","","","","","","","",""
"306ece22-22f0-4749-b32d-34f33b98e443","Pforzheimer Part 2_entry-373.0_746.txt","Huntington","char-offset:887","PERSON","","","","","","","","","","",""
"9008448e-809b-4abb-ac4f-8144254e97a0","Pforzheimer Part 2_entry-373.0_746.txt","1918","char-offset:904","","","","","","","","","AuctionYear","","",""
"7d972b04-e0ce-433c-bf50-4d92c5023122","Pforzheimer Part 2_entry-373.0_746.txt","623","char-offset:914","","","","","","","","","Lot","","",""
"6e1bdad9-22af-412f-9816-0044b82c30c1","Pforzheimer Part 2_entry-374.0_747.txt","Bindley (II, 1819, Lot 1787)","char-offset:1374","EVENT","","","","","","","","","","",""
"2b5993cd-845f-4b81-9b0c-cbc5e9fb3319","Pforzheimer Part 2_entry-374.0_747.txt","Bindley","char-offset:1374","PERSON","","","","","","","","","","",""
"5522dd01-7940-4be2-af24-8367dc3d9eed","Pforzheimer Part 2_entry-374.0_747.txt","1819","char-offset:1387","","","","","","","","","AuctionYear","","",""
"c15003f2-e2e1-4e69-8a56-5bbc17d9dbf2","Pforzheimer Part 2_entry-374.0_747.txt","1787","char-offset:1397","","","","","","","","","Lot","","",""
"ecbaea74-0c34-4566-a4b2-15e4a69d7cee","Pforzheimer Part 2_entry-374.0_747.txt","Hibbert (1829,  Lot 5554)","char-offset:1405","EVENT","","","","","","","","","","",""
"a42baad8-56ad-4dd0-9627-90ec9bc6942e","Pforzheimer Part 2_entry-374.0_747.txt","Hibbert","char-offset:1405","PERSON","","","","","","","","","","",""
"0fad7ecf-d6c8-4262-b3c5-b328f03949ae","Pforzheimer Part 2_entry-374.0_747.txt","1829","char-offset:1414","","","","","","","","","AuctionYear","","",""
"e29661da-01ea-4a20-a525-b4ffb2f2563d","Pforzheimer Part 2_entry-374.0_747.txt","5554","char-offset:1425","","","","","","","","","Lot","","",""
"cab018e8-34f4-46ce-bb6c-209db34e0ff4","Pforzheimer Part 2_entry-374.0_747.txt","Britwell","char-offset:1433","PERSON","","","","","","","","","","",""
"67660ca9-335b-4b66-a782-b72ca77bcc17","Pforzheimer Part 2_entry-374.0_747.txt","Britwell (1922, Lot 49s)","char-offset:1433","EVENT","","","","","","","","","","",""
"51f1da99-e531-417c-ade1-2634e3693a4c","Pforzheimer Part 2_entry-374.0_747.txt","1922","char-offset:1443","","","","","","","","","AuctionYear","","",""
"00344fa4-e6e1-4860-9c55-df0dd7035a5f","Pforzheimer Part 2_entry-374.0_747.txt","49s","char-offset:1453","","","","","","","","","Lot","","",""
"8502eeb5-ef42-480b-bb0d-38a8cda3d6b4","Pforzheimer Part 2_entry-376.0_750.txt","Caldecott","char-offset:1479","PERSON","","","","","","","","","","",""
"81fb67b5-783f-4dc8-aaa8-74bdea9045d4","Pforzheimer Part 2_entry-376.0_750.txt","Caldecott  (1833, Lot 911","char-offset:1479","EVENT","","","","","","","","","","",""
"d9746dd5-34fc-4347-8a9a-74a985435285","Pforzheimer Part 2_entry-376.0_750.txt","1833","char-offset:1491","","","","","","","","","AuctionYear","","",""
"e7b10a6d-f376-4bf2-9320-4f12afb93364","Pforzheimer Part 2_entry-376.0_750.txt","911","char-offset:1501","","","","","","","","","Lot","","",""
"729f2bec-1495-4260-978d-1465dec2a7d9","Pforzheimer Part 2_entry-376.0_750.txt","Britwell (1922, Lot 496)","char-offset:1507","EVENT","","","","","","","","","","",""
"bf532f91-643d-46f8-9fce-fe0b3c607ea4","Pforzheimer Part 2_entry-376.0_750.txt","Britwell","char-offset:1507","PERSON","","","","","","","","","","",""
"18c38a0e-d2bd-4883-b120-9a1e60dd0b2b","Pforzheimer Part 2_entry-376.0_750.txt","1922","char-offset:1517","","","","","","","","","AuctionYear","","",""
"a895c9b0-c281-4ddd-9e74-dc481c2d6ac5","Pforzheimer Part 2_entry-376.0_750.txt","496","char-offset:1527","","","","","","","","","Lot","","",""
"8d7b1a1d-0aa0-4225-859f-718ac8dc4da3","Pforzheimer Part 2_entry-368.0_739.txt","Col. Grant","char-offset:596","PERSON","","","","","","","","","","",""
"54e8025d-17a6-408b-9931-41ffc555eba5","Pforzheimer Part 2_entry-368.0_739.txt","Col. Grant (gift to)","char-offset:596","EVENT","","","","","","","","","","",""
"36bcf36a-01f1-459c-acd5-510706af26ec","Pforzheimer Part 2_entry-368.0_739.txt","Locker","char-offset:617","PERSON","","","","","","","","","","",""
"bb7d1bb0-6357-4d75-854f-9021d47002af","Pforzheimer Part 2_entry-368.0_739.txt","Church","char-offset:624","PERSON","","","","","","","","","","",""
"dfe395d3-ea66-4bf8-bebf-a344c0478ab3","Pforzheimer Part 2_entry-368.0_739.txt","Huntington","char-offset:632","PERSON","","","","","","","","","","",""
"1b65f4aa-933f-4fec-8671-5093c409e4f5","Pforzheimer Part 2_entry-368.0_739.txt","Huntington  (11, 1916, Lot 1098)","char-offset:632","EVENT","","","","","","","","","","",""
"abd9a3e2-d0f7-4f22-9552-a35f121d9efa","Pforzheimer Part 2_entry-368.0_739.txt","1916","char-offset:649","","","","","","","","","AuctionYear","","",""
"eabc4edf-4a40-481a-a9c5-81649e4bee75","Pforzheimer Part 2_entry-368.0_739.txt","1098","char-offset:659","","","","","","","","","Lot","","",""
"8a84e2f7-280f-48f8-97d0-03a9b3740e21","Pforzheimer Part 2_entry-368.0_739.txt","Thomas Bell (1917, Lot 558)","char-offset:667","EVENT","","","","","","","","","","",""
"f980b1d1-c43d-422b-940c-af54495671c4","Pforzheimer Part 2_entry-368.0_739.txt","Thomas Bell","char-offset:667","PERSON","","","","","","","","","","",""
"b35495fc-8088-4323-989a-29786936ce89","Pforzheimer Part 2_entry-368.0_739.txt","1917","char-offset:680","","","","","","","","","AuctionYear","","",""
"34e33318-b395-4993-bb9c-026c4dad302b","Pforzheimer Part 2_entry-368.0_739.txt","558","char-offset:690","","","","","","","","","Lot","","",""
"5544dbcc-3ee9-4d40-ad81-c856a0229f54","Pforzheimer Part 2_entry-367.5_737.txt","Fountaine (1902, Lot 597)","char-offset:1622","EVENT","","","","","","","","","","",""
"63e95886-8061-40c9-9323-719c16bdfa8b","Pforzheimer Part 2_entry-367.5_737.txt","Fountaine","char-offset:1622","PERSON","","","","","","","","","","",""
"8608ee38-c325-4a4d-80bc-7f0d7d069707","Pforzheimer Part 2_entry-367.5_737.txt","1902","char-offset:1633","","","","","","","","","AuctionYear","","",""
"4457ba31-0abe-4ecc-ab46-636e14df36bc","Pforzheimer Part 2_entry-367.5_737.txt","597","char-offset:1643","","","","","","","","","Lot","","",""
"25a09a9a-141c-44de-8b0a-47e2eae6b3f3","Pforzheimer Part 2_entry-367.5_737.txt","Clawson  (II, 1926, Lot 585)","char-offset:1650","EVENT","","","","","","","","","","",""
"d84d7be4-b175-465a-9a63-7621d42d00ba","Pforzheimer Part 2_entry-367.5_737.txt","Clawson","char-offset:1650","PERSON","","","","","","","","","","",""
"7f274429-ce9b-4d4e-868d-fc0043d39452","Pforzheimer Part 2_entry-367.5_737.txt","1926","char-offset:1664","","","","","","","","","AuctionYear","","",""
"ea5d5584-299c-47b3-ad32-8d5f1c1cb1fc","Pforzheimer Part 2_entry-367.5_737.txt","585","char-offset:1674","","","","","","","","","Lot","","",""
"3fc74e48-8c4b-4816-b7b3-8553dc156463","Pforzheimer Part 2_entry-377.0_751.txt","Bridgewater","char-offset:1432","PERSON","","","","","","","","","","",""
"2b1d1d74-1175-4278-b4a7-ea8320e246c3","Pforzheimer Part 2_entry-377.0_751.txt","Huntington (1919, Lot 596)","char-offset:1445","EVENT","","","","","","","","","","",""
"105248f8-f7de-42d5-8998-56395e0d4a8e","Pforzheimer Part 2_entry-377.0_751.txt","Huntington","char-offset:1445","PERSON","","","","","","","","","","",""
"d13e4f42-4814-4fcc-b7a4-3bd3038a6f8a","Pforzheimer Part 2_entry-377.0_751.txt","1919","char-offset:1457","","","","","","","","","AuctionYear","","",""
"944fde3d-e13d-400e-8312-264695c4159b","Pforzheimer Part 2_entry-377.0_751.txt","596","char-offset:1467","","","","","","","","","Lot","","",""
