"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"f4e0f9ed-e488-4520-bf51-741cbf5a5636","Pforzheimer Part 1_entry-275.0_214.txt","The Jones","char-offset:1285","PERSON","","","","","","","","","","",""
"1c8e85fc-30fd-46a4-aadb-fef9f8db36a6","Pforzheimer Part 1_entry-275.0_214.txt","The Jones (1918, Lot 365)","char-offset:1285","EVENT","","","","","","","","","","",""
"87d6756f-d301-4c1e-ad84-e8dd40a36b45","Pforzheimer Part 1_entry-275.0_214.txt","1918","char-offset:1296","","","","","","","","","AuctionYear","","",""
"7c8fb5b5-e04a-4684-a036-899cbbb3ad63","Pforzheimer Part 1_entry-275.0_214.txt","365","char-offset:1306","","","","","","","","","Lot","","",""
"6235cea7-844d-4473-bbdc-3a3975e1184f","Pforzheimer Part 1_entry-278.0_216.txt","Thorne Drury (III, 1931, Lot 1673)","char-offset:456","EVENT","","","","","","","","","","",""
"bf2f632e-8439-44ae-966f-6dfb27cb41d2","Pforzheimer Part 1_entry-278.0_216.txt","Thorne Drury","char-offset:456","PERSON","","","","","","","","","","",""
"3e0b770c-b7da-4b74-9f25-20c38d2d8f58","Pforzheimer Part 1_entry-278.0_216.txt","1931","char-offset:475","","","","","","","","","AuctionYear","","",""
"c9f1232e-4306-484c-9f0c-3556b0d3c92c","Pforzheimer Part 1_entry-278.0_216.txt","1673","char-offset:485","","","","","","","","","Lot","","",""
"92c4fe39-127d-470b-93eb-ca9a59616d64","Pforzheimer Part 1_entry-278.0_216.txt","Sotheby’s","char-offset:529","PERSON","","","","","","","","","","",""
"347cfba9-27d4-4a4d-a558-799543d301cb","Pforzheimer Part 1_entry-278.0_216.txt","Sotheby’s 4 December 1902, Lot 429","char-offset:529","EVENT","","","","","","","","","Probable","",""
"623c3199-ec85-4e7a-8eb2-f1aaa47e3ec3","Pforzheimer Part 1_entry-278.0_216.txt","1902","char-offset:550","","","","","","","","","AuctionYear","","",""
"6df95e23-46e9-42fc-af2d-f2b8a307f929","Pforzheimer Part 1_entry-278.0_216.txt","429","char-offset:560","","","","","","","","","Lot","","",""
"d43f3344-b72c-4342-abe7-3c6f518661b0","Pforzheimer Part 1_entry-278.0_216.txt","Selby","char-offset:579","PERSON","","","","","","","","","Probable","",""
"a55a404a-28d1-4899-8363-d7bf24c3d2ba","Pforzheimer Part 1_entry-278.5_217.txt","Sold Sotheby’s 4 July 1932,  Lot 435","char-offset:796","EVENT","","","","","","","","","","",""
"cecea442-d057-4b16-8c58-e6a2f6a7bc59","Pforzheimer Part 1_entry-278.5_217.txt","Sotheby’s","char-offset:801","PERSON","","","","","","","","","","",""
"e8d5118c-b851-4a93-b027-6fd5ae9d8b49","Pforzheimer Part 1_entry-278.5_217.txt","1932","char-offset:818","","","","","","","","","AuctionYear","","",""
"18c1e745-2522-4010-ad87-abbdb3991fa0","Pforzheimer Part 1_entry-278.5_217.txt","435","char-offset:829","","","","","","","","","Lot","","",""
"76eb6069-3b91-4209-9779-04d54b2db8f2","Pforzheimer Part 1_entry-278.5_217.txt","R.S.Turner copy, sold Sotheby’s 23 November 1888, Lot 7490.","char-offset:855","EVENT","","","","","","","","","Probable","",""
"308547e8-01c7-4b98-be2d-1df256a4ab0d","Pforzheimer Part 1_entry-278.5_217.txt","R.S.Turner","char-offset:855","PERSON","","","","","","","","","","",""
"7ac7b1a7-354f-45e5-a6a8-75c6e19555c6","Pforzheimer Part 1_entry-278.5_217.txt","1888","char-offset:899","","","","","","","","","AuctionYear","","",""
"5886b87f-e678-4c64-a98e-153ae6dca647","Pforzheimer Part 1_entry-278.5_217.txt","7490","char-offset:909","","","","","","","","","Lot","","",""
"f4c2e720-5d41-4766-afcd-dc9642b5077c","Pforzheimer Part 1_entry-268.0_208.txt","The Hagen (1918, Lot 272)","char-offset:1201","EVENT","","","","","","","","","","",""
"c0e56537-6be7-40cf-a17e-821acee108ca","Pforzheimer Part 1_entry-268.0_208.txt","The Hagen","char-offset:1201","PERSON","","","","","","","","","","",""
"5b2f769a-9f18-4a14-82b3-43907804a893","Pforzheimer Part 1_entry-268.0_208.txt","1918","char-offset:1212","","","","","","","","","AuctionYear","","",""
"9447bafa-beb3-4b88-8898-d00250df94e6","Pforzheimer Part 1_entry-268.0_208.txt","272","char-offset:1222","","","","","","","","","Lot","","",""
"f55360cb-1295-4806-a159-ab75a8e47e87","Pforzheimer Part 1_entry-276.0_215.txt","The Lefferts (1902, Lot 262)","char-offset:1974","EVENT","","","","","","","","","","",""
"6c6fdace-57b8-4413-9800-17fc5016370c","Pforzheimer Part 1_entry-276.0_215.txt","The Lefferts","char-offset:1974","PERSON","","","","","","","","","","",""
"16707ec0-8fa6-4c7e-a2a5-168a0bd856a5","Pforzheimer Part 1_entry-276.0_215.txt","1902","char-offset:1988","","","","","","","","","AuctionYear","","",""
"a944719d-c1a0-417a-a504-a1a2ed1270d1","Pforzheimer Part 1_entry-276.0_215.txt","262","char-offset:1998","","","","","","","","","Lot","","",""
