"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"78ba0d1d-12cf-4885-80cd-241cccdb83b5","Pforzheimer Part 3_entry-421.0_MS.35C.txt","PROVENANCE: See MS.354.","char-offset:266","EVENT","","","","","","","","","","",""
"5a5305ad-7965-4935-b433-322e51740c77","Pforzheimer Part 3_entry-421.5_MS.35D.txt","Alfred Morrison","char-offset:693","PERSON","","","","","","","","","","",""
"b8524988-773f-4c0e-a099-c58d16de30fd","Pforzheimer Part 3_entry-421.5_MS.35D.txt","Alfred Morrison (IV, 1919, Lot 2820).","char-offset:693","EVENT","","","","","","","","","","",""
"88c00d13-c8e4-46e3-bd0b-16064cce9607","Pforzheimer Part 3_entry-421.5_MS.35D.txt","1919","char-offset:714","","","","","","","","","AuctionYear","","",""
"5d97a58d-03e7-4e7b-832c-8d646e0ad3f8","Pforzheimer Part 3_entry-421.5_MS.35D.txt","2820","char-offset:724","","","","","","","","","Lot","","",""
"0a9641b2-320d-4b09-813c-68b25ee2b720","Pforzheimer Part 3_entry-420.5_MS. 35B.txt","PROVENANCE:   See MS.35D.","char-offset:244","EVENT","","","","","","","","","","",""
"45341c19-0cb3-448b-993d-42cb93391c94","Pforzheimer Part 3_entry-420.0_MS.35A.txt","Lady  Evelyn","char-offset:443","EVENT","","","","","","","","","","",""
"dbd53c4b-f1df-4d14-8c2b-ef506611424c","Pforzheimer Part 3_entry-420.0_MS.35A.txt","William Upcott","char-offset:459","EVENT","","","","","","","","","","",""
"60e34cf6-cccb-4bde-8bd9-99c77addacc4","Pforzheimer Part 3_entry-420.0_MS.35A.txt","John Dillon at whose                              sale (1869)","char-offset:489","EVENT","","","","","","","","","","",""
"38d7747d-57d4-4bd3-85b9-b055245fe2df","Pforzheimer Part 3_entry-420.0_MS.35A.txt","John Dillon","char-offset:489","PERSON","","","","","","","","","","",""
"5522a8e1-564e-4bad-aff1-78f4facf00e2","Pforzheimer Part 3_entry-420.0_MS.35A.txt","1869","char-offset:545","","","","","","","","","AuctionYear","","",""
"79bfc98d-af11-4fe5-aa22-6432dfd05407","Pforzheimer Part 3_entry-420.0_MS.35A.txt","Alfred Morrison (IV, 1919, Lot 2824).","char-offset:570","EVENT","","","","","","","","","","",""
"bb10cbca-73a7-454c-ba5b-67248959196c","Pforzheimer Part 3_entry-420.0_MS.35A.txt","Alfred Morrison","char-offset:570","PERSON","","","","","","","","","","",""
"88d57a83-55cc-4f3f-b2f3-15d51711156f","Pforzheimer Part 3_entry-420.0_MS.35A.txt","1919","char-offset:591","","","","","","","","","AuctionYear","","",""
"4e7cea5c-fd2f-47ba-b6f6-205798ef1a5b","Pforzheimer Part 3_entry-420.0_MS.35A.txt","2824","char-offset:601","","","","","","","","","Lot","","",""
"bbbb7889-39c4-4f2e-998a-df70b2ec4fe2","Pforzheimer Part 3_entry-422.0_MS.35E.txt","Morrison sale (IV, 1919, Lot 2822).","char-offset:359","EVENT","","","","","","","","","","",""
"71b5f904-e19e-4de7-ae2c-6a0868ee7dcc","Pforzheimer Part 3_entry-422.0_MS.35E.txt","Morrison sale","char-offset:359","PERSON","","","","","","","","","","",""
"a740630f-850a-435f-8d86-670e6715509b","Pforzheimer Part 3_entry-422.0_MS.35E.txt","1919","char-offset:378","","","","","","","","","AuctionYear","","",""
"3c5a0df4-ddfa-4c3b-b3f9-850f590fe78c","Pforzheimer Part 3_entry-422.0_MS.35E.txt","2822","char-offset:388","","","","","","","","","Lot","","",""
