"source","relation","target","source_id","source_tags","target_id","target_tags"
"Heber","Sold to","Britwell","bfd5ed90-52c8-4885-86ab-640430f62e5d","","2fd60424-83cd-435e-a63b-a74ce8109cb5",""
"Kemble","Sold to","Devonshire","69225a0f-7ad7-4670-8a8a-1b0af54cbf3c","","61f823f4-2108-487b-a95c-5e2c140fa658",""
"John Duerdin","Sold to","H.B.Forman","f36b5751-6e8e-46dc-be19-8930870077ca","","c871a397-2a3a-4146-a29f-1bb4cf708d15",""
"Huntington","Sold to","Jones","2374daf2-cea0-4adf-8983-418f017e6bc1","","6f163eb5-da7c-4c65-9dd4-88c7d19206c8",""
"Devonshire","Sold to","Huntington (private)","33ffa10c-8ed7-49ac-be26-94abf9e2318d","","43a39c94-e90b-42d5-a25d-31bd09bf03d8",""
"Britwell","Sold to","Clawson","2fd60424-83cd-435e-a63b-a74ce8109cb5","","25474604-8164-4ed0-9a83-b43d2b831bff",""
"Locker","Sold to","Huntington","69fbd157-5329-4183-99ea-ac8aabed94b0","","2fb6d8b3-1a2e-41dd-a059-0f43c7881449",""
"Huntington","Sold to","Jones","2fb6d8b3-1a2e-41dd-a059-0f43c7881449","","dc349416-9928-418b-9f79-9388f157a626",""
"Huntington","Sold to","Clawson","f1d0f82e-9968-4421-86b1-18b19f95aee0","","a3c4b0df-af76-4b77-a742-a883fe6983f2",""
"Titef","Sold to","Huth","f0a449f0-fd69-4f11-99ea-2ec7ec1f84f0","","acae6c14-d388-45ce-9fa1-85b088537d8e",""
"Hoe","Sold to","Huntington","064407b5-1aec-49d4-b390-75169a83f380","","83aecab3-0d94-45a0-90c6-f498530f8136",""
"Huth","Sold to","Huntington","acae6c14-d388-45ce-9fa1-85b088537d8e","","f1d0f82e-9968-4421-86b1-18b19f95aee0",""
"Hoe","Sold to","Huntington","cc911c4a-6786-4d8d-8f15-2ed72ceec260","","2374daf2-cea0-4adf-8983-418f017e6bc1",""
"Kemble","Sold to","Devonshire","80efc821-4ca8-458d-95d1-4007d54a5ee8","","33ffa10c-8ed7-49ac-be26-94abf9e2318d",""
"Devonshire","Sold to","Huntington","61f823f4-2108-487b-a95c-5e2c140fa658","","7e8345ea-6c91-43de-a26f-5c448edbfb94",""
"Locker","Sold to","Jones","c79f0d15-58de-4063-8cda-96ab8c0f284a","","910d742b-fa4c-4fc0-aa88-434cb011e412",""
"Mitford (untraced in sale)","Sold to","Locker","9a6c10a6-2051-44a4-8e91-435400811534","","774b6c39-b530-4d34-903b-f170990bec31",""
