"source","relation","target","source_id","source_tags","target_id","target_tags"
"The Lefferts","Sold to","Hagen","86b05e23-0fb2-4184-82d6-a58f3a2c4cd6","","e43c0f43-82a3-47b5-96be-18f042cc7bc7",""
"Jones","Sold to","Clawson","a57c02e9-4569-4b1f-ae2c-2372cff57246","","c118fc28-fe5e-43dc-b742-c7edde906628",""
"The Lefferts","Sold to","Hagen","6f26ec6b-3efb-4dc1-af09-2e478a8d91bb","","a2287407-f49b-4e03-baa3-89efc256c448",""
"Heber","Sold to","Britwellt","823c10cb-747b-49a2-800d-95c600378399","","b4903da8-e499-4a57-9780-47ad873e1315",""
"The Lefferts","Sold to","Hagen","34583bce-0176-4866-9b03-7639378845cc","","5a7059a8-3440-41da-9d57-cfc7842c7648",""
"The Ashburnham","Sold to","Ross Winans","f7383924-0bad-468b-9758-3a4406f8fcb7","","600d7aad-df0a-44e8-bc64-7888a89001f8",""
"The 
Bright","Sold to","T.D.C.Graham","73b84848-a006-4f42-820a-2e7450d18931","","0d567abf-65e6-46ce-8404-d136ff712b55",""
"Jones","Sold to","Chew","c6f73ca7-13c6-4163-a0b6-df5db119e413","","01f5ab41-c472-447f-87e9-fbb647509eb1",""
"Halsey","Sold to","Huntington","0d852ae6-ceab-45a0-a370-417c1b409b68","","02bcf5af-0e7f-4f0a-ae34-93684dc5f980",""
"The Humphry 
Primatt","Sold to","Halsey","c614410a-e334-4bd7-8475-83c96ea0491b","","0d852ae6-ceab-45a0-a370-417c1b409b68",""
"George Steevens","Sold to","Heber","f54e0910-6af1-446e-bd90-022e6ca6363f","","823c10cb-747b-49a2-800d-95c600378399",""
"Van Antwerp","Sold to","Jones","f27147d0-56a7-4e3b-893c-e2856ead63e5","","a57c02e9-4569-4b1f-ae2c-2372cff57246",""
"Locker","Sold to","Van Antwerp","898749ee-7467-45e1-8d11-62cf2af853bb","","f27147d0-56a7-4e3b-893c-e2856ead63e5",""
"The Narcissus Luttrell","Sold to","George Steevens","77af98ca-a548-46d7-8567-060ac41f5936","","f54e0910-6af1-446e-bd90-022e6ca6363f",""
"T.D.C.Graham","Sold to","Locker","0d567abf-65e6-46ce-8404-d136ff712b55","","898749ee-7467-45e1-8d11-62cf2af853bb",""
"Huntington","Sold to","Jones","02bcf5af-0e7f-4f0a-ae34-93684dc5f980","","c6f73ca7-13c6-4163-a0b6-df5db119e413",""
"Britwellt","Sold to","Clawson","b4903da8-e499-4a57-9780-47ad873e1315","","108d1113-5e59-4a88-a4f6-0f1ee12dd299",""
