"source","relation","target","source_id","source_tags","target_id","target_tags"
"S.W.H.Ireland","Next in chain","Henkels’s,  Shakespeare  sale,","826121b6-c531-4411-a706-0c41497c373a","","3c23e520-cb2b-4a01-b9d0-f94491c8e22f",""
"Devonshire","Sold to","Huntington","5ea6ed36-b9b7-4ef2-94e9-27864ca994bc","","68ed452f-54b1-497c-96fe-41702523a81a",""
"Kemble","Sold to","Devonshire","a4bf75f4-869d-4528-a07e-fcd114df9f4b","","93cac828-273a-46f3-a39f-50955e045db7",""
"Kemble","Sold to","Devonshire","a6d63100-7f93-4102-af05-2dcdfc374edc","","5ea6ed36-b9b7-4ef2-94e9-27864ca994bc",""
"Kemble","Sold to","Devonshire","dc29e67a-77f8-4830-a423-eafd60111d7f","","173b985e-3dcd-4b10-88af-9efc79b4f8e7",""
"Heber","Sold to","Sewall","d7f38b47-4a1e-46ab-87be-db4b5340252b","","2a7b2d07-b76b-40ee-8da0-bcbde5cf10db",""
"Sewall","Sold to","Shakespeare Library (","2a7b2d07-b76b-40ee-8da0-bcbde5cf10db","","9ac06219-50c1-4c1e-a832-75ce5e7a9ebb",""
"T.J.McKee","Sold to","S.K. Wilson","e7802ab7-7489-4489-a1bf-c8d649b026a9","","a2f5db25-def2-4b64-a6c8-8e62988f4832",""
"Halliwell","Sold to","T.J.McKee","7362eeb5-3f10-4ad4-ab3f-7398a43fd126","","e7802ab7-7489-4489-a1bf-c8d649b026a9",""
"Devonshire","Sold to","Huntington","173b985e-3dcd-4b10-88af-9efc79b4f8e7","","4d7934d1-8cc3-4679-9209-72155f9ab1e5",""
"Wolfreston","Sold to","Huth","83798948-6f50-4740-b986-1ee25235316c","","4edb9190-ae1e-4228-85ae-ae9da14c4447",""
"Devonshire","Sold to","Huntington","93cac828-273a-46f3-a39f-50955e045db7","","c3ad3f5b-f207-494e-ab81-202d9f18b62e",""
"Mostyn","Sold to","Clawson","a846cbf4-3460-4238-8721-08ff5c85f19e","","020a1661-eb5d-45c2-a5d5-c2993603810a",""
