"source","relation","target","source_id","source_tags","target_id","target_tags"
"Steevens","Sold to","Tite","c8f38b3f-3cc3-4af9-aff4-28d8dff2ce00","","2ad1cb3d-dd6e-4634-8d00-94afe365937d",""
"Gaisford","Sold to","Britwell","e2399d97-e699-40d7-98c7-48469ba7b9b5","","da0f0e90-ef03-4043-b313-58c106bb7192",""
"Devonshire","Sold to","Huntington","bdbaf406-14b1-4e2a-a959-83dade7a166e","","8b354098-80a5-4d43-93df-0e15301cf1e1",""
"N.Q.Pope","Sold to","Hoe","e1ae03b3-6448-4ca0-a778-305ead1e85f1","","5781f467-4073-4bd8-8d9f-60eac4ce0bd5",""
"Wolfreston","Sold to","Tite","0975c954-c1f4-4b83-bb60-f6a043c22f95","","af339100-d8c4-4bee-be3e-be95a906cea9",""
"Tite","Sold to","Crawford","2ad1cb3d-dd6e-4634-8d00-94afe365937d","","2cd9761a-0313-4300-8018-1972d8fe1451",""
"Gaisford","Sold to","Britwell","fa7bff49-2933-4296-a344-6b98c831e6c2","","2e48576a-6ed2-4465-b43f-6903e329394a",""
"J. Dunn Gardner","Sold to","Tite","2907f8da-ac81-43a9-b420-4dad17ecfb4c","","761b0b17-8f01-4eb9-858d-7d907052167f",""
"Hoe","Sold to","Clawson","5781f467-4073-4bd8-8d9f-60eac4ce0bd5","","5e3691f5-420b-463a-bb4e-67f1f1bc4114",""
"Church","Sold to","Huntington","53e20eaa-24f5-4e55-959c-b44a1641b713","","06a0702c-95c8-40ca-8094-77d6fa92ca2f",""
"Locker","Sold to","Church","86768c46-60bf-4ac9-b685-a5a59647d342","","53e20eaa-24f5-4e55-959c-b44a1641b713",""
"Tite","Sold to","Britwell","af339100-d8c4-4bee-be3e-be95a906cea9","","0b348a50-0c9f-4a77-b27e-77d0330f2f69",""
"Huntington","Sold to","Clawson","8b354098-80a5-4d43-93df-0e15301cf1e1","","8649ae86-d354-4ec9-9a95-fdae10357fd9",""
"Crawford","Sold to","Gaisford","2cd9761a-0313-4300-8018-1972d8fe1451","","e2399d97-e699-40d7-98c7-48469ba7b9b5",""
"Arbury","Sold to","G.D.Smith","2968173e-015e-4d99-9eae-625bca2ce93f","","49ef7dda-2cd3-467a-8acb-7362daa4d6d7",""
"Lord Vernon","Sold to","Clawson","2d2345a6-3bc9-440c-961a-c08a3422bacd","","4d5952d1-d7dc-4b63-84b7-2b935c78965a",""
"Tite","Sold to","Locker","761b0b17-8f01-4eb9-858d-7d907052167f","","86768c46-60bf-4ac9-b685-a5a59647d342",""
