"source","relation","target","source_id","source_tags","target_id","target_tags"
"Lefferts","Sold to","Hagen","865046e9-de63-4ae6-a05e-83847b7335cf","","38559ee1-db45-45cc-abce-215f6e925126",""
"Britwell","Sold to","Clawson","1ebcd3c3-c36e-40ca-a013-8d7c74e08b17","","274407ee-563f-4633-b50d-40423a5a036b",""
"Stanley","Sold to","Sykes","856a5806-c79e-45cd-9434-cf34689a73a8","","17f13b7f-2d8d-45cd-8404-469347f220bd",""
"Jones","Sold to","Clawson","3a83152c-09d7-4d1d-8eb1-c24ed0b2f8f9","","56dff1bb-a44a-43fa-a06b-832a4ffabcff",""
"Britwellf","Sold to","Clawson","7de165c7-9bb9-4159-a2b2-b663e3d88a10","","7a30395c-be71-4670-bc10-dbad68da40b5",""
"Heber","Sold to","Britwellf","95b15213-a943-4e87-8395-6d9b89a8c01d","","7de165c7-9bb9-4159-a2b2-b663e3d88a10",""
"Heber","Sold to","Britwell","e0e4eccf-b0a5-4fe2-987e-ce3a918c86ae","","1ebcd3c3-c36e-40ca-a013-8d7c74e08b17",""
"Park","Sold to","B.A.P.No.554","4c0ee395-c0dd-4f6b-a6b6-d8d2b5ba70ce","","2ca547c6-cd8c-43c6-9f44-0df96f802eee",""
"Wright","Sold to","Steevens","892de8ba-48f0-41aa-94ea-bdf31eb2f605","","63a44d38-3bfb-44f7-bb5f-086fc95fec4d",""
"Sykes","Sold to","Heber","17f13b7f-2d8d-45cd-8404-469347f220bd","","95b15213-a943-4e87-8395-6d9b89a8c01d",""
"R.H-Inglis","Sold to","G.Thorne Drury","9f04b6c8-a618-4db9-8a25-fa694f9af7f4","","2749c7cc-dce8-431c-9a46-10fca50e9bf4",""
"Heber","Sold to","Britwell","1d03758c-3087-4eef-8cc2-4a6d53a3c527","","976bc96e-d54b-4139-b411-34b8eb479c87",""
"Devonshire","Sold to","Huntington","d6a711e1-99a8-4fcb-943a-22204344e0dc","","fdf987a0-04a1-4212-a7c4-7a0a6c1aa927",""
"Huntington","Sold to","Jones","fdf987a0-04a1-4212-a7c4-7a0a6c1aa927","","3a83152c-09d7-4d1d-8eb1-c24ed0b2f8f9",""
"Roxburghe","Sold to","Holgate","9c774752-4ade-4853-8e6a-a67b14d8cf8b","","f5a6da04-8c98-444f-a812-d7910e4aa2b6",""
"Holgate","Sold to","Britwell","f5a6da04-8c98-444f-a812-d7910e4aa2b6","","fead9590-ae04-4ae0-8845-5b3c1909dbce",""
"Mostyn","Sold to","Clawson","a19aa1a3-10af-4db2-a980-f64f96b12503","","d08376a4-ee27-40f1-9ae9-c86943ce5eee",""
"B.A.P.No.554","Sold to","Heber","2ca547c6-cd8c-43c6-9f44-0df96f802eee","","1d03758c-3087-4eef-8cc2-4a6d53a3c527",""
"Roxburghe","Sold to","Heber","951492e6-8b5c-46bd-98f2-a174db0d8349","","f9c1dc17-f040-4cd8-bdbc-1d3247d11e24",""
"Huth","Sold to","Jones","bb3b185f-96e6-44bf-a898-6ed5458907cb","","d7fa79e4-1895-4e47-9b24-04b758638cc1",""
"Steevens","Sold to","Roxburghe","63a44d38-3bfb-44f7-bb5f-086fc95fec4d","","951492e6-8b5c-46bd-98f2-a174db0d8349",""
"Heber","Sold to","Devonshire","f9c1dc17-f040-4cd8-bdbc-1d3247d11e24","","d6a711e1-99a8-4fcb-943a-22204344e0dc",""
