"source","relation","target","source_id","source_tags","target_id","target_tags"
"Huntington","Sold to","Jones","477e1dd8-8b62-46e3-9970-2f56adc5f149","","98b34696-e9f1-41c3-9d5b-2983b671ff96",""
"Hagen","Sold to","Clawson","bc50303b-e6d5-4044-ab5a-2046a7522fdc","","e694a4c2-ec51-4078-a1f6-413d30963959",""
"G.Walter Steeves","Sold to","Jones","a3ec1c17-647d-45f9-b902-2bf02e6a0ae3","","dff6d8fc-4abe-4011-9d04-5990440ab213",""
"Charlemont","Sold to","Huth","f8958838-62bb-4570-861c-1d6155ed7d7d","","816af560-6245-4108-b512-b773b83020c2",""
"Heber","Sold to","Corser","e941a290-9299-4b20-b048-b7137e83cc29","","ef2f3deb-e633-49d0-b861-f897205c2184",""
"Devonshire","Sold to","Huntington","ccd1b06e-2ea7-4c3a-b230-6daa6aee553d","","6d9fa0f7-1f6f-4b30-94c0-86fcfe9df236",""
"Jones","Sold to","Clawson","98b34696-e9f1-41c3-9d5b-2983b671ff96","","5c54c4a8-0688-4eb8-b0a0-a5bd437e28a2",""
"Winans","Sold to","Hagen","cb8a9d8e-7b43-41d8-80bb-9af11fc6cb36","","bc50303b-e6d5-4044-ab5a-2046a7522fdc",""
"Bridgewater","Sold to","Huntington","bc17cddd-192a-4e71-8eb1-70b4ebbbcf0a","","a6ad7ec6-4545-4602-9726-db819236a542",""
"Bridgewater","Sold to","Huntington","734ea7bb-ee53-4d21-839d-deb7adda03cb","","5c00edaf-27a6-4c64-9970-76058bcbdcd7",""
"Knight","Sold to","Tite","95499003-d767-44f7-855b-549ce81fe690","","6af69b53-5310-49dd-8777-ff938d60c670",""
"Kemble","Sold to","Devonshire","a8946ec2-b504-4509-9967-75f92d771077","","b396ba6b-8fc7-4f6f-819a-72b1d0dcdcd3",""
"Kemble","Sold to","Devonshire","9ceb5c30-08a6-4ff5-a85d-589fdcf44614","","9ed487cd-d386-4609-aee9-2804dd399907",""
"Roxburghe","Sold to","Heber","c824ea75-ae64-4a8e-9248-97f634b0f3a0","","e941a290-9299-4b20-b048-b7137e83cc29",""
"Britwell","Sold to","Clawson","2465117b-80f8-4dca-ace0-782e6d356f61","","b664050a-6f5b-473c-897f-32ae507b8934",""
"Huntington","Sold to","Jones","5c00edaf-27a6-4c64-9970-76058bcbdcd7","","423cc379-0b00-4b87-bcee-4ad07779f289",""
"Devonshire","Sold to","Huntington","b396ba6b-8fc7-4f6f-819a-72b1d0dcdcd3","","477e1dd8-8b62-46e3-9970-2f56adc5f149",""
"Devonshire","Sold to","Huntington","9ed487cd-d386-4609-aee9-2804dd399907","","e13d6b77-b09e-4db4-9653-147ad3ae0479",""
"Holgate","Sold to","Britwell","56a1ff9a-0af1-4c93-80c5-e653167b5cff","","52f25e49-785e-4aea-a5ed-bf280876a03c",""
"Lefferts","Sold to","Hagen","6fb53981-0a2d-448c-86a6-adc9d6391d66","","3f952440-30bd-40d6-840c-0453966c0857",""
"Kemble","Sold to","Devonshire","ae9ce37b-6af8-441a-a4c7-f88593180188","","ccd1b06e-2ea7-4c3a-b230-6daa6aee553d",""
"Tite","Sold to","Arnold","6af69b53-5310-49dd-8777-ff938d60c670","","293fc5b9-464d-4deb-92e0-cec35ce956ba",""
"Arnold","Sold to","Hagen","293fc5b9-464d-4deb-92e0-cec35ce956ba","","361fb77d-b59a-42ff-9cc0-84b372edc6ea",""
"Lefferts","Sold to","Winans","f3d07cad-4c28-4afa-a795-45938de69480","","cb8a9d8e-7b43-41d8-80bb-9af11fc6cb36",""
"Huntington","Sold to","Clawson","a6ad7ec6-4545-4602-9726-db819236a542","","2a41d18d-6b79-490a-ac6e-01c0ff2e4ecc",""
"Charles II","Sold to","Charlemont","1b224dfa-27cf-4479-a352-ae4f9a609a4e","","f8958838-62bb-4570-861c-1d6155ed7d7d",""
"Huth","Next in chain","Clawson","816af560-6245-4108-b512-b773b83020c2","","158a5190-52e0-4167-a39e-c9de9387fc41",""
"Corser","Sold to","Britwell","ef2f3deb-e633-49d0-b861-f897205c2184","","2465117b-80f8-4dca-ace0-782e6d356f61",""
