"source","relation","target","source_id","source_tags","target_id","target_tags"
"Jeffreys","Sold to","Macro","7e548b92-5df6-42a0-8307-59b646b69a58","","bb8fe9b0-c21b-409c-bd12-614edccd5569",""
"Huth","Sold to","Clawson","ef976601-ea3a-4f1b-ad28-f5721ca3fa52","","52c21f27-2d1b-49f8-b1f3-4d69b81b9e64",""
"Earl of Essext","Sold to","Nassau","3cf7a5bc-0dc0-4b50-af48-a85759ddbc40","","a36b7a58-fd15-4692-9843-2e9ec80d5c31",""
"Arbury","Sold to","Clawson","79f742f1-e5d7-4ccc-83ab-d8ce61b2423e","","06617748-dd20-4fc6-8251-f2076c50f0ec",""
"Duke of Sussex","Sold to","E.H. Bierstadt","db2b3fea-bc36-4909-acdf-58a057a4b300","","ae872ae4-4a3c-47f7-94f9-f76f55d4c337",""
"Wolfreston","Sold to","Britwell","2f5681ea-0530-4d4b-a6fa-8e074ff2ce1d","","cf744bd5-30d5-4282-a9f4-441b1394f684",""
"Freeling","Sold to","Corser","35a7b194-5ae1-4a97-b22d-b29fe0d05e9b","","6bd05b16-9d5f-4224-9c86-6d6cbef0630a",""
"Jones","Sold to","Clawson","89446881-69a3-4584-ada0-a8643156eb3e","","6a959b53-0dd0-4f0f-bebf-956b68af4125",""
"Hoe","Sold to","Huntington","e8835f5d-e38b-43d2-af88-286a3695aba7","","09a1e618-d85d-4d50-be49-3d940129f8bd",""
"Bridgewater","Sold to","Huntington","f0d1cc1e-afae-4528-9387-3a1ecec3067e","","ff640ec1-ed38-47a1-a1a0-843ce0eacc6a",""
"Macro","Sold to","Heber","bb8fe9b0-c21b-409c-bd12-614edccd5569","","2caee421-e694-4c44-9c89-8e05b68dd1a6",""
"Nassau","Sold to","Jadis","a36b7a58-fd15-4692-9843-2e9ec80d5c31","","997b0f1a-3b37-4bc5-bb9e-357c0177f06d",""
"Roxburghe","Sold to","Hoe","f7d9e2b9-2afa-4074-8f16-5dd1f5f6520a","","e8835f5d-e38b-43d2-af88-286a3695aba7",""
"Corser","Sold to","Huth","6bd05b16-9d5f-4224-9c86-6d6cbef0630a","","210ab0db-f4a9-428e-b00a-35b7b0801efd",""
"Caldecott","Sold to","Britwell","3649bb47-b658-4214-9446-7e9a9aaa0e26","","1aa7e698-fed1-489f-b24f-904c80df9757",""
"Heber","Sold to","Corser","2caee421-e694-4c44-9c89-8e05b68dd1a6","","c60daf25-cd49-4c48-9084-7933c27ab9b1",""
"Corser","Sold to","Huth","c60daf25-cd49-4c48-9084-7933c27ab9b1","","ef976601-ea3a-4f1b-ad28-f5721ca3fa52",""
"Huth","Sold to","Jones","210ab0db-f4a9-428e-b00a-35b7b0801efd","","89446881-69a3-4584-ada0-a8643156eb3e",""
"Jadis","Sold to","Britwell","997b0f1a-3b37-4bc5-bb9e-357c0177f06d","","22cec86d-f4ee-47e7-83fd-53a34d66001e",""
