"source","relation","target","source_id","source_tags","target_id","target_tags"
"Locker","Sold to","Church  estate sale","37ab9d29-eda0-41f5-9741-1b024b77aa71","","fceea7d4-23a5-4083-ad6a-d8e60f8046e5",""
"Hoe","Sold to","Huntington","6e4e4fe0-d444-40cf-b496-dc4a9a9ac230","","8249b754-a655-45ee-b5cf-ba664b323a4e",""
"Jolley","Sold to","Hoe","1d6caa9a-823c-44d5-bc2d-be9861cafeaf","","3bf17b5c-1fbb-4381-a729-40ea7e2b80c3",""
"Kemble","Sold to","Devonshire","30fb91a4-53f4-4c73-bbd4-a635d8037e76","","c702bb40-3955-40a3-ade2-c34853d3a072",""
"Lefferts","Sold to","Hagen","98bc5b64-510b-45e4-92fe-7ad0e307679d","","2cdb4cd1-c6ed-49ff-8ebb-1408f3f27913",""
"Heber","Sold to","Christie-Miller","d414be76-2ac4-41bf-92a7-d33acace6036","","e8848712-da8c-4874-8696-f6308fe9d028",""
"Ouvry","Sold to","Locker","b6359d67-80ed-4646-a639-7ea5d31910bd","","37ab9d29-eda0-41f5-9741-1b024b77aa71",""
"Lefferts","Sold to","Hagen","728497eb-6729-4981-b60d-f879a709ba09","","df30344d-2e3f-40a3-9191-f292d77cd866",""
"Chalmers","Sold to","Britwell","aba8dff3-48a1-456d-a021-d678adf5f8d1","","49637a0f-77b0-4ee7-955d-274b8f6e1457",""
"Hoe","Sold to","Huntington","3bf17b5c-1fbb-4381-a729-40ea7e2b80c3","","c39bce76-ff50-495e-a669-c15e0e5968e9",""
"Kemble","Sold to","Devonshire","954c2e9f-9ab9-4812-8364-1c1ce00f0783","","ace53cfe-a4ba-44f1-8ed8-7ec6b4caafa7",""
"Hoef","Sold to","Jones","160a9cd3-231b-4d23-93e0-0265e64d73d8","","1a07020a-a11b-4279-a5a1-d8632f695986",""
"Bridgewater","Sold to","Huntington","f2ebdf18-6b26-4e0b-ab38-8450c609c025","","cc1c0d1a-8f13-47cc-91b6-73a238837b2c",""
"Devonshire","Sold to","Huntington","ace53cfe-a4ba-44f1-8ed8-7ec6b4caafa7","","efb02957-4821-4570-9d55-12fd16bb7158",""
"Church  estate sale","Sold to","Huntington","fceea7d4-23a5-4083-ad6a-d8e60f8046e5","","fb5e31b0-2730-47d9-9c40-9bb57adaf2a7",""
"Devonshire","Sold to","Huntington","c702bb40-3955-40a3-ade2-c34853d3a072","","1049d701-8783-4a63-b8c2-85747d8ce5f7",""
