"source","relation","target","source_id","source_tags","target_id","target_tags"
"Hoe","Sold to","W.K.Bixby","6c340e6b-e0fa-45a9-a697-403fb0e2401a","","9189691b-9bb3-404b-bdb1-5d131582ea06",""
"Corser","Sold to","Fountaine Walker","57c4bfc4-4fd9-4b6a-a868-ed4cf98ba364","","bb4b243e-46a0-4869-93c2-ca3ce33fee37",""
"Poor","Sold to","Huntington","a4c3f769-46af-46de-bb2f-5dd7e945fcf0","","634c1d6f-4f89-4f38-8480-061832bce398",""
"R.S.Turner","Sold to","N.Q Pope","487fb41c-ad03-4b42-9313-cb61bf63ee7a","","f0969726-fe49-42b1-bf12-d4431f0cf8f0",""
"N.Q Pope","Sold to","Hoe","f0969726-fe49-42b1-bf12-d4431f0cf8f0","","6c340e6b-e0fa-45a9-a697-403fb0e2401a",""
"Kinnear","Sold to","Lord   Brougham","9ada89e0-f3a5-426a-810b-bafa20994303","","31d6c6f1-2807-4ac2-9b0e-1a9f8bf81267",""
"J.G.Kinnearf","Sold to","Corser","a2fd4b65-a788-435f-9619-4ba0af4c76f8","","57c4bfc4-4fd9-4b6a-a868-ed4cf98ba364",""
"Lord   Brougham","Sold to","J.Fitchett 
                   Marsh","31d6c6f1-2807-4ac2-9b0e-1a9f8bf81267","","ae12b454-5366-49c2-9947-64c3ae56590e",""
"Pittar","Sold to","Clawson","ab9ad271-35a1-4710-8bb7-da7bdd26aaad","","b8a8dea7-15d0-4746-884c-39e8d65b98a5",""
"Pittar","Sold to","Clawson","a0676695-84dc-49fd-a976-8026c0ee38e8","","5ce0136d-d0b8-4dfe-97c8-171112c4a1f4",""
"Ouvry","Sold to","Poor","13372af7-9c6c-47ac-bf33-44547a4077e0","","a4c3f769-46af-46de-bb2f-5dd7e945fcf0",""
"Fountaine Walker","Sold to","Britwell","bb4b243e-46a0-4869-93c2-ca3ce33fee37","","29b1d710-6302-46fb-ba66-7094603ae6b7",""
"Jadis","Sold to","J.G.Kinnearf","a3671314-b84b-4e9e-a83c-4a28f282c393","","a2fd4b65-a788-435f-9619-4ba0af4c76f8",""
