"source","relation","target","source_id","source_tags","target_id","target_tags"
"The Kershaw","Sold to","Huth","ee6d0e71-b5df-42be-8901-5436d8cf9dcb","","c8876b12-0995-42d0-afd5-d8acb70c31c9",""
"Baron 
Bolland","Sold to","Sewall","b0abf5fe-4261-4eec-a1d6-35242c803cb7","","8b78d9d3-f465-4a53-b39a-91aad4913cec",""
"Sewall","Sold to","White","8b78d9d3-f465-4a53-b39a-91aad4913cec","","12ee244a-81ef-4053-9b40-65d1576ef624",""
"he Henry Chandos Pole Gell","Sold to","Jones","aee0343e-9efb-4fbe-8bff-b7f6fb9a9fd6","","68a01e45-a088-402e-8ac4-0b921fa30219",""
"Perkins","Sold to","Sotheby’s","5eb29f53-a51c-4ee4-acf1-9664257cafb0","","bdedfe0e-d172-473f-a10c-71e240a83806",""
"The Huth","Sold to","W.A. White","03c1fa81-4a62-410d-8b7b-e15eaab53b9b","","b7bc70cb-ab8d-4fa3-a8b5-643d04462ac5",""
"The Wolfreston","Sold to","Forman","5c531c27-0768-4493-a7a9-736f46851962","","3ddd9dc8-13c4-446d-9ee4-cb9cd62c8aa9",""
"The Hoe","Sold to","Huntington","b72ed960-97d1-436d-a2db-87760ecc62f6","","0bb6c8d2-9d1b-485d-ac1f-d4cba88dcf0c",""
"The Pembroke","Sold to","Huntington (private)","28c523fc-aade-4fd0-892c-32dd75c1ccd3","","3385643c-c551-4455-a238-835b2ca86d79",""
"British Museum","Sold to","Baron 
Bolland","d511bd3b-3879-45e9-a762-22e6e0e10d0d","","b0abf5fe-4261-4eec-a1d6-35242c803cb7",""
"The Bridgewater","Sold to","Huntington","88af7219-59cd-460d-b42a-a3b8dabe2e60","","dc8c4649-2eb6-4533-a73e-1c2aaddd8afa",""
"The Halsey","Sold to","Huntington","df869ea7-eb1d-482b-add0-04f6f56371cf","","ac3e99dc-0eca-4686-974f-c44239d5e203",""
"The Bridgewater","Sold to","Heber","df687035-f280-499e-942c-3d531a3ae33b","","983d9443-c164-4ef5-be9a-8ccdfa610265",""
"Sotheby’s","Sold to","W.A. White","bdedfe0e-d172-473f-a10c-71e240a83806","","14008454-dd78-47b5-b70a-a9aeec9c7b7a",""
"Heber","Sold to","Perkins","983d9443-c164-4ef5-be9a-8ccdfa610265","","5eb29f53-a51c-4ee4-acf1-9664257cafb0",""
