"source","relation","target","source_id","source_tags","target_id","target_tags"
"Devonshire","Sold to","Huntington","2add0fff-1a0d-4485-82b0-53fb6834e95c","","63a61781-d373-49f6-bf83-2805c6f7b40c",""
"Devonshire","Sold to","Huntington","4dd4c269-8e26-4910-a666-7ee188be5443","","0ff2ba47-c359-43fc-bd50-43ff73e6034f",""
"Kemble","Sold to","Devonshire","456aeaf4-883b-4595-bd29-6ac2845fc065","","4dd4c269-8e26-4910-a666-7ee188be5443",""
"Hoe","Sold to","Huntington","ad492ff0-9ce3-4396-9d77-290bd23f9a1e","","86452330-8ae1-48c5-b8d5-237a81228860",""
"Jadis","Sold to","Britwell","0185b95b-e5a6-4592-b05d-c9d675de920e","","68e221d9-e57e-4a4e-bf9c-cb936fd9fe15",""
"Hibbert","Sold to","Britwell","271ae0b6-e814-4729-b862-d2ac3e1c5cf2","","6f51d0d1-3da2-40ee-83b8-fe47c554dbec",""
"Hagen","Sold to","Clawson","8eb35166-b48e-460a-9763-dc83cd2ae469","","4d11e805-2fea-483b-a0ea-e548982a83da",""
"Kemble","Sold to","Devonshire","87e22f40-09a3-4e64-962f-a2485ef7b242","","2add0fff-1a0d-4485-82b0-53fb6834e95c",""
"Mostyn","Sold to","Chew","3936bbfd-2586-40f6-9d90-263d1ee3fb0c","","32628349-ac4f-451b-9d1a-cb722293c4ca",""
"Huntington","Sold to","Clawson","942f4d61-f173-44eb-be82-51c9a8548044","","0677610f-12fe-45b4-86d2-657219ee4d9b",""
"Kemble","Sold to","Devonshire","45d0259f-2307-4d56-934a-b6b70a419ce9","","6c778f75-f348-4679-9fb5-52460c47538a",""
"Devonshire","Sold to","Huntington","6c778f75-f348-4679-9fb5-52460c47538a","","63c2fbed-4e6a-46f6-95d4-174c55465be7",""
"Bridgewater","Sold to","Huntington","2009bb15-8513-49f6-aee2-b2c0b068e5b8","","942f4d61-f173-44eb-be82-51c9a8548044",""
