"source","relation","target","source_id","source_tags","target_id","target_tags"
"Heber","Sold to","Cole","09c6cc81-9061-40ef-8986-df27119aaa87","","53aeb972-f17d-4b31-9a13-b83298dcaca4",""
"Corser","Sold to","Huth","5f631fe7-2b39-4187-9a0b-4767efb36830","","f6302ae2-7048-4573-bd7b-8a87a0a0f62c",""
"Pembroke","Sold to","Huntington","c44d68d6-c6b8-48e4-88ed-f8b6d2d2b701","","95f78f85-a238-4839-acc6-35ee53be26c2",""
"Huntington","Sold to","Jones","bf2bd6c7-1b29-44e3-93e2-6812458300e9","","574b7717-d16c-4a8e-9873-5780e44ad485",""
"Shipperdson","Sold to","Chew","39d9033b-779f-4aeb-a0f9-97d334b2d03c","","8394b557-2991-4664-875f-3c4ddd1cd6b5",""
"Lefferts","Sold to","Hagen","47f8043c-5e83-4a8d-8f77-c4fcb0ece057","","6a078305-7f63-472a-8544-1bbebb2620b6",""
"Cole","Sold to","Britwell","53aeb972-f17d-4b31-9a13-b83298dcaca4","","8d49ee23-e3f5-4772-ade2-ec100bc368e0",""
"Heber","Sold to","Britwell","5026e0f9-8565-405b-b333-37fa03aeb54a","","8cd23e6b-852a-4d83-8d4a-0fdaffa1c989",""
"Heber","Sold to","Britwell","f094048f-3298-4b5d-ba0d-1455fc6532c5","","84eade51-ca29-4329-89b2-a81deb8e512e",""
"Heber","Sold to","Britwell","68051793-3638-4e25-8214-ae8c5674d9b6","","6ddad84e-cfaf-4106-98ef-77a3dfc9c8b2",""
"Chew","Sold to","Huntington","8394b557-2991-4664-875f-3c4ddd1cd6b5","","26501a28-fc00-4571-a05d-e2231d93ddab",""
"Hoe","Sold to","C.L.F.Robinson","0a9e5a8a-2c9a-4c14-8217-2bc7758138b5","","ca67f9e6-7a79-4ead-92f1-00ef0b431024",""
"Huth","Sold to","Ross Winans","f6302ae2-7048-4573-bd7b-8a87a0a0f62c","","e31edbed-c988-49a6-b93f-193da279b3c8",""
"Major Thomas Pearson","Sold to","Heber","64c272c8-60b7-4e5c-b8f2-de95c9efd3c0","","f094048f-3298-4b5d-ba0d-1455fc6532c5",""
