"source","relation","target","source_id","source_tags","target_id","target_tags"
"Roxburghe","Sold to","Heber","63f084f2-aa2c-4ef9-b1d0-b8f399d5ac7b","","28f08d1f-d8e1-4970-b966-e33ca7596d1b",""
"J[ohn?]. Baynest","Next in chain","Joseph Ritson","46601656-00ed-405a-85e2-9d1c63ff72fc","","a5069551-c037-42da-aaee-c115da893cec",""
"Lamport","Sold to","Britwell","f857d025-65e1-4372-9a34-d867fc6824ca","","c15efc90-54ba-49f3-b989-1183a6ed441e",""
"Hanmer ~ Bunbury","Sold to","Shakespeare Library","b91afa83-bd66-4119-9737-f05d1faa8a32","","6bcb46c0-df74-4d99-9209-42df759e1ad3",""
"Hibbert","Sold to","Bright","458f70e3-7567-420b-ac44-04f4e232fadb","","1bca2ca0-ad79-4258-a026-eec9c576fbc2",""
"Midgely","Sold to","Hibbert","22af2228-4990-4875-825b-9d1ca623bca9","","458f70e3-7567-420b-ac44-04f4e232fadb",""
"Steevens","Sold to","Roxburghe","2a7094ac-f598-489e-a90e-73e0fe26c532","","63f084f2-aa2c-4ef9-b1d0-b8f399d5ac7b",""
"Henry St. John Mildmay","Sold to","Clawson","66c50cf6-6bea-4665-8dee-0f52cf3eee0f","","fb231e4f-16c3-442c-98e6-3b74cfa73cce",""
"Britwell","Sold to","Clawson","1bf19f9c-8513-4d69-a993-5d84c8858426","","b507f0bd-e414-4f0d-8e26-02e71fb17385",""
"Freeling","Sold to","Britwell","3f2c7e1d-a156-47ea-91d3-d8dfb8091de7","","094316ac-4e8d-4904-8ab2-0c75f6128658",""
"Freeling","Sold to","Britwell","13da76cc-0bc3-482e-b9cc-e0696dc1f71d","","9c8becd4-dba8-4c91-98ec-9f4257e9fa38",""
"Britwell","Sold to","Clawson","9c8becd4-dba8-4c91-98ec-9f4257e9fa38","","026d6944-cee4-4c4b-a579-b1040d08576f",""
"Heber","Sold to","Freeling","28f08d1f-d8e1-4970-b966-e33ca7596d1b","","13da76cc-0bc3-482e-b9cc-e0696dc1f71d",""
"Joseph Ritson","Sold to","Hill","a5069551-c037-42da-aaee-c115da893cec","","e2973b79-12fc-437c-a32c-65a988755518",""
"Britwell","Sold to","Clawson","e2a1bc1c-9f39-46f7-9c50-ad1b5561b5ed","","9fb821b7-99b5-475b-93fd-00e0dcfa055d",""
"Mostyn","Sold to","Clawson","638dd46b-91fe-477c-8f18-8d6fe720e891","","acbca94f-f203-496f-a87f-de4ec6618eb7",""
"Luttrell","Sold to","J[ohn?]. Baynest","94e1085c-301c-4235-8c5e-cfada5420797","","46601656-00ed-405a-85e2-9d1c63ff72fc",""
"Mostyn","Sold to","Clawson","ecfd29f2-b22f-454f-ab3f-aa0ab96e4b5f","","71ff36e5-e4cf-4f07-a3cc-8c539d44e21b",""
"Britwell","Sold to","Clawson","094316ac-4e8d-4904-8ab2-0c75f6128658","","14f56b10-6422-4c93-9842-246ecbd6e83e",""
"Sykes","Sold to","Freeling","67b8b7bd-bb0d-49ee-a684-1ce98fb5eda2","","3f2c7e1d-a156-47ea-91d3-d8dfb8091de7",""
"Arbury","Sold to","G.D.Smith","f8e5bb37-62dc-4379-a8d3-47bae43d21fc","","7f45fdee-a5b7-4e6b-95a8-941d6279b6c5",""
"Utterson","Sold to","Britwell","05929569-706e-453a-a5e1-2a5d0711d227","","80cb43f4-0168-4eed-9380-1331c5e76130",""
"Bright","Sold to","Britwell","1bca2ca0-ad79-4258-a026-eec9c576fbc2","","e2a1bc1c-9f39-46f7-9c50-ad1b5561b5ed",""
"Hill","Sold to","Midgely","e2973b79-12fc-437c-a32c-65a988755518","","22af2228-4990-4875-825b-9d1ca623bca9",""
"Freeling","Sold to","Britwell","816c1b08-dd02-4c04-9da7-63a3568ac73e","","1bf19f9c-8513-4d69-a993-5d84c8858426",""
