"source","relation","target","source_id","source_tags","target_id","target_tags"
"Pickering","Sold to","Huth","ea1a13a0-bd15-4bf7-a756-4acf3d5d99c5","","0ed1b28f-3277-47f0-9c17-490f31e1e726",""
"Bridgewater","Sold to","Huntington","88a52328-311e-4001-8966-71d84d6ccabc","","945100b1-2f96-4ab3-8c1e-a2baa0ce93e9",""
"Roxburghe","Sold to","Heber","7299f99e-f684-487e-a810-8a6573a484ef","","bf3cffae-29b0-4095-9e3c-7ba4a64768e0",""
"Heber","Sold to","Britwell","d22ee298-8595-4345-94b2-8ccf06d0bfdf","","a2d517be-7896-4b39-b759-5266b512a41f",""
"Stevens","Sold to","Forster","c538992f-4ba9-4435-a22e-33185d0fc779","","41655bff-4237-4a6c-a1af-eb04b86f83ee",""
"Mallet","Sold to","Stevens","a7c3e5b0-8fa9-4449-9917-6e6e6557e161","","c538992f-4ba9-4435-a22e-33185d0fc779",""
"Hibbert","Sold to","Britwell","58ea946b-234e-4ecf-a328-81e64f154b46","","8a89aacc-7731-4c4d-8860-f797b83e9b6d",""
"M.J.Perry","Sold to","Jones","ec9c3bcf-fdd5-4964-b5b5-36dc415cd31c","","94447aff-b7d2-48d7-ac74-246bf54434f0",""
"Bridgewater","Sold to","Huntington","ae7a6ddf-9f25-491c-aea8-148656666fec","","de9fc994-0204-4b31-ab45-e69eb6308da5",""
"Browsholme","Sold to","Eshton Hall","59ea6073-c621-4010-972c-21d5798d5e75","","43708993-0082-4a56-9610-618ed0d3cf62",""
"Eshton Hall","Sold to","Huntington","43708993-0082-4a56-9610-618ed0d3cf62","","73600bb3-fad3-49af-ac6e-c0efd294d07f",""
"Huth","Sold to","Cox","0ed1b28f-3277-47f0-9c17-490f31e1e726","","06daf3fd-399a-442c-9c6d-427dec2b71bc",""
"Heber","Sold to","Britwell","bf3cffae-29b0-4095-9e3c-7ba4a64768e0","","90275fab-528e-47d5-bc2b-db6d8099c02f",""
"Mostyn","Sold to","Clawson","a190fb08-965c-4c84-8280-6823ad68a23e","","07d3f91d-f41e-4d37-b13e-27f5b159339f",""
"Forster","Sold to","Heber","41655bff-4237-4a6c-a1af-eb04b86f83ee","","d22ee298-8595-4345-94b2-8ccf06d0bfdf",""
"Jones","Sold to","Clawson","94447aff-b7d2-48d7-ac74-246bf54434f0","","157d165a-928a-42f4-be22-a1717f4bf651",""
"Huntington","Sold to","Jones","de9fc994-0204-4b31-ab45-e69eb6308da5","","71df997a-c340-4812-969e-a11ab5ba0c74",""
