"source","relation","target","source_id","source_tags","target_id","target_tags"
"Jones","Sold to","Clawson","158def3d-dad1-438d-a575-6ba3759c9149","","d9a56294-9646-4f9d-9ef5-e6edbda2f847",""
"Devonshire","Sold to","Huntington","dec0accf-9087-4bd7-b6d9-be93cfcf4dc3","","aa21c7d7-116f-4ab9-9e02-9aa14c45f5f1",""
"Kemble","Sold to","Devonshire","4858ef49-99d3-41e9-b753-80b6d7903f1e","","dec0accf-9087-4bd7-b6d9-be93cfcf4dc3",""
"Kemble","Sold to","Devonshire","ff5134ae-109c-4766-a233-fc0bafd96345","","2f0ceb86-c510-4a54-9098-652dde7ac08b",""
"Arbury","Sold to","G.D.Smith","05d9a5c8-b033-4781-9bbc-6140e79f89e0","","8d2b6c22-c61d-4089-9251-1f5622b3f089",""
"Huntington","Sold to","Jones","0e5628d6-39e9-4efc-bfa6-319208320286","","158def3d-dad1-438d-a575-6ba3759c9149",""
"Bridgewater","Sold to","Huntington","dbfe63de-f7d7-42f5-9ec1-36192f9395f8","","0e5628d6-39e9-4efc-bfa6-319208320286",""
"Wright","Sold to","Kemble","1b4f23d8-fe8d-42d4-a9f9-a625bb037089","","ff5134ae-109c-4766-a233-fc0bafd96345",""
"Devonshire","Sold to","Huntington","2f0ceb86-c510-4a54-9098-652dde7ac08b","","06f7d500-3568-4f16-9676-f31056969df5",""
"Reginald 
Cholmondeley","Sold to","W.A. White","dfefa4bc-e4ab-412a-a781-4bb96aef0ea7","","1c041c44-2235-4406-a730-d338ea659b78",""
"Mostyn","Sold to","Clawson","e9d12acc-7bcc-414e-9865-492ab07c32f2","","ad8beddb-ff30-48b5-b987-88be69f61727",""
"Kemble","Sold to","Devonshire","1b18512c-76aa-4c09-b771-fd135c378a30","","68f8fa3f-b762-4420-b0eb-7b00a3151139",""
"Wright","Sold to","Kemble","498053bb-04be-4cb1-b7cd-baf8407157a9","","4858ef49-99d3-41e9-b753-80b6d7903f1e",""
"Fowle","Sold to","Locker","f43cb1da-a90c-4634-a13b-851ea63572aa","","251d1137-6c9b-4b06-af55-05460b3a68ac",""
"Mostyn","Sold to","Clawson","a9ee33ac-a4f5-4fab-b8fd-551818afacae","","c1cfd098-d2fe-4ad0-8766-2a7e1dc5beb5",""
"Locker","Sold to","W.A.White","251d1137-6c9b-4b06-af55-05460b3a68ac","","e8e9f1af-dd7c-4a19-85f9-0b3d15eb2f38",""
"Devonshire","Sold to","Huntington","68f8fa3f-b762-4420-b0eb-7b00a3151139","","9d7479e4-a6b8-4971-9044-cb9a7a963dad",""
