"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"8f9dbcef-2b8b-43da-a6a2-8d213c86b18f","Pforzheimer Part 1_entry-403.0_325.txt","Lefferts","char-offset:920","PERSON","","","","","","","","","","",""
"7e2b5fa1-40a5-4ff5-bd9b-1e6fcf25f6fa","Pforzheimer Part 1_entry-403.0_325.txt","Lefferts (1902, Lot 461)","char-offset:920","EVENT","","","","","","","","","","",""
"9cf7dfe2-4ac5-400a-96ec-e9bb215a15fa","Pforzheimer Part 1_entry-403.0_325.txt","1902","char-offset:930","","","","","","","","","AuctionYear","","",""
"d892236e-c3d6-4d0d-b973-96e646b950ee","Pforzheimer Part 1_entry-403.0_325.txt","461","char-offset:940","","","","","","","","","Lot","","",""
"5f0aa648-73dc-43ce-8ec4-1bfed2d3b491","Pforzheimer Part 1_entry-403.0_325.txt","Hagen","char-offset:948","PERSON","","","","","","","","","","",""
"14638675-0323-4b98-b531-7d7219d18419","Pforzheimer Part 1_entry-403.0_325.txt","Hagen (1918, Lot 406)","char-offset:948","EVENT","","","","","","","","","","",""
"9fbc2a59-b43c-4443-bdd5-a79a562e04b8","Pforzheimer Part 1_entry-403.0_325.txt","1918","char-offset:955","","","","","","","","","AuctionYear","","",""
"ec193c5a-2462-4d2a-b721-6ebe84b2f32d","Pforzheimer Part 1_entry-403.0_325.txt","406","char-offset:965","","","","","","","","","Lot","","",""
"5e4ca340-6ddb-449b-8960-4217656b0f09","Pforzheimer Part 1_entry-404.0_327.txt","The Lefferts (1902, Lot 464)","char-offset:637","EVENT","","","","","","","","","","",""
"01dd49fb-3a08-4da3-aaf5-2c5981d50ceb","Pforzheimer Part 1_entry-404.0_327.txt","Lefferts","char-offset:641","PERSON","","","","","","","","","","",""
"7bdef405-c3c9-4d5f-a619-08bf14c675e6","Pforzheimer Part 1_entry-404.0_327.txt","1902","char-offset:651","","","","","","","","","AuctionYear","","",""
"85097d0b-24d1-417e-beea-fa3495007c2b","Pforzheimer Part 1_entry-404.0_327.txt","464","char-offset:661","","","","","","","","","Lot","","",""
"b22241f6-add3-459e-900d-8db8e5133fea","Pforzheimer Part 1_entry-404.0_327.txt","Hagen","char-offset:668","PERSON","","","","","","","","","","",""
"a214f63e-f847-44d1-b7ee-b07cda6074ec","Pforzheimer Part 1_entry-404.0_327.txt","Hagen (1918,  Lot 441)","char-offset:668","EVENT","","","","","","","","","","",""
"d573bcad-caea-4d0e-b23b-526a73cd3e3c","Pforzheimer Part 1_entry-404.0_327.txt","1918","char-offset:675","","","","","","","","","AuctionYear","","",""
"3f088e37-49ab-4c6b-a67d-338b5bfa663b","Pforzheimer Part 1_entry-404.0_327.txt","441","char-offset:686","","","","","","","","","Lot","","",""
"b77b9d33-0e84-4a16-b134-2ec9d6227dec","Pforzheimer Part 1_entry-406.0_329.txt","Halliwell Phillipps","char-offset:883","PERSON","","","","","","","","","","",""
"0b5ec1b5-0a76-40e5-9bae-309384470d55","Pforzheimer Part 1_entry-406.0_329.txt","Halliwell Phillipps (1889, Lot 875)","char-offset:883","EVENT","","","","","","","","","","",""
"635f37da-9b04-41d2-9a3d-7c5e3a50c92c","Pforzheimer Part 1_entry-406.0_329.txt","1889","char-offset:904","","","","","","","","","AuctionYear","","",""
"d58cbeda-da26-4b23-9761-9228b836c43b","Pforzheimer Part 1_entry-406.0_329.txt","875","char-offset:914","","","","","","","","","Lot","","",""
"9ad2e566-fd8e-4987-805a-e1943c83bbcd","Pforzheimer Part 1_entry-406.0_329.txt","Hagen (1918, Lot  420)","char-offset:920","EVENT","","","","","","","","","","",""
"ff5040b0-699e-4141-b9fe-60e59e80a338","Pforzheimer Part 1_entry-406.0_329.txt","Hagen","char-offset:920","PERSON","","","","","","","","","","",""
"fdd3444b-2e1d-4d6c-9c35-3628b22d73eb","Pforzheimer Part 1_entry-406.0_329.txt","1918","char-offset:927","","","","","","","","","AuctionYear","","",""
"49e249bc-8780-467c-9b45-f1e30be44fc1","Pforzheimer Part 1_entry-406.0_329.txt","420","char-offset:938","","","","","","","","","Lot","","",""
"0ef67fc0-9909-4537-949e-1c9852e93caa","Pforzheimer Part 1_entry-397.0_320.txt","Halsey (1919, Lot 379)","char-offset:634","EVENT","","","","","","","","","","",""
"4215124b-b117-4444-96a6-76f43c5f16ef","Pforzheimer Part 1_entry-397.0_320.txt","Halsey","char-offset:634","PERSON","","","","","","","","","","",""
"48f12eca-98dc-4c41-9596-4a60b5e06ff4","Pforzheimer Part 1_entry-397.0_320.txt","1919","char-offset:642","","","","","","","","","AuctionYear","","",""
"a2cbaabf-4fd8-44a0-af9b-aaf018e885cb","Pforzheimer Part 1_entry-397.0_320.txt","379","char-offset:652","","","","","","","","","Lot","","",""
"a497ebd4-c819-4b83-b923-87462a92e9fd","Pforzheimer Part 1_entry-394.0_316.txt","Lefferts (1902, Lot 448)","char-offset:1323","EVENT","","","","","","","","","","",""
"73ad5306-f97b-47bb-9986-e16a3a109fbe","Pforzheimer Part 1_entry-394.0_316.txt","Lefferts","char-offset:1323","PERSON","","","","","","","","","","",""
"3ae7db66-db81-49bb-9fb3-acdd3938be46","Pforzheimer Part 1_entry-394.0_316.txt","1902","char-offset:1333","","","","","","","","","AuctionYear","","",""
"0548f7ff-9aa8-4afa-87c7-978c5e090721","Pforzheimer Part 1_entry-394.0_316.txt","448","char-offset:1343","","","","","","","","","Lot","","",""
"e2284937-2500-42d9-8514-dc3790cdbc7c","Pforzheimer Part 1_entry-394.0_316.txt","Hagen","char-offset:1351","PERSON","","","","","","","","","","",""
"5e63a52a-123a-42a3-ad82-7547f5bcd8a3","Pforzheimer Part 1_entry-394.0_316.txt","Hagen (1918, Lot 400)","char-offset:1351","EVENT","","","","","","","","","","",""
"a22ccff8-677d-49cb-8e0f-cdb59092ef5d","Pforzheimer Part 1_entry-394.0_316.txt","1918","char-offset:1358","","","","","","","","","AuctionYear","","",""
"a489944c-569a-4eec-87e1-30c5f5398756","Pforzheimer Part 1_entry-394.0_316.txt","400","char-offset:1368","","","","","","","","","Lot","","",""
"e55b6d66-8753-4a26-a1f0-c5bdbc3f2dfd","Pforzheimer Part 1_entry-396.5_319.txt","Lefferts","char-offset:925","PERSON","","","","","","","","","","",""
"85e496ea-ae6d-4439-b48a-a08d21362cd7","Pforzheimer Part 1_entry-396.5_319.txt","Lefferts (1902, Lot 450)","char-offset:925","EVENT","","","","","","","","","","",""
