"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"10b4733b-52cc-49d2-96f8-cc42383cef9c","Pforzheimer Part 1_entry-356.0_285.txt","Hagen","char-offset:1509","PERSON","","","","","","","","","","",""
"9619db13-a56f-456b-bfcb-1eaa4a398410","Pforzheimer Part 1_entry-356.0_285.txt","Hagen  (1918, Lot 335)","char-offset:1509","EVENT","","","","","","","","","","",""
"a51598f9-993b-4f7d-8507-ecb03d0a8960","Pforzheimer Part 1_entry-356.0_285.txt","1918","char-offset:1517","","","","","","","","","AuctionYear","","",""
"c5710f80-a7eb-48c0-8266-e697353cf239","Pforzheimer Part 1_entry-356.0_285.txt","335","char-offset:1527","","","","","","","","","Lot","","",""
"cb67f94f-f53b-414d-9c2c-e837c354ced0","Pforzheimer Part 1_entry-359.0_288.txt","Hoe (III, 1912, Lot 870)","char-offset:1113","EVENT","","","","","","","","","","",""
"064407b5-1aec-49d4-b390-75169a83f380","Pforzheimer Part 1_entry-359.0_288.txt","Hoe","char-offset:1113","PERSON","","","","","","","","","","",""
"a158f258-1fbd-4857-8bb3-80875794566a","Pforzheimer Part 1_entry-359.0_288.txt","1912","char-offset:1123","","","","","","","","","AuctionYear","","",""
"d5364b0d-a461-4838-b0f5-30f3f4691c43","Pforzheimer Part 1_entry-359.0_288.txt","870","char-offset:1133","","","","","","","","","Lot","","",""
"83aecab3-0d94-45a0-90c6-f498530f8136","Pforzheimer Part 1_entry-359.0_288.txt","Huntington","char-offset:1141","PERSON","","","","","","","","","","",""
"b9f95048-6ded-4787-a6c0-8ec71582754b","Pforzheimer Part 1_entry-359.0_288.txt","Huntington (VII, 1918, Lot 220)","char-offset:1141","EVENT","","","","","","","","","","",""
"ebfed1e2-272c-4442-a884-8a0070b1c21f","Pforzheimer Part 1_entry-359.0_288.txt","1918","char-offset:1158","","","","","","","","","AuctionYear","","",""
"c230ebe0-a25d-4eb9-9b02-012d13876ed1","Pforzheimer Part 1_entry-359.0_288.txt","220","char-offset:1168","","","","","","","","","Lot","","",""
"d718f5fc-571c-40fd-bfa3-97f3000cf1f4","Pforzheimer Part 1_entry-352.0_280.txt","Heber (XII, 1836,  Lot 376)","char-offset:1082","EVENT","","","","","","","","","","",""
"bfd5ed90-52c8-4885-86ab-640430f62e5d","Pforzheimer Part 1_entry-352.0_280.txt","Heber","char-offset:1082","PERSON","","","","","","","","","","",""
"d8ceabad-c428-4e76-8316-2cd5e4aafde2","Pforzheimer Part 1_entry-352.0_280.txt","1836","char-offset:1094","","","","","","","","","AuctionYear","","",""
"7c39b4a0-e053-48ae-9232-c7e9edb3601f","Pforzheimer Part 1_entry-352.0_280.txt","376","char-offset:1105","","","","","","","","","Lot","","",""
"2fd60424-83cd-435e-a63b-a74ce8109cb5","Pforzheimer Part 1_entry-352.0_280.txt","Britwell","char-offset:1112","PERSON","","","","","","","","","","",""
"d1007ffa-159a-4fec-82ef-b32b7c62eb79","Pforzheimer Part 1_entry-352.0_280.txt","Britwell (1922, Lot 224)","char-offset:1112","EVENT","","","","","","","","","","",""
"9c26affa-5134-4514-8f3c-9ff40507da7d","Pforzheimer Part 1_entry-352.0_280.txt","1922","char-offset:1122","","","","","","","","","AuctionYear","","",""
"0c1fee47-08b6-43dc-bfd9-4d9df5e9cab3","Pforzheimer Part 1_entry-352.0_280.txt","224","char-offset:1132","","","","","","","","","Lot","","",""
"334635c7-bb24-49e3-ae93-0e4d58c61610","Pforzheimer Part 1_entry-352.0_280.txt","Clawson (I, 1926, Lot 233)","char-offset:1137","EVENT","","","","","","","","","","",""
"25474604-8164-4ed0-9a83-b43d2b831bff","Pforzheimer Part 1_entry-352.0_280.txt","Clawson","char-offset:1137","PERSON","","","","","","","","","","",""
"fbda4040-f4e2-4daf-ba1f-6b376bfdf51d","Pforzheimer Part 1_entry-352.0_280.txt","1926","char-offset:1149","","","","","","","","","AuctionYear","","",""
"cbc167cb-b13e-42c5-9646-69f722a8257c","Pforzheimer Part 1_entry-352.0_280.txt","233","char-offset:1159","","","","","","","","","Lot","","",""
"afbe9504-1889-47b0-9f98-dcd587a3e161","Pforzheimer Part 1_entry-348.0_276.txt","Hoe (III, 1912, Lot 854)","char-offset:502","EVENT","","","","","","","","","","",""
"cc911c4a-6786-4d8d-8f15-2ed72ceec260","Pforzheimer Part 1_entry-348.0_276.txt","Hoe","char-offset:502","PERSON","","","","","","","","","","",""
"7e25f826-0523-40eb-bf48-0f1758954599","Pforzheimer Part 1_entry-348.0_276.txt","1912","char-offset:512","","","","","","","","","AuctionYear","","",""
"6c0f4d35-c1c9-4400-b44e-4f3c1736d826","Pforzheimer Part 1_entry-348.0_276.txt","854","char-offset:522","","","","","","","","","Lot","","",""
"2374daf2-cea0-4adf-8983-418f017e6bc1","Pforzheimer Part 1_entry-348.0_276.txt","Huntington","char-offset:530","PERSON","","","","","","","","","","",""
"068057ce-bfe4-45ee-96a7-826a23690f12","Pforzheimer Part 1_entry-348.0_276.txt","Huntington (V, 1917, Lot 147)","char-offset:530","EVENT","","","","","","","","","","",""
"680604f7-b041-47f2-bd60-ebfeb2bb3a03","Pforzheimer Part 1_entry-348.0_276.txt","1917","char-offset:545","","","","","","","","","AuctionYear","","",""
"e9b70eee-00b9-42a4-b820-2f40ea019b96","Pforzheimer Part 1_entry-348.0_276.txt","147","char-offset:555","","","","","","","","","Lot","","",""
"87fa4111-02cc-44a4-bf80-a6e44f7e578f","Pforzheimer Part 1_entry-348.0_276.txt","Jones (I, 1918, Lot 471)","char-offset:561","EVENT","","","","","","","","","","",""
"6f163eb5-da7c-4c65-9dd4-88c7d19206c8","Pforzheimer Part 1_entry-348.0_276.txt","Jones","char-offset:561","PERSON","","","","","","","","","","",""
"c804e4bb-0410-49c1-b6bf-38c47c8bffe6","Pforzheimer Part 1_entry-348.0_276.txt","1918","char-offset:571","","","","","","","","","AuctionYear","","",""
"8a591a59-8cd3-4e8e-a32d-fef2cf30bd22","Pforzheimer Part 1_entry-348.0_276.txt","471","char-offset:581","","","","","","","","","Lot","","",""
"69225a0f-7ad7-4670-8a8a-1b0af54cbf3c","Pforzheimer Part 1_entry-353.5_282.txt","Kemble","char-offset:821","PERSON","","","","","","","","","","",""
"0148880e-105b-461c-9358-d8d17fde640c","Pforzheimer Part 1_entry-353.5_282.txt","Kemble  (1798)","char-offset:821","EVENT","","","","","","","","","","",""
"6669ef1c-cb1f-486e-ae60-5c0eb71c001f","Pforzheimer Part 1_entry-353.5_282.txt","1798","char-offset:830","","","","","","","","","AuctionYear","","",""
