"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"44621803-d97e-421b-af9d-574102cbb8f7","Pforzheimer Part 1_entry-461.0_385.txt","Lamport Hall","char-offset:983","EVENT","","","","","","","","","","",""
"f0f4cf05-766b-4e8a-a6b0-29f61de7552f","Pforzheimer Part 1_entry-461.0_385.txt","Britwell (1923, Lot 295)","char-offset:996","EVENT","","","","","","","","","","",""
"65f3b5d8-ae33-4d13-89fe-4a06bf18d547","Pforzheimer Part 1_entry-461.0_385.txt","Britwell","char-offset:996","PERSON","","","","","","","","","","",""
"6bf294e9-a2d6-4f60-ace5-0cd2ee0e2cc2","Pforzheimer Part 1_entry-461.0_385.txt","1923","char-offset:1006","","","","","","","","","AuctionYear","","",""
"79f3144e-2dde-46d6-bf1b-ca45e72ac291","Pforzheimer Part 1_entry-461.0_385.txt","295","char-offset:1016","","","","","","","","","Lot","","",""
"c07160c9-3bd5-4753-b81b-62655bbd3d5c","Pforzheimer Part 1_entry-459.0_384.txt","Huth (III, 1913, Lot 3022)","char-offset:3143","EVENT","","","","","","","","","","",""
"5dd2ebc3-c805-44bb-962a-6e8b94d654a0","Pforzheimer Part 1_entry-459.0_384.txt","Huth","char-offset:3143","PERSON","","","","","","","","","","",""
"59efc21c-9418-4663-8f93-49b015957e2e","Pforzheimer Part 1_entry-459.0_384.txt","1913","char-offset:3154","","","","","","","","","AuctionYear","","",""
"1af36c9c-2fca-4df0-8adc-687adb094896","Pforzheimer Part 1_entry-459.0_384.txt","3022","char-offset:3164","","","","","","","","","Lot","","",""
"807f124d-e0ec-4fe7-bf97-2ab0ce2b8d07","Pforzheimer Part 1_entry-459.0_384.txt","C.L.F.  Robinson (1917, Lot 261)","char-offset:3170","EVENT","","","","","","","","","","",""
"6e8634f8-d632-462a-962f-cfb78b880b74","Pforzheimer Part 1_entry-459.0_384.txt","C.L.F.  Robinson","char-offset:3170","PERSON","","","","","","","","","","",""
"8cca8f5e-36ef-4d9c-b0de-79fb07e03f9b","Pforzheimer Part 1_entry-459.0_384.txt","1917","char-offset:3188","","","","","","","","","AuctionYear","","",""
"934e5328-f2df-4c47-b10b-254c32e376b7","Pforzheimer Part 1_entry-459.0_384.txt","261","char-offset:3198","","","","","","","","","Lot","","",""
"46082923-efd2-4a56-b02e-c7c838b8430f","Pforzheimer Part 1_entry-462.0_386.txt","Steevens  (1800, Lot 861)","char-offset:1111","EVENT","","","","","","","","","","",""
"63903ae0-1882-4ba9-99e5-369804928e3a","Pforzheimer Part 1_entry-462.0_386.txt","Steevens","char-offset:1111","PERSON","","","","","","","","","","",""
"0421180e-d301-4f2d-aaad-bd5f87371975","Pforzheimer Part 1_entry-462.0_386.txt","1800","char-offset:1122","","","","","","","","","AuctionYear","","",""
"8091bac4-a50e-4270-8d1c-e6bef5f59142","Pforzheimer Part 1_entry-462.0_386.txt","861","char-offset:1132","","","","","","","","","Lot","","",""
"bf37fa50-2e06-4eb3-9bc7-39d62d6bbe93","Pforzheimer Part 1_entry-462.0_386.txt","Crawford (1891, Lot 1277)","char-offset:1139","EVENT","","","","","","","","","","",""
"8f04219e-1f85-4604-b323-8d4c556eaab4","Pforzheimer Part 1_entry-462.0_386.txt","Crawford","char-offset:1139","PERSON","","","","","","","","","","",""
"19590c77-5bc8-478f-b038-093306912cef","Pforzheimer Part 1_entry-462.0_386.txt","1891","char-offset:1149","","","","","","","","","AuctionYear","","",""
"2bf32f32-53ce-418c-ab4f-950d26731714","Pforzheimer Part 1_entry-462.0_386.txt","1277","char-offset:1159","","","","","","","","","Lot","","",""
"0d07ab35-dab0-40b7-8083-e09207540cff","Pforzheimer Part 1_entry-462.0_386.txt","White","char-offset:1167","PERSON","","","","","","","","","","",""
