"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"55bfe290-5d2d-4701-9177-e0e11fe428c0","Pforzheimer Part 3_entry-309.0_1074.txt","Mostyn","char-offset:536","PERSON","","","","","","","","","","",""
"cf68c0d0-8205-4995-a7d7-d4c580d3671f","Pforzheimer Part 3_entry-309.0_1074.txt","Mostyn (1919, Lot 356)","char-offset:536","EVENT","","","","","","","","","","",""
"2388bd2d-c019-4808-bafc-1f7dbc9e6c7a","Pforzheimer Part 3_entry-309.0_1074.txt","1919","char-offset:544","","","","","","","","","AuctionYear","","",""
"b9924d64-0b52-4d1d-b4f3-5942f9dd5830","Pforzheimer Part 3_entry-309.0_1074.txt","356","char-offset:554","","","","","","","","","Lot","","",""
"d5634c7e-0bb9-478c-80dd-e78e574c5c08","Pforzheimer Part 3_entry-309.0_1074.txt","Clawson","char-offset:561","PERSON","","","","","","","","","","",""
"bd741879-52ef-4863-85f9-5bd82cc0640b","Pforzheimer Part 3_entry-309.0_1074.txt","Clawson                  (II, 1926, Lot 899)","char-offset:561","EVENT","","","","","","","","","","",""
"b20300de-cf02-4bad-a76a-b84c702f50d2","Pforzheimer Part 3_entry-309.0_1074.txt","1926","char-offset:591","","","","","","","","","AuctionYear","","",""
"de478189-016b-4dd4-9d2f-aa58e471baa4","Pforzheimer Part 3_entry-309.0_1074.txt","899","char-offset:601","","","","","","","","","Lot","","",""
"8f210941-8a01-46ee-ad0e-77f50faf1e04","Pforzheimer Part 3_entry-311.0_1077.txt","Huth  (VII, 1918, Lot                              6929)","char-offset:1317","EVENT","","","","","","","","","","",""
"348afae7-5870-48e9-8ff8-bd5c5b4d0821","Pforzheimer Part 3_entry-311.0_1077.txt","Huth","char-offset:1317","PERSON","","","","","","","","","","",""
"0f66f4c5-48a0-4bb5-9e23-03ea5c366619","Pforzheimer Part 3_entry-311.0_1077.txt","1918","char-offset:1329","","","","","","","","","AuctionYear","","",""
"ef691bb0-0081-4d57-b180-3f58ffbedb11","Pforzheimer Part 3_entry-311.0_1077.txt","6929","char-offset:1368","","","","","","","","","Lot","","",""
"140d3256-5c0e-4a14-9c68-1095523ff6a2","Pforzheimer Part 3_entry-310.0_1075.txt","Roxburghe (1812, Lot                                677)","char-offset:1376","EVENT","","","","","","","","","","",""
"dcfdb77e-6438-453a-bbb6-6c791c4cd10d","Pforzheimer Part 3_entry-310.0_1075.txt","Roxburghe","char-offset:1376","PERSON","","","","","","","","","","",""
"c793b533-8a08-4662-b4ed-370778529bbf","Pforzheimer Part 3_entry-310.0_1075.txt","1812","char-offset:1387","","","","","","","","","AuctionYear","","",""
