"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"4b91745a-6996-447c-a67c-d58d389ad40b","Pforzheimer Part 1_entry-264.0_204.txt","The Bindley","char-offset:3397","PERSON","","","","","","","","","","",""
"6d6e1f57-1a80-4fb9-a778-dd671d9af4b7","Pforzheimer Part 1_entry-264.0_204.txt","The Bindley  (II, 1819, Lot 1624)","char-offset:3397","EVENT","","","","","","","","","","",""
"d7d5f277-3964-4a1c-8d66-27ec7a512528","Pforzheimer Part 1_entry-264.0_204.txt","1819","char-offset:3415","","","","","","","","","AuctionYear","","",""
"1c46bbcb-61cb-44df-93c5-6b10ea38d10a","Pforzheimer Part 1_entry-264.0_204.txt","1624","char-offset:3425","","","","","","","","","Lot","","",""
"03a66809-8929-4889-9f81-013e992ca717","Pforzheimer Part 1_entry-264.0_204.txt","Bright (I, 1845, Lot 2442)","char-offset:3433","EVENT","","","","","","","","","","",""
"4966787c-df9e-407f-8c5f-ddd0ec4f8fa8","Pforzheimer Part 1_entry-264.0_204.txt","Bright","char-offset:3433","PERSON","","","","","","","","","","",""
"19e9a973-cbf3-496c-b525-b540c92b4738","Pforzheimer Part 1_entry-264.0_204.txt","1845","char-offset:3444","","","","","","","","","AuctionYear","","",""
"0573d425-6821-440b-8943-c12cb93733e8","Pforzheimer Part 1_entry-264.0_204.txt","2442","char-offset:3454","","","","","","","","","Lot","","",""
"38e93282-0b9c-4eb8-8adf-ca61d1dd003b","Pforzheimer Part 1_entry-263.0_203.txt","The Hoe","char-offset:811","PERSON","","","","","","","","","","",""
"e2511554-0b0c-40e3-88c7-47570da92597","Pforzheimer Part 1_entry-263.0_203.txt","The Hoe (IV, 1912, Lot 777)","char-offset:811","EVENT","","","","","","","","","","",""
"5e0e96df-3541-4b2c-bfb5-274619fd8413","Pforzheimer Part 1_entry-263.0_203.txt","1912","char-offset:824","","","","","","","","","AuctionYear","","",""
"186a06c7-0488-4767-83b3-f5e028caeb32","Pforzheimer Part 1_entry-263.0_203.txt","777","char-offset:834","","","","","","","","","Lot","","",""
"f8f95f9f-ec89-499c-b390-a1ff10df8b00","Pforzheimer Part 1_entry-247.0_191.txt","The Emmett","char-offset:924","PERSON","","","","","","","","","","",""
"59d64e63-fccf-4807-8a56-8d0abbc76f67","Pforzheimer Part 1_entry-247.0_191.txt","The Emmett (1918, Lot 201)","char-offset:924","EVENT","","","","","","","","","","",""
"54ef439a-edb4-4b51-b17f-c25258da27b5","Pforzheimer Part 1_entry-247.0_191.txt","1918","char-offset:936","","","","","","","","","AuctionYear","","",""
"9947612a-9707-45e0-8589-e1c3eb7fdfbd","Pforzheimer Part 1_entry-247.0_191.txt","201","char-offset:946","","","","","","","","","Lot","","",""
"510ee322-3769-446a-a32e-4e8979a2393d","Pforzheimer Part 1_entry-255.0_198.txt","The Hoe","char-offset:636","PERSON","","","","","","","","","","",""
"2750f405-1a14-460d-b4fc-12e6fa03825c","Pforzheimer Part 1_entry-255.0_198.txt","The Hoe (IV, 1912, Lot 774)","char-offset:636","EVENT","","","","","","","","","","",""
"706f8cb6-7bd8-417b-8509-3534ef78f05a","Pforzheimer Part 1_entry-255.0_198.txt","1912","char-offset:649","","","","","","","","","AuctionYear","","",""
"1a9ccb17-3ada-4c06-bdf1-e43540aa32c1","Pforzheimer Part 1_entry-255.0_198.txt","774","char-offset:659","","","","","","","","","Lot","","",""
"61971d23-5b6e-47dc-bdb7-429d1a1be9e2","Pforzheimer Part 1_entry-252.0_194.txt","The Hagen","char-offset:774","PERSON","","","","","","","","","","",""
"67109c63-112e-44f2-8f8b-f8a0822cc39b","Pforzheimer Part 1_entry-252.0_194.txt","The Hagen (1918, Lot 273)","char-offset:774","EVENT","","","","","","","","","","",""
