"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"aae0ab06-fd07-47f8-a749-72dba45ade60","Pforzheimer Part 1_entry-432.0_359.txt","Tite (1874, Lot 1028)","char-offset:872","EVENT","","","","","","","","","","",""
"8b4d57ee-d9f5-43d9-b5bd-544df8bb8e72","Pforzheimer Part 1_entry-432.0_359.txt","Tite","char-offset:872","PERSON","","","","","","","","","","",""
"ceb41754-08e5-434c-811e-c7303c4a8ea0","Pforzheimer Part 1_entry-432.0_359.txt","1874","char-offset:878","","","","","","","","","AuctionYear","","",""
"48a86b6d-e3ff-475f-9e29-44d4eaf89bd5","Pforzheimer Part 1_entry-432.0_359.txt","1028","char-offset:888","","","","","","","","","Lot","","",""
"6c1228b1-f050-44fa-b85e-b06823b464df","Pforzheimer Part 1_entry-432.0_359.txt","Lefferts (1902, Lot 546)","char-offset:895","EVENT","","","","","","","","","","",""
"2660b794-69e8-4959-8220-46f3e5cfecf3","Pforzheimer Part 1_entry-432.0_359.txt","Lefferts","char-offset:895","PERSON","","","","","","","","","","",""
"a64e9a37-cb99-4269-b5c1-4bcaa59697f6","Pforzheimer Part 1_entry-432.0_359.txt","1902","char-offset:905","","","","","","","","","AuctionYear","","",""
"712546e7-1c80-495a-a083-67fffd53f043","Pforzheimer Part 1_entry-432.0_359.txt","546","char-offset:915","","","","","","","","","Lot","","",""
"b09ff498-1f96-4ab7-b2e6-ac25b4eed09c","Pforzheimer Part 1_entry-432.0_359.txt","Hagen (1918, Lot 487)","char-offset:922","EVENT","","","","","","","","","","",""
"2f8f399d-5172-4af3-baf5-613b96d4baca","Pforzheimer Part 1_entry-432.0_359.txt","Hagen","char-offset:922","PERSON","","","","","","","","","","",""
"fc3ef0bf-2898-4f8c-b4ac-365dda2b1b3f","Pforzheimer Part 1_entry-432.0_359.txt","1918","char-offset:929","","","","","","","","","AuctionYear","","",""
"785bafc7-8754-4f92-967b-c2a7f14497f5","Pforzheimer Part 1_entry-432.0_359.txt","487","char-offset:939","","","","","","","","","Lot","","",""
"4e5ffa06-e725-4449-9e4f-fd9fc7b4804d","Pforzheimer Part 1_entry-431.0_358.txt","Hagen (1918, Lot 9)","char-offset:1351","EVENT","","","","","","","","","","",""
"f37a9182-6c62-44b6-a545-f1086f882e35","Pforzheimer Part 1_entry-431.0_358.txt","Hagen","char-offset:1351","PERSON","","","","","","","","","","",""
"d29ecd23-8069-4b40-ac27-6e02f33a5133","Pforzheimer Part 1_entry-431.0_358.txt","1918","char-offset:1358","","","","","","","","","AuctionYear","","",""
"10ecaa0f-40a6-4692-b2b9-7e0aaadc548c","Pforzheimer Part 1_entry-431.0_358.txt","9","char-offset:1368","","","","","","","","","Lot","","",""
"8c163739-ff80-453a-9bbf-678e3aac0f71","Pforzheimer Part 1_entry-430.0_357.txt","Arbury  Library","char-offset:814","PERSON","","","","","","","","","","",""
"9ce604d2-5729-4f91-8358-4504d14a5979","Pforzheimer Part 1_entry-430.0_357.txt","Arbury  Library (1920, Lot 100)","char-offset:814","EVENT","","","","","","","","","","",""
"cfba6e04-f09e-4107-b841-316a80119e7c","Pforzheimer Part 1_entry-430.0_357.txt","1920","char-offset:831","","","","","","","","","AuctionYear","","",""
"135f2272-982c-456b-86fa-cc9623c65650","Pforzheimer Part 1_entry-430.0_357.txt","100","char-offset:841","","","","","","","","","Lot","","",""
"7fcf366d-03ba-4425-84a7-9c6e18f6dcaa","Pforzheimer Part 1_entry-430.0_357.txt","G.D.Smith","char-offset:846","PERSON","","","","","","","","","","",""
"b5357b26-93af-4cfb-82fc-1fba1affad61","Pforzheimer Part 1_entry-430.0_357.txt","G.D.Smith (II, 1920, Lot 33)","char-offset:846","EVENT","","","","","","","","","","",""
"baadd5b9-b60a-4470-9865-80f140e7d07d","Pforzheimer Part 1_entry-430.0_357.txt","1920","char-offset:861","","","","","","","","","AuctionYear","","",""
"53609ae8-e572-46f9-983e-699a5f01eaea","Pforzheimer Part 1_entry-430.0_357.txt","33","char-offset:871","","","","","","","","","Lot","","",""
"4a1b051a-9db2-4f55-a9be-0d7c43cee674","Pforzheimer Part 1_entry-429.0_356.txt","Shakespeare Library Sale","char-offset:884","PERSON","","","","","","","","","","",""
"b68c2692-a269-43be-a0cb-5edb3095563e","Pforzheimer Part 1_entry-429.0_356.txt","Shakespeare Library Sale, II, 1918, Lot 464.","char-offset:884","EVENT","","","","","","","","","","",""
"dd097e16-e8ee-4476-b9d1-6271ff50acc5","Pforzheimer Part 1_entry-429.0_356.txt","1918","char-offset:914","","","","","","","","","AuctionYear","","",""
"a44d9c57-7f9b-4c4f-b186-d592dc0b2eb6","Pforzheimer Part 1_entry-429.0_356.txt","464","char-offset:924","","","","","","","","","Lot","","",""
"b0ed7560-ec4a-4b7a-bdfd-15828de39b6d","Pforzheimer Part 1_entry-421.5_345.txt","For binding and provenance, see Lacrymae Cantabrigiensis.","char-offset:810","EVENT","","","","","","","","","","",""
"2823f40a-720c-4055-a043-d0abec563017","Pforzheimer Part 1_entry-422.0_346.txt","Sydney Herbert","char-offset:879","PERSON","","","","","","","","","","",""
"3398432c-7076-4126-bd37-85cd2a5b8017","Pforzheimer Part 1_entry-422.0_346.txt","Sydney Herbert (1916, Lot 352).","char-offset:879","EVENT","","","","","","","","","","",""
"5f16f67e-17fa-4f26-91b4-594c8e114cc6","Pforzheimer Part 1_entry-422.0_346.txt","1916","char-offset:895","","","","","","","","","AuctionYear","","",""
"14d668c0-aca7-45ec-bc84-d60b0854b555","Pforzheimer Part 1_entry-422.0_346.txt","352","char-offset:905","","","","","","","","","Lot","","",""
"c2153676-7601-4f00-9be4-1cc084670ac0","Pforzheimer Part 1_entry-423.5_348.txt","Huth (II, 1912, Lot 2567)","char-offset:603","EVENT","","","","","","","","","","",""
"70419d87-db91-4843-9e8b-cd6af742927d","Pforzheimer Part 1_entry-423.5_348.txt","Huth","char-offset:603","PERSON","","","","","","","","","","",""
"ed341dc2-bb98-48a9-a266-dd7b5c8c8893","Pforzheimer Part 1_entry-423.5_348.txt","1912","char-offset:613","","","","","","","","","AuctionYear","","",""
"0d5aa3f0-d8c7-4ecb-b5d8-14435951c04b","Pforzheimer Part 1_entry-423.5_348.txt","2567","char-offset:623","","","","","","","","","Lot","","",""
"8e3f4300-e5c2-4739-8029-142278ba9c3e","Pforzheimer Part 1_entry-423.5_348.txt","Jones (1916,  Lot 192)","char-offset:631","EVENT","","","","","","","","","","",""
"1dd520f8-9d1e-4470-9061-4c7bd5320610","Pforzheimer Part 1_entry-423.5_348.txt","Jones","char-offset:631","PERSON","","","","","","","","","","",""
"fa1891e3-2898-4c6d-a9bb-7175984e871c","Pforzheimer Part 1_entry-423.5_348.txt","1916","char-offset:638","","","","","","","","","AuctionYear","","",""
"cf658720-a939-4cb2-b4b0-f345859b4e79","Pforzheimer Part 1_entry-423.5_348.txt","192","char-offset:649","","","","","","","","","Lot","","",""
"f45ce406-03db-4034-aa50-64b37c703abd","Pforzheimer Part 1_entry-424.0_349.txt","Sydney Herbert","char-offset:846","PERSON","","","","","","","","","","",""
"1e51d840-42f7-4947-ae6c-fa25990581a0","Pforzheimer Part 1_entry-424.0_349.txt","Sydney Herbert library (1916, Lot 351).","char-offset:846","EVENT","","","","","","","","","","",""
