"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"246ab5fb-a315-4777-b553-5419ee8c60f6","Pforzheimer Part 3_entry-482.0_MS.137.txt","Leeds Papers","char-offset:277","EVENT","","","","","","","","","","",""
"1f0e6b11-1ae1-495c-af65-c6beb0ba9d96","Pforzheimer Part 3_entry-482.0_MS.137.txt","Alfred  Morrison","char-offset:291","PERSON","","","","","","","","","","",""
"bd3fe446-3d7f-4c27-922a-0afce9c71c13","Pforzheimer Part 3_entry-482.0_MS.137.txt","Alfred  Morrison  (IV, 1919, Lot 2814).","char-offset:291","EVENT","","","","","","","","","","",""
"1b1ad93b-0841-48bc-9cd1-f7a2d146f7ba","Pforzheimer Part 3_entry-482.0_MS.137.txt","1919","char-offset:314","","","","","","","","","AuctionYear","","",""
"d1d0f780-3342-4e12-b732-5c8157bcbd75","Pforzheimer Part 3_entry-482.0_MS.137.txt","2814","char-offset:324","","","","","","","","","Lot","","",""
"b7ad9808-e961-44a5-925a-bce2aee307d2","Pforzheimer Part 3_entry-483.0_MS.138.txt","Leeds Papers","char-offset:265","EVENT","","","","","","","","","","",""
"2c3aac71-a65e-4e0c-a903-cdeca918343b","Pforzheimer Part 3_entry-483.0_MS.138.txt","Alfred  Morrison","char-offset:279","PERSON","","","","","","","","","","",""
"fd06a4f7-35ed-434c-8802-6815b60e8bf1","Pforzheimer Part 3_entry-483.0_MS.138.txt","Alfred  Morrison (IV, 1919, Lot 2814).","char-offset:279","EVENT","","","","","","","","","","",""
"6a2fa4e8-3df9-4f0f-afa1-0eaa12dc8e4b","Pforzheimer Part 3_entry-483.0_MS.138.txt","1919","char-offset:301","","","","","","","","","AuctionYear","","",""
"dc2850ae-fe0d-41b5-b582-a991b61b7c30","Pforzheimer Part 3_entry-483.0_MS.138.txt","2814","char-offset:311","","","","","","","","","Lot","","",""
"4f7d88b5-80f5-4025-a3f5-0eb27db1d04c","Pforzheimer Part 3_entry-475.0_MS.130.txt","Sotheby’s","char-offset:297","PERSON","","","","","","","","","","",""
"d9b44743-603a-4d44-9692-33cde8f7278d","Pforzheimer Part 3_entry-475.0_MS.130.txt","Sotheby’s (27 February 1882, Lot 20)","char-offset:297","EVENT","","","","","","","","","","",""
"09c646cf-0f0e-45d3-99ee-ce4a1a8d23e8","Pforzheimer Part 3_entry-475.0_MS.130.txt","1882","char-offset:320","","","","","","","","","AuctionYear","","",""
"9b71938a-897a-4544-86bf-e032928cfc66","Pforzheimer Part 3_entry-475.0_MS.130.txt","20","char-offset:330","","","","","","","","","Lot","","",""
"a2ebb52a-81dd-4f8b-bc3e-05fbcc13ccb4","Pforzheimer Part 3_entry-475.0_MS.130.txt","Alfred Morrison","char-offset:334","PERSON","","","","","","","","","","",""
"cf19c6f0-4079-4133-9ac3-1b5ce6cdd185","Pforzheimer Part 3_entry-475.0_MS.130.txt","Alfred Morrison (IV, 1919, Lot 2814).","char-offset:334","EVENT","","","","","","","","","","",""
"909d2310-b7dc-4fd4-8014-860a550c0a92","Pforzheimer Part 3_entry-475.0_MS.130.txt","1919","char-offset:355","","","","","","","","","AuctionYear","","",""
"a49abb45-3c3e-49b8-aa8d-bd75bdbd1e55","Pforzheimer Part 3_entry-475.0_MS.130.txt","2814","char-offset:365","","","","","","","","","Lot","","",""
"620117bc-f06c-43fd-875b-17fe59cf6b8e","Pforzheimer Part 3_entry-477.0_MS.132.txt","Alfred  Morrison  (IV, 1919, Lot 3027).","char-offset:254","EVENT","","","","","","","","","","",""
"6f0a6403-c2fd-4b4e-b847-077fa8d876f5","Pforzheimer Part 3_entry-477.0_MS.132.txt","Alfred  Morrison","char-offset:254","PERSON","","","","","","","","","","",""
"6c31d138-c3d6-4f95-b69f-6e55a7bd206c","Pforzheimer Part 3_entry-477.0_MS.132.txt","1919","char-offset:277","","","","","","","","","AuctionYear","","",""
"622ebf64-f76d-4f2e-a31a-668149eeb0c8","Pforzheimer Part 3_entry-477.0_MS.132.txt","3027","char-offset:287","","","","","","","","","Lot","","",""
"99674103-0d19-49b1-b89a-e852191fd808","Pforzheimer Part 3_entry-474.0_MS.128.txt","Young  (1869, Lot 271)","char-offset:286","EVENT","","","","","","","","","","",""
"56d18e0f-59f2-403f-aa48-20314c250210","Pforzheimer Part 3_entry-474.0_MS.128.txt","Young","char-offset:286","PERSON","","","","","","","","","","",""
"16f2486e-204f-4e2a-a5c5-acaf14ad1a9a","Pforzheimer Part 3_entry-474.0_MS.128.txt","1869","char-offset:294","","","","","","","","","AuctionYear","","",""
"319481a4-6074-4a1b-9198-3694b0e4e0b0","Pforzheimer Part 3_entry-474.0_MS.128.txt","271","char-offset:304","","","","","","","","","Lot","","",""
"8e7cfd92-4732-4fdb-9700-48956bc48b7e","Pforzheimer Part 3_entry-474.0_MS.128.txt","Alfred Morrison","char-offset:310","PERSON","","","","","","","","","","",""
"efec3684-04dd-4a82-bd47-5ade2a67325a","Pforzheimer Part 3_entry-474.0_MS.128.txt","Alfred Morrison (IV, 1919, Lot 2814).","char-offset:310","EVENT","","","","","","","","","","",""
"d5e25edd-914f-4c68-8723-e3265b552949","Pforzheimer Part 3_entry-474.0_MS.128.txt","1919","char-offset:331","","","","","","","","","AuctionYear","","",""
"ae02221a-d8a7-4742-8449-b49b3517af9b","Pforzheimer Part 3_entry-474.0_MS.128.txt","2814","char-offset:341","","","","","","","","","Lot","","",""
