"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"fde929af-8cec-4d7f-86f6-020d403b3736","Pforzheimer Part 3_entry-366.5_MS.2j.txt","Thorn  Drury (IV, 1932, Lot 2396).","char-offset:304","EVENT","","","","","","","","","","",""
"dcbe3fe2-1649-4f4f-b0d7-2f6efb5bfd42","Pforzheimer Part 3_entry-366.5_MS.2j.txt","Thorn  Drury","char-offset:304","PERSON","","","","","","","","","","",""
"ea88a27c-11fb-47ca-83d4-b9a76874a494","Pforzheimer Part 3_entry-366.5_MS.2j.txt","1932","char-offset:322","","","","","","","","","AuctionYear","","",""
"b45a2ab0-f085-44b3-9f51-ec011d3ac61d","Pforzheimer Part 3_entry-366.5_MS.2j.txt","2396","char-offset:332","","","","","","","","","Lot","","",""
"34c682da-728b-4e58-9940-41a00695fb4a","Pforzheimer Part 3_entry-368.0_MS.2l.txt","Thorn Drury","char-offset:361","PERSON","","","","","","","","","","",""
"85dd0458-a165-470d-9897-c50960f2bf20","Pforzheimer Part 3_entry-368.0_MS.2l.txt","Thorn Drury (IV, 1932, Lot 2396).","char-offset:361","EVENT","","","","","","","","","","",""
"e77c3c0b-4fe7-4bcf-8345-ebb6b45cd7ff","Pforzheimer Part 3_entry-368.0_MS.2l.txt","1932","char-offset:378","","","","","","","","","AuctionYear","","",""
"6d114f02-7039-44ae-acca-8ba37212d02d","Pforzheimer Part 3_entry-368.0_MS.2l.txt","2396","char-offset:388","","","","","","","","","Lot","","",""
"bdcb6aa4-726d-4fea-9804-54059b0ffe4f","Pforzheimer Part 3_entry-369.0_MS.2m.txt","Thorn Drury","char-offset:1159","PERSON","","","","","","","","","","",""
"5ec6882a-d622-4ac4-bca3-c10f51a8677e","Pforzheimer Part 3_entry-369.0_MS.2m.txt","Thorn Drury  (IV, 1932, Lot 2396).","char-offset:1159","EVENT","","","","","","","","","","",""
"640e5128-f570-424a-ac64-68df9b00ca02","Pforzheimer Part 3_entry-369.0_MS.2m.txt","1932","char-offset:1177","","","","","","","","","AuctionYear","","",""
"6c60b7b0-f0b0-45d2-aaf4-17dca3698a8c","Pforzheimer Part 3_entry-369.0_MS.2m.txt","2396","char-offset:1187","","","","","","","","","Lot","","",""
"4ed273fe-4e50-4d4e-b440-bf61ddb33a87","Pforzheimer Part 3_entry-366.0_MS.2i.txt","Thorn  Drury","char-offset:620","PERSON","","","","","","","","","","",""
"334e5cd8-5204-4218-8903-db8dc2bf844a","Pforzheimer Part 3_entry-366.0_MS.2i.txt","Thorn  Drury (IV, 1932, Lot 2396).","char-offset:620","EVENT","","","","","","","","","","",""
"20758a22-aa3d-4581-8969-0328d28f398e","Pforzheimer Part 3_entry-366.0_MS.2i.txt","1932","char-offset:638","","","","","","","","","AuctionYear","","",""
"8998c323-e292-4ff8-a17e-89ed8ff2bd98","Pforzheimer Part 3_entry-366.0_MS.2i.txt","2396","char-offset:648","","","","","","","","","Lot","","",""
"d9f62495-75d4-486b-95fc-a3a50eb7b622","Pforzheimer Part 3_entry-367.0_MS.2k.txt","J.E.Hodgkin (1914, Lot 216)","char-offset:494","EVENT","","","","","","","","","","",""
"f5e25831-d008-41d6-a78d-5fca63fb1317","Pforzheimer Part 3_entry-367.0_MS.2k.txt","J.E.Hodgkin","char-offset:494","PERSON","","","","","","","","","","",""
"d29925e5-12d6-4cc1-8d9c-dd2529ea35db","Pforzheimer Part 3_entry-367.0_MS.2k.txt","1914","char-offset:507","","","","","","","","","AuctionYear","","",""
"9e5d8ef4-7709-4dac-a5af-1a69a07562b5","Pforzheimer Part 3_entry-367.0_MS.2k.txt","216","char-offset:517","","","","","","","","","Lot","","",""
"158a2fcd-fd87-4496-a952-08d65a2cb0d1","Pforzheimer Part 3_entry-367.0_MS.2k.txt","Thorn  Drury","char-offset:522","PERSON","","","","","","","","","","",""
"4bdf26e1-f4c0-4996-8d7e-20cd49663fe5","Pforzheimer Part 3_entry-367.0_MS.2k.txt","Thorn  Drury (IV, 1919, Lot 2396)","char-offset:522","EVENT","","","","","","","","","","",""
"42342ce2-f7e8-4ac7-a730-fa0aaf76a310","Pforzheimer Part 3_entry-367.0_MS.2k.txt","1919","char-offset:540","","","","","","","","","AuctionYear","","",""
"308d0e78-30bb-4f06-bc88-59a025976e37","Pforzheimer Part 3_entry-367.0_MS.2k.txt","2396","char-offset:550","","","","","","","","","Lot","","",""
"8a974f8e-800b-4d1a-96b5-8be4324b9e4a","Pforzheimer Part 3_entry-370.0_MS.2n.txt","Thorn  Drury","char-offset:323","PERSON","","","","","","","","","","",""
"fc0a91cd-dcbc-44df-9671-e3bd9a9d36af","Pforzheimer Part 3_entry-370.0_MS.2n.txt","Thorn  Drury (IV, 1932, Lot 2396).","char-offset:323","EVENT","","","","","","","","","","",""
"48962352-0d2e-477e-a432-1b74e2b723f9","Pforzheimer Part 3_entry-370.0_MS.2n.txt","1932","char-offset:341","","","","","","","","","AuctionYear","","",""
"0cf89048-dc2e-46eb-b694-5a7415d2cee3","Pforzheimer Part 3_entry-370.0_MS.2n.txt","2396","char-offset:351","","","","","","","","","Lot","","",""
"267673f1-b0ef-4d54-86c7-f9d971033043","Pforzheimer Part 3_entry-362.0_MS.2e.txt","Thorn Drury","char-offset:183","PERSON","","","","","","","","","","",""
"3ef53489-0485-4391-9d9e-f08bc10260f5","Pforzheimer Part 3_entry-362.0_MS.2e.txt","Thorn Drury (IV, 1932, Lot 2396).","char-offset:183","EVENT","","","","","","","","","","",""
"5f99783c-5129-49cd-ab29-62ab655e4dfd","Pforzheimer Part 3_entry-362.0_MS.2e.txt","1932","char-offset:200","","","","","","","","","AuctionYear","","",""
"2cf2ab40-ca4d-49d1-a528-579a771cfafd","Pforzheimer Part 3_entry-362.0_MS.2e.txt","2396","char-offset:210","","","","","","","","","Lot","","",""
"341f0565-4c0e-4be6-9195-a79574f8739b","Pforzheimer Part 3_entry-361.0_MS.2d.txt","Thorn  Drury","char-offset:463","PERSON","","","","","","","","","","",""
"c503e713-1b0c-4953-8f7f-2ab6cb6850d1","Pforzheimer Part 3_entry-361.0_MS.2d.txt","Thorn  Drury (IV, 1932, Lot 2396).","char-offset:463","EVENT","","","","","","","","","","",""
"99c38864-c1ce-43b9-8a75-735bb39dc518","Pforzheimer Part 3_entry-361.0_MS.2d.txt","1932","char-offset:481","","","","","","","","","AuctionYear","","",""
"8454a15c-a67a-4c28-acd8-6a6eba13fb93","Pforzheimer Part 3_entry-361.0_MS.2d.txt","2396","char-offset:491","","","","","","","","","Lot","","",""
"34bc5f4f-f314-4db2-bfc9-bf4ab247a287","Pforzheimer Part 3_entry-365.0_MS.2h.txt","Thorn  Drury  (IV, 1932, Lot 2396).","char-offset:301","EVENT","","","","","","","","","","",""
"6b5b2926-8f1f-4c95-b7e0-fd19badafe80","Pforzheimer Part 3_entry-365.0_MS.2h.txt","Thorn  Drury","char-offset:301","PERSON","","","","","","","","","","",""
"34d60d13-7d07-4824-8e46-bf8d5e51f0f6","Pforzheimer Part 3_entry-365.0_MS.2h.txt","1932","char-offset:320","","","","","","","","","AuctionYear","","",""
"6865bfd9-60f0-414c-af81-9c51824b429e","Pforzheimer Part 3_entry-365.0_MS.2h.txt","2396","char-offset:330","","","","","","","","","Lot","","",""
"246e6aee-7231-4c4d-8732-7da4486e1a96","Pforzheimer Part 3_entry-357.0_MS.1s.txt","Pepys Papers","char-offset:257","PERSON","","","","","","","","","","",""
"17a3528f-1aad-45ad-b19e-866f786b3435","Pforzheimer Part 3_entry-357.0_MS.1s.txt","Alfred Morrison (IV, 1919, Lot 2744)","char-offset:271","EVENT","","","","","","","","","","",""
"1b9eda42-112d-457f-8812-b6a8b2c29e00","Pforzheimer Part 3_entry-357.0_MS.1s.txt","Alfred Morrison","char-offset:271","PERSON","","","","","","","","","","",""
"1c6ff7e1-4d78-43bc-9d73-85bda2194e3b","Pforzheimer Part 3_entry-357.0_MS.1s.txt","1919","char-offset:292","","","","","","","","","AuctionYear","","",""
"27316d3f-51f4-433c-beba-e1af9458ccf7","Pforzheimer Part 3_entry-357.0_MS.1s.txt","2744","char-offset:302","","","","","","","","","Lot","","",""
"bd9ec0dd-a211-4cf3-b91e-a283f468aad0","Pforzheimer Part 3_entry-363.0_MS.2f.txt","Thorn  Drury","char-offset:342","PERSON","","","","","","","","","","",""
"f0d112fe-f5f3-4056-aef5-122bc31d982a","Pforzheimer Part 3_entry-363.0_MS.2f.txt","Thorn  Drury (IV, 1919, Lot 2395)-","char-offset:342","EVENT","","","","","","","","","","",""
"cdd75f1f-20b4-46ab-b7be-b03609719c60","Pforzheimer Part 3_entry-363.0_MS.2f.txt","1919","char-offset:360","","","","","","","","","AuctionYear","","",""
"04886087-bd82-4e00-b367-b9c83e873412","Pforzheimer Part 3_entry-363.0_MS.2f.txt","2395","char-offset:370","","","","","","","","","Lot","","",""
"bb5b3ba6-792c-4ccc-85ef-b823dafa98b9","Pforzheimer Part 3_entry-360.0_MS.2c.txt","Thorn Drury  (IV, 1932, Lot 2396).","char-offset:287","EVENT","","","","","","","","","","",""
"9992d13d-26f2-4358-a564-cdceef74c99a","Pforzheimer Part 3_entry-360.0_MS.2c.txt","Thorn Drury","char-offset:287","PERSON","","","","","","","","","","",""
"47328e63-809f-4ea0-9f6a-200f574648c2","Pforzheimer Part 3_entry-360.0_MS.2c.txt","1932","char-offset:305","","","","","","","","","AuctionYear","","",""
"24d1e2d6-c5ab-4511-93cc-8bb92bec3edb","Pforzheimer Part 3_entry-360.0_MS.2c.txt","2396","char-offset:315","","","","","","","","","Lot","","",""
"baffba7e-79a7-4646-a283-a649a8acccdf","Pforzheimer Part 3_entry-358.0_MS.2a.txt","Leeds Papers,","char-offset:332","PERSON","","","","","","","","","","",""
"b2657479-248d-4a4f-bde7-d3cdeb92c092","Pforzheimer Part 3_entry-358.0_MS.2a.txt","Leeds Papers,  No.165","char-offset:332","EVENT","","","","","","","","","","",""
"7e2ff3d9-94de-4222-b103-eef75afbece1","Pforzheimer Part 3_entry-358.0_MS.2a.txt","Alfred Morrison (","char-offset:355","PERSON","","","","","","","","","","",""
"2693ef6f-7015-4cc1-9b3e-3bdeea53dfa3","Pforzheimer Part 3_entry-358.0_MS.2a.txt","Alfred Morrison (IV, 1919, Lot 2744).","char-offset:355","EVENT","","","","","","","","","","",""
