"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"d1e9a5e5-808d-4dc8-993a-edab66173dd4","Pforzheimer Part 2_entry-81.5_472.txt","Sykes (Il,  1824, Lot 1500)","char-offset:937","EVENT","","","","","","","","","","",""
"0beb11c2-9486-4942-8cdb-c0a892ce361f","Pforzheimer Part 2_entry-81.5_472.txt","Sykes","char-offset:937","PERSON","","","","","","","","","","",""
"c451eff6-4cdb-47ea-b464-a56fac892d2f","Pforzheimer Part 2_entry-81.5_472.txt","1824","char-offset:949","","","","","","","","","AuctionYear","","",""
"a7390334-b9c6-4c2e-b4bd-fc822b86304f","Pforzheimer Part 2_entry-81.5_472.txt","1500","char-offset:959","","","","","","","","","Lot","","",""
"b311f904-9009-4e58-991b-a3db1e2b8e09","Pforzheimer Part 2_entry-81.5_472.txt","Pittar (II, 1918, Lot 321)","char-offset:966","EVENT","","","","","","","","","","",""
"21715b6c-d5f6-4ff8-b0f0-e522577a96ca","Pforzheimer Part 2_entry-81.5_472.txt","Pittar","char-offset:966","PERSON","","","","","","","","","","",""
"b114b940-4cee-4c5e-8ed5-be2312af7e75","Pforzheimer Part 2_entry-81.5_472.txt","1918","char-offset:978","","","","","","","","","AuctionYear","","",""
"c938e7bf-ab1f-4ef3-9832-fbff98f116c5","Pforzheimer Part 2_entry-81.5_472.txt","321","char-offset:988","","","","","","","","","Lot","","",""
"8c99c1de-519d-44a2-b818-d03bc431d83a","Pforzheimer Part 2_entry-81.5_472.txt","Clawson","char-offset:995","PERSON","","","","","","","","","","",""
"f24f757f-2188-4e2e-8f46-204d363beabd","Pforzheimer Part 2_entry-81.5_472.txt","Clawson (I, 1926, Lot 396)","char-offset:995","EVENT","","","","","","","","","","",""
"2eb987d7-9f9d-4334-942c-63679e6bf119","Pforzheimer Part 2_entry-81.5_472.txt","1926","char-offset:1007","","","","","","","","","AuctionYear","","",""
"43a73010-0a8b-4ca4-9f7f-8390a761a443","Pforzheimer Part 2_entry-81.5_472.txt","396","char-offset:1017","","","","","","","","","Lot","","",""
"4967e17b-1424-469b-9813-1a87cc5f932e","Pforzheimer Part 2_entry-79.0_469.txt","Sykes (II, 1824, Lot 203)","char-offset:1713","EVENT","","","","","","","","","","",""
"d61bf1ea-f464-442e-a8e8-1f1c7eb51437","Pforzheimer Part 2_entry-79.0_469.txt","Sykes","char-offset:1713","PERSON","","","","","","","","","","",""
"3c24d6de-7038-4dae-9d04-2e362f120902","Pforzheimer Part 2_entry-79.0_469.txt","1824","char-offset:1724","","","","","","","","","AuctionYear","","",""
"1dfc0e4a-ad69-4a7f-b42b-3a2934e4efc9","Pforzheimer Part 2_entry-79.0_469.txt","203","char-offset:1734","","","","","","","","","Lot","","",""
"53c230fe-4f3d-464e-8cd5-f81c2b0c2906","Pforzheimer Part 2_entry-79.0_469.txt","Hibbert (1829, Lot 3916)","char-offset:1742","EVENT","","","","","","","","","","",""
"574a939f-fec9-4f3f-a90b-bd3fd9c7daf8","Pforzheimer Part 2_entry-79.0_469.txt","Hibbert","char-offset:1742","PERSON","","","","","","","","","","",""
"e525c3bd-de57-4235-b6b3-3c3805bf0065","Pforzheimer Part 2_entry-79.0_469.txt","1829","char-offset:1751","","","","","","","","","AuctionYear","","",""
"f0a2418a-2c80-45da-9af3-079cf3f1e691","Pforzheimer Part 2_entry-79.0_469.txt","3916","char-offset:1761","","","","","","","","","Lot","","",""
"7e2378f3-0a20-4e4a-b936-1d12520b2493","Pforzheimer Part 2_entry-79.0_469.txt","J.Dunn Gardner (1854, Lot 1060)","char-offset:1767","EVENT","","","","","","","","","","",""
"4d473574-ad7f-41ed-83e9-0279d080b6cc","Pforzheimer Part 2_entry-79.0_469.txt","J.Dunn Gardner","char-offset:1767","PERSON","","","","","","","","","","",""
"fe78e435-7e01-4a8d-85e7-8612a2fb5b58","Pforzheimer Part 2_entry-79.0_469.txt","1854","char-offset:1783","","","","","","","","","AuctionYear","","",""
"685075bc-441e-46bd-a8b2-ebb7b779bd86","Pforzheimer Part 2_entry-79.0_469.txt","1060","char-offset:1793","","","","","","","","","Lot","","",""
"3397d1d3-8dc1-4ddf-9116-f9f777b94883","Pforzheimer Part 2_entry-79.0_469.txt","Huth","char-offset:1799","PERSON","","","","","","","","","","",""
"6d0bb7ca-efd3-45d1-ae09-48ff88d62e27","Pforzheimer Part 2_entry-79.0_469.txt","Huth (III, 1913, Lot 3636","char-offset:1799","EVENT","","","","","","","","","","",""
"f95ed0b7-0838-4519-a7c0-b02fc8960cd8","Pforzheimer Part 2_entry-79.0_469.txt","1913","char-offset:1810","","","","","","","","","AuctionYear","","",""
"f57bff0b-56f6-44d1-aced-acc948f44aac","Pforzheimer Part 2_entry-79.0_469.txt","3636","char-offset:1820","","","","","","","","","Lot","","",""
"80dd0d2b-d38b-46b6-ab64-ecdcc3602baf","Pforzheimer Part 2_entry-79.0_469.txt","Jones","char-offset:1827","PERSON","","","","","","","","","","",""
"64796153-70d3-4d8c-9272-211e055343dd","Pforzheimer Part 2_entry-79.0_469.txt","Jones (II, 1919, Lot 876)","char-offset:1827","EVENT","","","","","","","","","","",""
"c5146278-6ab1-4127-8dc9-e327f2171c32","Pforzheimer Part 2_entry-79.0_469.txt","1919","char-offset:1838","","","","","","","","","AuctionYear","","",""
"f627f047-0079-4366-bf9d-55b46e7fa316","Pforzheimer Part 2_entry-79.0_469.txt","876","char-offset:1848","","","","","","","","","Lot","","",""
"f492519d-a7d4-4c44-926b-f4484ca25ff5","Pforzheimer Part 2_entry-82.0_473.txt","Bridgewater","char-offset:716","EVENT","","","","","","","","","","",""
"16e4f8e7-c87a-4381-85d2-4c2025a858aa","Pforzheimer Part 2_entry-82.0_473.txt","Huntington (VII, 1918, Lot 420)","char-offset:729","EVENT","","","","","","","","","","",""
