"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"7544180f-7503-4b6a-9e18-c308f000caf6","Pforzheimer Part 2_entry-31.0_428.txt","‘ordonstoun (untraced in sale)","char-offset:1520","EVENT","","","","","","","","","","",""
"8ee041eb-2e9d-4028-862b-3e0460d6e988","Pforzheimer Part 2_entry-31.0_428.txt","ordonstoun","char-offset:1521","PERSON","","","","","","","","","","",""
"5f8f1830-2d9b-473c-8bc1-83a818029346","Pforzheimer Part 2_entry-31.0_428.txt","J.D.Gardner","char-offset:1551","PERSON","","","","","","","","","","",""
"3777ec75-6d22-4605-bb36-fe5d19452ff1","Pforzheimer Part 2_entry-31.0_428.txt","J.D.Gardner  (1854, Lot 855)","char-offset:1551","EVENT","","","","","","","","","","",""
"d2c74d2d-e6a9-4d21-ba5d-f1824568f5d8","Pforzheimer Part 2_entry-31.0_428.txt","1854","char-offset:1566","","","","","","","","","AuctionYear","","",""
"556cc8f8-e8b3-4e2c-bd48-1e05e732efdf","Pforzheimer Part 2_entry-31.0_428.txt","855","char-offset:1576","","","","","","","","","Lot","","",""
"38b09541-73b8-4752-8587-ae49f3d0ecc0","Pforzheimer Part 2_entry-31.0_428.txt","Britwell","char-offset:1583","PERSON","","","","","","","","","","",""
"9a79c6e9-9562-44b4-bd5a-e85daa968975","Pforzheimer Part 2_entry-31.0_428.txt","Britwell (1919, Lot 51)","char-offset:1583","EVENT","","","","","","","","","","",""
"52665395-d997-4af4-8be4-88e896016c94","Pforzheimer Part 2_entry-31.0_428.txt","1919","char-offset:1593","","","","","","","","","AuctionYear","","",""
"2a664208-d893-47cb-b0d7-2632be67dc91","Pforzheimer Part 2_entry-31.0_428.txt","51","char-offset:1603","","","","","","","","","Lot","","",""
"b1f43f32-ebf0-4b67-b9e9-8ad1b74a678c","Pforzheimer Part 2_entry-31.0_428.txt","Clawson","char-offset:1607","PERSON","","","","","","","","","","",""
"d7eaf6d2-6ffc-4559-8eca-a6dd091d7c69","Pforzheimer Part 2_entry-31.0_428.txt","Clawson (I, 1926, Lot 326)","char-offset:1607","EVENT","","","","","","","","","","",""
