"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"026cd993-e5cc-4fee-bd3b-d87d89b03e18","Pforzheimer Part 1_entry-146.0_106.txt","The Shakespeare Library (I, 1918, Lot 129)","char-offset:871","EVENT","","","","","","","","","","",""
"d10d4712-20db-447a-9645-58228187bd62","Pforzheimer Part 1_entry-146.0_106.txt","The Shakespeare Library","char-offset:871","PERSON","","","","","","","","","","",""
"4b65bbfa-2ae4-4a38-824d-33361359bdd9","Pforzheimer Part 1_entry-146.0_106.txt","1918","char-offset:899","","","","","","","","","AuctionYear","","",""
"64854749-ef95-4867-b9e8-25fcd2d47d88","Pforzheimer Part 1_entry-146.0_106.txt","129","char-offset:909","","","","","","","","","Lot","","",""
"6b84ad1b-8781-4cd9-bacf-d7056abf9c44","Pforzheimer Part 1_entry-117.0_85.txt","The Kemble (1800)","char-offset:683","EVENT","","","","","","","","","","",""
"422656eb-451a-4b95-b5b7-ca45a62cd12b","Pforzheimer Part 1_entry-117.0_85.txt","The Kemble","char-offset:683","PERSON","","","","","","","","","","",""
"ba7cd4f0-e11f-4864-8f5e-667f62266dbf","Pforzheimer Part 1_entry-117.0_85.txt","1800","char-offset:695","","","","","","","","","AuctionYear","","",""
"36dcb7b9-b174-41f9-aee4-2b93c33da0cb","Pforzheimer Part 1_entry-117.0_85.txt","Devonshire","char-offset:704","PERSON","","","","","","","","","","",""
"96ce5900-cb49-4534-8a62-a0a622cb2eea","Pforzheimer Part 1_entry-117.0_85.txt","Huntington (private)","char-offset:716","PERSON","","","","","","","","","","",""
"7ea67029-e130-4bfe-bd4c-b7d2cd75fdbd","Pforzheimer Part 1_entry-120.0_86-104.txt","The Heber (IV, 1804, Lot 2476)","char-offset:304","EVENT","","","","","","","","","","",""
"46f4e821-78d1-4c5e-97b0-f3c89a80bfe6","Pforzheimer Part 1_entry-120.0_86-104.txt","The Heber","char-offset:304","PERSON","","","","","","","","","","",""
"809b49cb-bd80-4a86-af95-7932441f5795","Pforzheimer Part 1_entry-120.0_86-104.txt","1804","char-offset:319","","","","","","","","","AuctionYear","","",""
"53b41337-2e37-456f-b549-6a39053406a7","Pforzheimer Part 1_entry-120.0_86-104.txt","2476","char-offset:329","","","","","","","","","Lot","","",""
"ee664856-40ea-4933-9ee5-1cd61054c1a2","Pforzheimer Part 1_entry-120.0_86-104.txt","Britwell","char-offset:337","PERSON","","","","","","","","","","",""
"c3a1d217-50ea-43b6-9b06-3d1912b6bfbf","Pforzheimer Part 1_entry-120.0_86-104.txt","Britwell (1925, Lot 401)","char-offset:337","EVENT","","","","","","","","","","",""
"9fa01ab8-091f-4377-bc7e-f4f02c3ea621","Pforzheimer Part 1_entry-120.0_86-104.txt","1925","char-offset:347","","","","","","","","","AuctionYear","","",""
"2b9e21ce-b8f2-4810-b805-cdeb09585ee0","Pforzheimer Part 1_entry-120.0_86-104.txt","401","char-offset:357","","","","","","","","","Lot","","",""
"c026960d-3bc5-4dcc-9904-4e2e6e98afdb","Pforzheimer Part 1_entry-149.0_108.txt","The Bridgewater","char-offset:673","EVENT","","","","","","","","","","",""
"afcf279d-0a0a-4c89-a3d2-10ae63a37ebb","Pforzheimer Part 1_entry-149.0_108.txt","Huntington","char-offset:690","PERSON","","","","","","","","","","",""
"8a543b94-2236-4d78-9899-ae954b66b277","Pforzheimer Part 1_entry-149.0_108.txt","Huntington (VII, 1918,  Lot 52)","char-offset:690","EVENT","","","","","","","","","","",""
"8cdd6065-6b0e-4273-9bd6-2437829dac6c","Pforzheimer Part 1_entry-149.0_108.txt","1918","char-offset:707","","","","","","","","","AuctionYear","","",""
"40b14d79-0ac6-4d56-9880-3e413be0d32e","Pforzheimer Part 1_entry-149.0_108.txt","52","char-offset:718","","","","","","","","","Lot","","",""
"682e0aee-857a-40a3-8a73-fa8d9fc7b7c8","Pforzheimer Part 1_entry-149.0_108.txt","Clawson","char-offset:722","PERSON","","","","","","","","","","",""
"a26f2c94-e299-4093-a9cd-bb507a02dd60","Pforzheimer Part 1_entry-149.0_108.txt","Clawson (I, 1926, Lot 94)","char-offset:722","EVENT","","","","","","","","","","",""
"997dce23-dbe6-4fbb-a16b-221b37aa5254","Pforzheimer Part 1_entry-149.0_108.txt","1926","char-offset:734","","","","","","","","","AuctionYear","","",""
"ded3ce05-4119-47a6-b122-055e748836cf","Pforzheimer Part 1_entry-149.0_108.txt","94","char-offset:744","","","","","","","","","Lot","","",""
"e5ed1690-419c-4b7a-8e93-d87789d26b59","Pforzheimer Part 1_entry-110.0_79.txt","The Hoe","char-offset:2633","PERSON","","","","","","","","","","",""
"79415995-35d9-4446-aca8-33917e42fff7","Pforzheimer Part 1_entry-110.0_79.txt","The Hoe (II, 1912, Lot 549)","char-offset:2633","EVENT","","","","","","","","","","",""
"2146aa92-9489-467a-97ac-42a857e81e93","Pforzheimer Part 1_entry-110.0_79.txt","1912","char-offset:2646","","","","","","","","","AuctionYear","","",""
"cbbaf5df-db46-4059-8894-24f915e0f0be","Pforzheimer Part 1_entry-110.0_79.txt","549","char-offset:2656","","","","","","","","","Lot","","",""
"e2d70694-3d98-4689-af99-bc8ded60ca8e","Pforzheimer Part 1_entry-110.0_79.txt","Hagen (1918,  Lot 81)","char-offset:2663","EVENT","","","","","","","","","","",""
"46154c5f-63b1-4bc2-ba7d-7c056794f411","Pforzheimer Part 1_entry-110.0_79.txt","Hagen","char-offset:2663","PERSON","","","","","","","","","","",""
"a260ece7-f686-47cb-88e9-531bafcc9d49","Pforzheimer Part 1_entry-110.0_79.txt","1918","char-offset:2670","","","","","","","","","AuctionYear","","",""
"6639c846-6a69-4271-bfb7-179ec88398cc","Pforzheimer Part 1_entry-110.0_79.txt","81","char-offset:2681","","","","","","","","","Lot","","",""
"524dac52-77a1-4777-bdbb-cde0fadb609c","Pforzheimer Part 1_entry-113.0_82.txt","The Shakespeare Library","char-offset:2114","PERSON","","","","","","","","","","",""
"eed10433-0515-425f-b30a-a42d12358c26","Pforzheimer Part 1_entry-113.0_82.txt","The Shakespeare Library (I, 1918, Lot 125)","char-offset:2114","EVENT","","","","","","","","","","",""
"00a69dcc-7429-4875-a163-bf916912e8e5","Pforzheimer Part 1_entry-113.0_82.txt","1918","char-offset:2142","","","","","","","","","AuctionYear","","",""
"cdc42a5e-d30b-4b1e-a4e2-a706552a2887","Pforzheimer Part 1_entry-113.0_82.txt","125","char-offset:2152","","","","","","","","","Lot","","",""
"54a4afcd-8ad9-4285-a111-af3e8ba41fb4","Pforzheimer Part 1_entry-116.0_83.txt","From the Lamport Hall collection (discovered in 1867 and added in 1893 to the  Britwell Library)","char-offset:759","EVENT","","","","","","","","","","",""
"ede174ef-2e71-417e-8e9d-f6fb6425acd1","Pforzheimer Part 1_entry-116.0_83.txt","Lamport Hall collection","char-offset:768","PERSON","","","","","","","","","","",""
"e62c671b-61b4-483d-9d3b-98108515c8eb","Pforzheimer Part 1_entry-116.0_83.txt","1893","char-offset:825","","","","","","","","","AuctionYear","","",""
"88e8f946-0093-4229-b390-3ff4575d81d7","Pforzheimer Part 1_entry-116.0_83.txt","Britwell sale, 1923, Lot 82.","char-offset:862","EVENT","","","","","","","","","","",""
"64029c80-8c8f-4f37-a3d9-a1b99c767cab","Pforzheimer Part 1_entry-116.0_83.txt","Britwell","char-offset:862","PERSON","","","","","","","","","","",""
"848a5f83-67e2-4ef3-bd80-f0431e776c7a","Pforzheimer Part 1_entry-116.0_83.txt","1923","char-offset:877","","","","","","","","","AuctionYear","","",""
"c15835b9-ae33-4666-9647-cc7f6ec39cf5","Pforzheimer Part 1_entry-116.0_83.txt","82","char-offset:887","","","","","","","","","Lot","","",""
"daffe6e1-2d35-4afc-a0c0-83a1a60eb419","Pforzheimer Part 1_entry-144.0_105.txt","The J.H.Purdy (1917, Lot 78)","char-offset:1257","EVENT","","","","","","","","","","",""
