"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"de8cd528-011f-4085-bfd5-dcfc17504b00","Pforzheimer Part 1_entry-84.0_60.txt","The Shakespeare Library (II, 1918, Lot 43)","char-offset:1949","EVENT","","","","","","","","","","",""
"17ac9ba8-0d6c-4a89-b7a9-1830f9ce70dd","Pforzheimer Part 1_entry-84.0_60.txt","The Shakespeare Library","char-offset:1949","PERSON","","","","","","","","","","",""
"00bd1d89-e0f0-46b4-afef-f3e4f62979a9","Pforzheimer Part 1_entry-84.0_60.txt","1918","char-offset:1978","","","","","","","","","AuctionYear","","",""
"955a4f7b-3df6-43c5-9d79-3cddba17fcfc","Pforzheimer Part 1_entry-84.0_60.txt","43","char-offset:1988","","","","","","","","","Lot","","",""
"25909d1f-34f3-4012-b782-135fb9aa04d3","Pforzheimer Part 1_entry-89.0_64.txt","The James W. Ellsworth (private)","char-offset:1383","EVENT","","","","","","","","","","",""
"ecfee09e-101f-4faf-898a-90fd59e46bbd","Pforzheimer Part 1_entry-89.0_64.txt","James W. Ellsworth","char-offset:1387","PERSON","","","","","","","","","","",""
"fd3dc201-bd06-4354-aa5b-04e2c3652258","Pforzheimer Part 1_entry-77.0_54.txt","The Duke of Leeds (1896, Lot 170)","char-offset:1447","EVENT","","","","","","","","","","",""
"e6492182-6e6c-4de6-b921-89631f1580dc","Pforzheimer Part 1_entry-77.0_54.txt","The Duke of Leeds","char-offset:1447","PERSON","","","","","","","","","","",""
"8166d734-0261-49e7-8b05-6283b63a9699","Pforzheimer Part 1_entry-77.0_54.txt","1896","char-offset:1466","","","","","","","","","AuctionYear","","",""
"fdb7d0f0-ed2b-43da-9797-d5070d263181","Pforzheimer Part 1_entry-77.0_54.txt","170","char-offset:1476","","","","","","","","","Lot","","",""
"a5fbfaea-824e-4889-b0dd-162867dd7118","Pforzheimer Part 1_entry-77.0_54.txt","Hagen","char-offset:1484","PERSON","","","","","","","","","","",""
"04d1dbb7-bcc3-4819-a7da-4da099e088ad","Pforzheimer Part 1_entry-77.0_54.txt","Hagen (1918, Lot 36)","char-offset:1484","EVENT","","","","","","","","","","",""
"8b7d3c6c-12d1-4bd8-bc96-beed0d0efb75","Pforzheimer Part 1_entry-77.0_54.txt","1918","char-offset:1491","","","","","","","","","AuctionYear","","",""
"ead2cb2c-5bbb-4379-b504-01bab0f20226","Pforzheimer Part 1_entry-77.0_54.txt","36","char-offset:1501","","","","","","","","","Lot","","",""
"1736fcd2-7d08-49a1-a5a4-e7b88756263f","Pforzheimer Part 1_entry-80.0_56.txt","The Sidney Herbert (1916, Lot 46)","char-offset:925","EVENT","","","","","","","","","","",""
"5eac29a5-3513-4db5-b91b-aba111ada5cd","Pforzheimer Part 1_entry-80.0_56.txt","Sidney Herbert","char-offset:929","PERSON","","","","","","","","","","",""
