"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"4b21fd07-8824-41a3-9e0b-28e997a86b4e","Pforzheimer Part 3_entry-44.0_818.txt","English Literature from  London  (1919, Lot 80)","char-offset:773","EVENT","","","","","","","","","","",""
"9e829c6b-b880-4769-82bb-fb7d3af37e1f","Pforzheimer Part 3_entry-44.0_818.txt","English Literature from  London","char-offset:773","PERSON","","","","","","","","","","",""
"911050ec-3f5c-48c3-b89d-b8219d161fbf","Pforzheimer Part 3_entry-44.0_818.txt","1919","char-offset:807","","","","","","","","","AuctionYear","","",""
"fc0c1912-9225-4f1d-82e2-8825e01d84cf","Pforzheimer Part 3_entry-44.0_818.txt","80","char-offset:817","","","","","","","","","Lot","","",""
"340b8f04-27f4-4857-95a2-29f8c919f1c8","Pforzheimer Part 3_entry-54.0_MS 108.txt","Edward Copleston, Bishop of Llandaff","char-offset:331","PERSON","","","","","","","","","","",""
"3d5d34fb-bade-4b4a-82bb-f361df2b7bec","Pforzheimer Part 3_entry-54.0_MS 108.txt","Edward Copleston, Bishop of Llandaff (1850)","char-offset:331","EVENT","","","","","","","","","","",""
"049e3e77-3dc1-4eee-b18c-7609e66583b9","Pforzheimer Part 3_entry-54.0_MS 108.txt","1850","char-offset:369","","","","","","","","","AuctionYear","","",""
"5d757252-5e6e-4d4d-8447-ab0b7f26502b","Pforzheimer Part 3_entry-54.0_MS 108.txt","Dillon","char-offset:375","PERSON","","","","","","","","","","",""
"a2bf3ed4-6b76-44ab-8d46-8740f6d30d78","Pforzheimer Part 3_entry-54.0_MS 108.txt","Dillon (1869)","char-offset:375","EVENT","","","","","","","","","","",""
"2714bc4b-fecd-4542-b0e6-4be2a2725245","Pforzheimer Part 3_entry-54.0_MS 108.txt","1869","char-offset:383","","","","","","","","","AuctionYear","","",""
"b0596848-e89f-43ed-b5b1-fc7088d897ff","Pforzheimer Part 3_entry-54.0_MS 108.txt","Morrison (IV, 1919, Lot                                  3056)","char-offset:389","EVENT","","","","","","","","","","",""
"a667519d-5fb2-49fd-b748-12e0ec486501","Pforzheimer Part 3_entry-54.0_MS 108.txt","Morrison","char-offset:389","PERSON","","","","","","","","","","",""
"e40e4100-8ddb-4e6d-a6af-89080ea16e52","Pforzheimer Part 3_entry-54.0_MS 108.txt","1919","char-offset:403","","","","","","","","","AuctionYear","","",""
"ac51dec1-8717-4f02-aa11-d6d947bcc360","Pforzheimer Part 3_entry-45.0_819.txt","Dillon (I, 1869,                                     Lot 488)","char-offset:1202","EVENT","","","","","","","","","","",""
"62dad310-5f6e-4a69-af31-6047d671a26e","Pforzheimer Part 3_entry-45.0_819.txt","Dillon","char-offset:1202","PERSON","","","","","","","","","","",""
"c8ed275e-c144-4091-9138-483afeba3577","Pforzheimer Part 3_entry-45.0_819.txt","1869","char-offset:1213","","","","","","","","","AuctionYear","","",""
"51b07a3d-5ba8-4bbd-b40c-637ee8874a9e","Pforzheimer Part 3_entry-45.0_819.txt","488","char-offset:1259","","","","","","","","","Lot","","",""
"fc4bf902-a1a5-4fbd-ac96-4b07661c1366","Pforzheimer Part 3_entry-45.0_819.txt","Morrison (IV, 1919, Lot 3058)","char-offset:1266","EVENT","","","","","","","","","","",""
"027bdeca-9f91-4986-8ddb-a2a7c2926bb5","Pforzheimer Part 3_entry-45.0_819.txt","Morrison","char-offset:1266","PERSON","","","","","","","","","","",""
"b86de795-6e31-4ec5-9d33-bb41cad084be","Pforzheimer Part 3_entry-45.0_819.txt","1919","char-offset:1280","","","","","","","","","AuctionYear","","",""
"a3038944-3559-46fd-912f-1978efadfe0d","Pforzheimer Part 3_entry-45.0_819.txt","3058","char-offset:1290","","","","","","","","","Lot","","",""
