"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"0a6cf79c-86dc-47b0-b811-e4888262a13e","Pforzheimer Part 1_entry-194.0_145.txt","Huth (II, 1912, Lot  1471)","char-offset:831","EVENT","","","","","","","","","Not sure this is actually where Pforz. go it-- they seem uncertain that this is indeed the Huth copy
","",""
"f4c41795-700c-4531-89f8-5843c81acbc4","Pforzheimer Part 1_entry-194.0_145.txt","Huth","char-offset:831","PERSON","","","","","","","","","","",""
"62764d9b-b26d-493f-a51f-87eab8cef19f","Pforzheimer Part 1_entry-194.0_145.txt","1912","char-offset:841","","","","","","","","","AuctionYear","","",""
"77e0aae9-7f05-423d-83cd-0c9f494e6fbc","Pforzheimer Part 1_entry-194.0_145.txt","1471","char-offset:852","","","","","","","","","Lot","","",""
"5cfb2b16-0a58-43c6-8d1a-c4bfd88cba93","Pforzheimer Part 1_entry-196.0_147.txt","The Huth (II, 1912, Lot 1475)","char-offset:870","EVENT","","","","","","","","","","",""
"03c1fa81-4a62-410d-8b7b-e15eaab53b9b","Pforzheimer Part 1_entry-196.0_147.txt","The Huth","char-offset:870","PERSON","","","","","","","","","","",""
"d997e8a9-3151-4c07-9222-c97531154202","Pforzheimer Part 1_entry-196.0_147.txt","1912","char-offset:884","","","","","","","","","AuctionYear","","",""
"c83a1c7c-e1c2-4108-bd99-bd5e2fdbf9cf","Pforzheimer Part 1_entry-196.0_147.txt","1475","char-offset:894","","","","","","","","","Lot","","",""
"b7bc70cb-ab8d-4fa3-a8b5-643d04462ac5","Pforzheimer Part 1_entry-196.0_147.txt","W.A. White","char-offset:901","PERSON","","","","","","","","","","",""
"b130583d-7844-473f-9864-ca8cd77f7ac2","Pforzheimer Part 1_entry-196.0_147.txt","W.A. White  (private)","char-offset:901","EVENT","","","","","","","","","","",""
"8f5fc390-c74f-45ee-b344-2ae4ee73f044","Pforzheimer Part 1_entry-192.0_143.txt","The British Museum duplicate (1788)","char-offset:1009","EVENT","","","","","","","","","","",""
"d511bd3b-3879-45e9-a762-22e6e0e10d0d","Pforzheimer Part 1_entry-192.0_143.txt","British Museum","char-offset:1013","PERSON","","","","","","","","","","",""
"d1fe6e31-d5d2-424e-a918-427a4b12f5f1","Pforzheimer Part 1_entry-192.0_143.txt","1788","char-offset:1039","","","","","","","","","AuctionYear","","",""
"b0abf5fe-4261-4eec-a1d6-35242c803cb7","Pforzheimer Part 1_entry-192.0_143.txt","Baron  Bolland","char-offset:1047","PERSON","","","","","","","","","","",""
"7e923b64-1bbc-41da-a703-0208227b4c91","Pforzheimer Part 1_entry-192.0_143.txt","Baron  Bolland (1840)","char-offset:1047","EVENT","","","","","","","","","","",""
"d1664fea-69f9-4982-a143-b216d02e79a3","Pforzheimer Part 1_entry-192.0_143.txt","1840","char-offset:1063","","","","","","","","","AuctionYear","","",""
"8b78d9d3-f465-4a53-b39a-91aad4913cec","Pforzheimer Part 1_entry-192.0_143.txt","Sewall","char-offset:1070","PERSON","","","","","","","","","","",""
"0f01c83e-5ddd-4e16-9be8-d4c119c67cee","Pforzheimer Part 1_entry-192.0_143.txt","Sewall (1896, Lot 692)","char-offset:1070","EVENT","","","","","","","","","","",""
"b39a4415-fcd9-4b50-a661-79905fd870f5","Pforzheimer Part 1_entry-192.0_143.txt","1896","char-offset:1078","","","","","","","","","AuctionYear","","",""
"b71fb3db-fcb7-4133-87ed-bf0301af7c5a","Pforzheimer Part 1_entry-192.0_143.txt","692","char-offset:1088","","","","","","","","","Lot","","",""
"205725b7-c299-42f9-9609-70fcd15b8a78","Pforzheimer Part 1_entry-192.0_143.txt","White (private)","char-offset:1095","EVENT","","","","","","","","","","",""
"12ee244a-81ef-4053-9b40-65d1576ef624","Pforzheimer Part 1_entry-192.0_143.txt","White","char-offset:1095","PERSON","","","","","","","","","","",""
"954cf2fd-bbcc-4ea1-a736-8cf4fb55e0a9","Pforzheimer Part 1_entry-183.0_137.txt","The Henry Chandos Pole Gell (1904, Lot  74)","char-offset:1465","EVENT","","","","","","","","","","",""
"aee0343e-9efb-4fbe-8bff-b7f6fb9a9fd6","Pforzheimer Part 1_entry-183.0_137.txt","he Henry Chandos Pole Gell","char-offset:1466","PERSON","","","","","","","","","","",""
"2a51c337-b8bb-48dd-9837-d313c15fc34a","Pforzheimer Part 1_entry-183.0_137.txt","1904","char-offset:1494","","","","","","","","","AuctionYear","","",""
"6cefdcb3-e352-4a0a-93ed-89b807826f27","Pforzheimer Part 1_entry-183.0_137.txt","74","char-offset:1505","","","","","","","","","Lot","","",""
"3032b091-5f74-499e-96f6-285619c1a882","Pforzheimer Part 1_entry-183.0_137.txt","Jones (I, 1918, Lot 288)","char-offset:1509","EVENT","","","","","","","","","","",""
"68a01e45-a088-402e-8ac4-0b921fa30219","Pforzheimer Part 1_entry-183.0_137.txt","Jones","char-offset:1509","PERSON","","","","","","","","","","",""
"64add4f3-a45d-4686-a085-5caf568d8b9e","Pforzheimer Part 1_entry-183.0_137.txt","1918","char-offset:1519","","","","","","","","","AuctionYear","","",""
"6b5701ec-0154-45fc-bf2f-8f3755f6fad0","Pforzheimer Part 1_entry-183.0_137.txt","288","char-offset:1529","","","","","","","","","Lot","","",""
"b72ed960-97d1-436d-a2db-87760ecc62f6","Pforzheimer Part 1_entry-185.0_139.txt","The Hoe","char-offset:1272","PERSON","","","","","","","","","","",""
"373c00d2-9c66-4fd1-a051-7bf8934bbd76","Pforzheimer Part 1_entry-185.0_139.txt","The Hoe (III, 1912, Lot 2387)","char-offset:1272","EVENT","","","","","","","","","","",""
"701016d0-91e2-495d-b551-3615863770c3","Pforzheimer Part 1_entry-185.0_139.txt","1912","char-offset:1286","","","","","","","","","AuctionYear","","",""
"6cf0b128-85e3-43f8-9fc6-147dbe743cbf","Pforzheimer Part 1_entry-185.0_139.txt","2387","char-offset:1296","","","","","","","","","Lot","","",""
"0bb6c8d2-9d1b-485d-ac1f-d4cba88dcf0c","Pforzheimer Part 1_entry-185.0_139.txt","Huntington","char-offset:1304","PERSON","","","","","","","","","","",""
"15e4839f-998a-437b-8757-85a38175af1d","Pforzheimer Part 1_entry-185.0_139.txt","Huntington  (IX, 1918, Lot 423)","char-offset:1304","EVENT","","","","","","","","","","",""
"7fe5335f-b010-429c-af08-3426b15a1929","Pforzheimer Part 1_entry-185.0_139.txt","1918","char-offset:1321","","","","","","","","","AuctionYear","","",""
