"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"673230cd-78b0-4318-a3cd-d2accb4b26b1","Pforzheimer Part 3_entry-468.0_MS.122.txt","Pepys Papers","char-offset:420","EVENT","","","","","","","","","","",""
"10176a18-45de-40c8-9179-8e324b9d9fff","Pforzheimer Part 3_entry-468.0_MS.122.txt","Alfred Morrison","char-offset:434","PERSON","","","","","","","","","","",""
"c4ee512c-4e0f-4b19-b439-f0ab04de40a2","Pforzheimer Part 3_entry-468.0_MS.122.txt","Alfred Morrison (IV, 1919, Lot 2754).","char-offset:434","EVENT","","","","","","","","","","",""
"c2a19c33-e772-4c7e-84b2-0bbfa700f99a","Pforzheimer Part 3_entry-468.0_MS.122.txt","1919","char-offset:455","","","","","","","","","AuctionYear","","",""
"078ade88-3e6f-402b-9a57-212f672f424f","Pforzheimer Part 3_entry-468.0_MS.122.txt","2754","char-offset:465","","","","","","","","","Lot","","",""
"5c77799b-b717-4456-ba4c-e9eb0417de2a","Pforzheimer Part 3_entry-469.0_MS.123.txt","Alfred Morrison  (IV, 1919, Lot 2754).  ","char-offset:229","EVENT","","","","","","","","","","",""
"ad0591ad-cbcc-4c29-8452-34d6123f2d3d","Pforzheimer Part 3_entry-469.0_MS.123.txt","Alfred Morrison","char-offset:229","PERSON","","","","","","","","","","",""
"a1844f3a-1ec7-4b26-bf65-a93221e4f4e8","Pforzheimer Part 3_entry-469.0_MS.123.txt","1919","char-offset:251","","","","","","","","","AuctionYear","","",""
"f89dc946-4851-45b2-9107-f643f1933721","Pforzheimer Part 3_entry-469.0_MS.123.txt","2754","char-offset:261","","","","","","","","","Lot","","",""
"cd1cc23d-bf39-42b0-8a85-523898f48ee5","Pforzheimer Part 3_entry-467.5_MS.121.txt","Pepys Papers","char-offset:375","EVENT","","","","","","","","","","",""
"cc8a6c00-ab7b-4944-93c0-633b237cd76e","Pforzheimer Part 3_entry-467.5_MS.121.txt","Alfred  Morrison (IV, 1919, Lot 3027).","char-offset:390","EVENT","","","","","","","","","","",""
"148aae24-5a8b-4c9f-bf6e-ee3a00cdd08d","Pforzheimer Part 3_entry-467.5_MS.121.txt","Alfred  Morrison","char-offset:390","PERSON","","","","","","","","","","",""
"47db3b8a-2fb9-40ce-87ff-0c3d54d6f004","Pforzheimer Part 3_entry-467.5_MS.121.txt","1919","char-offset:412","","","","","","","","","AuctionYear","","",""
"43ae1bf3-a8a7-4297-ac55-9b4764c681a5","Pforzheimer Part 3_entry-467.5_MS.121.txt","3027","char-offset:422","","","","","","","","","Lot","","",""
"f8e50abb-6cda-4d99-8af5-dbbb9a726236","Pforzheimer Part 3_entry-457.0_MS.104c.txt","Pepys Papers","char-offset:259","EVENT","","","","","","","","","","",""
"5373452b-8ddf-4498-8a9c-2cd037050bfb","Pforzheimer Part 3_entry-457.0_MS.104c.txt","Alfred Morrison","char-offset:273","PERSON","","","","","","","","","","",""
"d3a923c4-4a44-43d5-b088-dba1c72660a3","Pforzheimer Part 3_entry-457.0_MS.104c.txt","Alfred Morrison (IV, 1919, Lot 2678)","char-offset:273","EVENT","","","","","","","","","","",""
"c17d9fd3-954f-44c5-932e-e4ecde229936","Pforzheimer Part 3_entry-457.0_MS.104c.txt","1919","char-offset:294","","","","","","","","","AuctionYear","","",""
"d75ae6bc-75e7-448b-9fd2-63ce2957e3b6","Pforzheimer Part 3_entry-457.0_MS.104c.txt","2678","char-offset:304","","","","","","","","","Lot","","",""
"3c85e725-788b-45bb-a6b8-6025788e121f","Pforzheimer Part 3_entry-467.0_MS.120.txt","Alfred Morrison","char-offset:379","PERSON","","","","","","","","","","",""
"55ba4e88-6534-49e8-96f9-ad5aea6ee20f","Pforzheimer Part 3_entry-467.0_MS.120.txt","Alfred Morrison (IV, 1919, Lot 3027).","char-offset:379","EVENT","","","","","","","","","","",""
"028bff57-7722-4355-baea-5399f545083a","Pforzheimer Part 3_entry-467.0_MS.120.txt","1919","char-offset:400","","","","","","","","","AuctionYear","","",""
"07adda57-07c1-4f6a-b39d-214d9b43de2d","Pforzheimer Part 3_entry-467.0_MS.120.txt","3027","char-offset:410","","","","","","","","","Lot","","",""
"35ded7d6-ec28-4ed9-85e1-07ebea39e410","Pforzheimer Part 3_entry-458.0_MS.104d.txt","Alfred Morrison  (IV, 1919, Lot 2709).","char-offset:309","EVENT","","","","","","","","","","",""
"f9ac7330-3971-4bf9-acd0-667c4ac495e1","Pforzheimer Part 3_entry-458.0_MS.104d.txt","Alfred Morrison","char-offset:309","PERSON","","","","","","","","","","",""
"e630d1b1-adc5-471f-923d-804154ed237a","Pforzheimer Part 3_entry-458.0_MS.104d.txt","1919","char-offset:331","","","","","","","","","AuctionYear","","",""
"1b161e8e-f9a6-4ee1-bd83-6695ea6c4f6a","Pforzheimer Part 3_entry-458.0_MS.104d.txt","2709","char-offset:341","","","","","","","","","Lot","","",""
