"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"948ec555-6541-417a-a140-5a3edd7d6424","Pforzheimer Part 2_entry-261.0_625.txt","John Miller of Dunstable","char-offset:2702","PERSON","","","","","","","","","","",""
"d7ae4215-7bbb-4d03-b276-b5f3dd86e227","Pforzheimer Part 2_entry-261.0_625.txt","Britwell (1926, Lot 552, resold July 1927, Lot 102)","char-offset:2727","EVENT","","","","","","","","","","",""
"f6caf70e-1f3c-48ec-a96d-a4e0ae578ed7","Pforzheimer Part 2_entry-261.0_625.txt","Britwell","char-offset:2727","PERSON","","","","","","","","","","",""
"b23eb475-e3c7-4fc1-bbec-3f7dfcf9ac55","Pforzheimer Part 2_entry-261.0_625.txt","1926","char-offset:2737","","","","","","","","","AuctionYear","","",""
"ae00cf5a-4c45-48a5-96c0-ee98ad3fb686","Pforzheimer Part 2_entry-261.0_625.txt","552","char-offset:2747","","","","","","","","","Lot","","",""
"f3e225c0-64e5-44a7-bfed-dcac0c73f1c0","Pforzheimer Part 2_entry-254.0_621.txt","he library at Gaddesden  Place, Hemel Hempstead, the property of Sir Walter Halsey, Bt., sold Sotheby’s 19 April 1932s  Lot 331f.","char-offset:1531","EVENT","","","","","","","","","","",""
"c49518aa-8eb7-4618-976c-15f47b90ee6a","Pforzheimer Part 2_entry-254.0_621.txt","Sir Walter Halsey, Bt","char-offset:1597","PERSON","","","","","","","","","","",""
"360f0e86-a72e-48da-a031-d66f99b33a52","Pforzheimer Part 2_entry-254.0_621.txt","1932s","char-offset:1645","","","","","","","","","AuctionYear","1932?","",""
"fd31ce3b-b535-4bab-bcd4-bcf4395e08b3","Pforzheimer Part 2_entry-254.0_621.txt","331f","char-offset:1656","","","","","","","","","Lot","","",""
"eb60ca9a-39d3-4319-9baf-0e2c4faa38d7","Pforzheimer Part 2_entry-257.0_622.txt","British Museum","char-offset:1241","PERSON","","","","","","","","","","",""
"9ea4c3a7-f7d5-4fe3-ac4d-e35c477ce391","Pforzheimer Part 2_entry-257.0_622.txt","British Museum duplicate  (stamped 1787, but not listed in 1788 sale)","char-offset:1241","EVENT","","","","","","","","","","",""
"89471cad-c761-492d-8cf1-ffd2a31fadb4","Pforzheimer Part 2_entry-257.0_622.txt","1787","char-offset:1276","","","","","","","","","AuctionYear","","",""
"8d25e39d-2bfa-442e-9aab-245a234ccfba","Pforzheimer Part 2_entry-257.0_622.txt","Edwin Freshfield","char-offset:1311","PERSON","","","","","","","","","","",""
"dad7ce9a-a31e-44d7-8327-86872990db00","Pforzheimer Part 2_entry-257.0_622.txt","Edwin Freshfield (1933, Lot 144)","char-offset:1311","EVENT","","","","","","","","","","",""
"821c3e38-ef34-497f-972c-ebc1b0cc5c0b","Pforzheimer Part 2_entry-257.0_622.txt","1933","char-offset:1329","","","","","","","","","AuctionYear","","",""
"fef7c463-bfc6-45c2-a789-8877971e1830","Pforzheimer Part 2_entry-257.0_622.txt","144","char-offset:1339","","","","","","","","","Lot","","",""
"b67af3bf-b693-4f0c-be50-e0a1edeeeeb2","Pforzheimer Part 2_entry-264.5_629.txt","Huth","char-offset:1412","PERSON","","","","","","","","","","",""
"7f77bff4-4726-4f4d-8c3a-a44b0f32cc26","Pforzheimer Part 2_entry-264.5_629.txt","Huth (IV, 1914,  Lot 4505)","char-offset:1412","EVENT","","","","","","","","","","",""
"f07ff385-3f6f-4ade-88ae-712596b966b1","Pforzheimer Part 2_entry-264.5_629.txt","1914","char-offset:1422","","","","","","","","","AuctionYear","","",""
