"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"6fd0fc37-65ec-4ff7-9618-9f7e242d19b0","Pforzheimer Part 3_entry-225.0_987.txt","Mostyn (1919, Lot 326)","char-offset:1344","EVENT","","","","","","","","","","",""
"1904594a-b639-4056-83d4-cb5c95e76dba","Pforzheimer Part 3_entry-225.0_987.txt","Mostyn","char-offset:1344","PERSON","","","","","","","","","","",""
"9664eb13-4e8c-4980-93b0-9d2d0491126d","Pforzheimer Part 3_entry-225.0_987.txt","1919","char-offset:1352","","","","","","","","","AuctionYear","","",""
"d845151f-168d-4f00-9cb7-8ada294fdabb","Pforzheimer Part 3_entry-225.0_987.txt","326","char-offset:1362","","","","","","","","","Lot","","",""
"5ec3155c-4af3-4fa7-b1e1-85a40146b86d","Pforzheimer Part 3_entry-225.0_987.txt","Clawson","char-offset:1369","PERSON","","","","","","","","","","",""
"3e7f293f-766d-4a4f-b4c3-6bca426b96ff","Pforzheimer Part 3_entry-225.0_987.txt","Clawson (II, 1926, Lot 800)","char-offset:1369","EVENT","","","","","","","","","","",""
"a5b63eae-101a-480d-89ac-87b75f971a3c","Pforzheimer Part 3_entry-225.0_987.txt","1926","char-offset:1382","","","","","","","","","AuctionYear","","",""
"8556e85f-2e6d-42dc-9e78-cf70cb6b33c3","Pforzheimer Part 3_entry-225.0_987.txt","800","char-offset:1392","","","","","","","","","Lot","","",""
"4c33fed7-ef4a-4813-ac1d-c882cfbd6a39","Pforzheimer Part 3_entry-220.0_980.txt","Hagen","char-offset:4564","PERSON","","","","","","","","","","",""
"4f6dd043-55c6-482b-b3b7-d71b96b8e9a2","Pforzheimer Part 3_entry-220.0_980.txt","Hagen (1918, Lot                                  1182) c","char-offset:4564","EVENT","","","","","","","","","","",""
