"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"5ea8fdf0-9e30-43b5-9c64-fc68644bdda9","Pforzheimer Part 2_entry-198.0_569.txt","Hagen (1918, Lot 692)","char-offset:1092","EVENT","","","","","","","","","","",""
"0320a557-4b01-4833-8d42-e6000217aaac","Pforzheimer Part 2_entry-198.0_569.txt","Hagen","char-offset:1092","PERSON","","","","","","","","","","",""
"aefafe09-d192-4ea4-b332-58652975e334","Pforzheimer Part 2_entry-198.0_569.txt","1918","char-offset:1099","","","","","","","","","AuctionYear","","",""
"0d20dec3-fd15-43ed-996e-cfab98d62c31","Pforzheimer Part 2_entry-198.0_569.txt","692","char-offset:1109","","","","","","","","","Lot","","",""
"c97e849c-750d-4e25-8951-bc33f0a6ebf0","Pforzheimer Part 2_entry-194.0_565.txt","Lefferts","char-offset:1019","PERSON","","","","","","","","","","",""
"ab0d0c9e-c94b-4472-83ce-bd6692451c0f","Pforzheimer Part 2_entry-194.0_565.txt","Lefferts (1902, Lot 811)","char-offset:1019","EVENT","","","","","","","","","","",""
"a92037da-28f5-4971-b905-31d5718bb313","Pforzheimer Part 2_entry-194.0_565.txt","1902","char-offset:1029","","","","","","","","","AuctionYear","","",""
"db3376b3-60ee-4295-b1e8-038808c692e9","Pforzheimer Part 2_entry-194.0_565.txt","811","char-offset:1039","","","","","","","","","Lot","","",""
"71af130f-e9e5-4a45-910a-e0883cc3ebf4","Pforzheimer Part 2_entry-194.0_565.txt","Hoe","char-offset:1046","PERSON","","","","","","","","","","",""
"afc108de-8726-472c-912e-ac6355368fbc","Pforzheimer Part 2_entry-194.0_565.txt","Hoe (IV, 191,  Lot 1789)","char-offset:1046","EVENT","","","","","","","","","","",""
"bc8b8a01-b8a7-4a40-a525-65e33fd9044b","Pforzheimer Part 2_entry-194.0_565.txt","191","char-offset:1055","","","","","","","","","AuctionYear","1911?","",""
