"source","relation","target","source_id","source_tags","target_id","target_tags"
"Mostyn","Sold to","Clawson","d7f8d703-3f8a-4aa3-9a8b-8ef97fb1cfbd","","062b15eb-2b62-4ee5-b03f-3152ab9a2be9",""
"Sir Henry Spelman","Sold to","Rev. Cox Macro","9ba6fa81-8e18-440e-b8ac-f0bf36304c3d","","a3806a17-f9bd-4671-a0e5-2f0e73475c56",""
"G.D.Smith","Sold to","Clawson","bd423c95-1bd3-4f42-9273-f077d7a514e3","","290d1608-2d1d-46ad-ae22-d581666f11ff",""
"Tite","Sold to","Huth","a6a55750-e55d-4f11-8eda-77a116a3f646","","cf8e47e1-c657-45de-bd0d-3732839ad4ac",""
"Inglis","Sold to","Britwell","2c1243ee-48c3-4a5d-9938-f3db21b005d1","","575c082b-3bbc-4d90-bd05-323af3157ebf",""
"Mostyn","Sold to","Clawson","6364fd06-9392-4cc1-9c09-25831a42369c","","4e9408ec-bae5-4c2a-9da1-c012bcbe1cbd",""
"Bliss","Sold to","Hoe","491cb858-23f8-4b7b-8c0a-1fc276a82614","","cf74bc69-042e-484a-9f76-eecec9a5079e",""
"Mostyn","Sold to","G.D.Smith","462d0391-3fc8-42bf-b432-1c184207a0c9","","bd423c95-1bd3-4f42-9273-f077d7a514e3",""
"Mostyn","Sold to","Clawson","83253abb-e3bd-450e-b50f-d7a17db4986a","","2b6445e2-6b65-4a9f-ad0d-ad713476ab3b",""
"Jones","Sold to","Clawson","7add1bf3-a8e2-4acf-b8b6-3b85a8b54cf5","","69e921ab-33a3-467f-81b3-63547fd4bc3a",""
"Puttick’s","Next in chain","Jones","c535f5ba-69d2-4db3-97c3-c15f732241c1","","7add1bf3-a8e2-4acf-b8b6-3b85a8b54cf5",""
"Rev. Cox Macro","Next in chain","John Pattenson, M.P. for Norwich","a3806a17-f9bd-4671-a0e5-2f0e73475c56","","906317cd-d1c1-4e9c-abec-1318367dc0b0",""
"John Pattenson, M.P. for Norwich","Sold to","Hudson Gurney","906317cd-d1c1-4e9c-abec-1318367dc0b0","","32c22df7-cc30-419b-ab3f-39aa3bf55529",""
"Hoe","Sold to","Huntington","cf74bc69-042e-484a-9f76-eecec9a5079e","","b9b044af-a03e-4979-9fa6-de64d7f7b48d",""
"Mostyn","Sold to","Clawson","8eb9beed-c998-4023-911f-9f5aec325ff7","","03392e8f-9d13-4cc7-889f-97527f67b2be",""
"Corser","Sold to","Tite","b3b0b90c-8a8e-4f70-8a83-4e8e01e95402","","a6a55750-e55d-4f11-8eda-77a116a3f646",""
"Huth","Sold to","Jones","cf8e47e1-c657-45de-bd0d-3732839ad4ac","","168fb8e6-39fa-4b90-b160-c7f50d2a44c2",""
