"source","relation","target","source_id","source_tags","target_id","target_tags"
"Crossleyt","Sold to","Pearson","ce51ee96-29e6-4376-b746-58141d9292a1","","4b401f62-413f-4892-b251-0c48f39b2ab0",""
"Pearson","Sold to","Jones","4b401f62-413f-4892-b251-0c48f39b2ab0","","124d4e55-4152-45a2-8ae4-c9448113afb7",""
"Heber","Sold to","Crossleyt","ac6427cb-7e20-4257-bb0a-a5bec2fe1485","","ce51ee96-29e6-4376-b746-58141d9292a1",""
"George Smith","Sold to","Huth","13c6de35-f8b2-4da5-92f0-4f29e9d539cd","","489c86f0-4406-4d6e-9eba-6aea07a4c2ec",""
"Bindley","Sold to","Hibbert","7bd5c93d-5e49-4937-af21-b05db93efc2c","","a21278ab-4268-4d5b-8298-c306e730fdd8",""
"Steevens","Sold to","B.A.P.","bc70a1cc-ae93-4e89-9b2a-fdb419b3b402","","5efef098-c1b2-4d3e-973b-0d3fb11136a9",""
"Heber","Sold to","Britwell","69ed41ad-d4a2-4398-8bef-abc1b663b369","","56e9d9d3-aed8-431a-8998-3a02631ca8d0",""
"Lefferts","Sold to","Hagen","2ba970de-85c8-41d2-a3d1-d81ca84bd669","","22a1c2c5-4f88-452c-a206-98da96cc1877",""
"Heber","Sold to","Britwell","4ddb75db-18c0-4c94-8391-34009919029e","","85fe233d-4093-4d77-8a7b-fb39425d2046",""
"Chalmers","Sold to","Corser","e06b5c55-ed9c-4d8e-80aa-44d2114498c9","","b6846b70-0675-4af7-b49a-35cfb340479a",""
"Hibbert","Sold to","Daniel","a21278ab-4268-4d5b-8298-c306e730fdd8","","f4e939eb-25ef-4561-8be2-7691bf518c71",""
"Bowle","Sold to","Chalmers","98f14361-3cef-436c-9960-3e6a1f953bd7","","e06b5c55-ed9c-4d8e-80aa-44d2114498c9",""
"Corser","Sold to\","Huth","b6846b70-0675-4af7-b49a-35cfb340479a","","1af79e4f-343c-48a0-8b8a-bfe92253fb26",""
"Bright","Sold to","Heber","3ccf6f62-869f-494a-90aa-7b2a50c1937c","","ac6427cb-7e20-4257-bb0a-a5bec2fe1485",""
"Sykes","Sold to","Heber","14a35bc7-5f73-4685-9eee-7aa45efc18e5","","69ed41ad-d4a2-4398-8bef-abc1b663b369",""
"B.A.P.","Sold to","Heber","5efef098-c1b2-4d3e-973b-0d3fb11136a9","","4ddb75db-18c0-4c94-8391-34009919029e",""
"Daniel","Sold to","Huth","f4e939eb-25ef-4561-8be2-7691bf518c71","","07be1597-a855-4f3d-b27f-10dcc3917b7f",""
"Bridgewater","Sold to","Huntington","0d374fea-7850-470a-9f31-ad4de7f90249","","6e0e1015-84d9-4711-9653-a47672fa5184",""
"Daniel","Sold to","Huth","b0721947-6592-4976-b041-2d9737e58c79","","f2d756e7-42c7-43b3-a798-79d3ee27cb7b",""
