"source","relation","target","source_id","source_tags","target_id","target_tags"
"Steeves","Sold to","Jones","749a6bf0-6984-4cd7-b950-434d111d4b59","","5f7d9432-4211-46da-8786-f17b042bbc38",""
"H.W.Poor","Sold to","Huntington","25296b52-3d8a-4ae5-bc58-9fd2f0b8fd2d","","152e00a0-25a9-4fb7-97d5-349e08fcc666",""
"Sykes","Sold to","Pittar","0beb11c2-9486-4942-8cdb-c0a892ce361f","","21715b6c-d5f6-4ff8-b0f0-e522577a96ca",""
"Huth","Sold to","Jones","3397d1d3-8dc1-4ddf-9116-f9f777b94883","","80dd0d2b-d38b-46b6-ab64-ecdcc3602baf",""
"C.C.Jones Jr.","Sold to","C.L.F. 
Robinson","869e4562-f49d-4d43-a9c1-f37814c52a14","","bb1a8c9b-28d7-47e7-ae35-ba656cf277d4",""
"Tyssen","Sold to","Heber","819402b0-20b3-4db1-a118-3fe19c5e0b4d","","aae8cbbc-bd10-44b5-a2db-8fa38dc05169",""
"Heber","Sold to","Britwell","aae8cbbc-bd10-44b5-a2db-8fa38dc05169","","06c57e7a-8832-43d2-a054-425c5088017b",""
"W.H.Arnold","Sold to","D.F. Appleton","11f24ed8-6aac-4505-98dc-69836e0155e1","","7b5db80f-83c0-444d-80b5-1fe018033c2c",""
"Hibbert","Sold to","J.Dunn Gardner","574a939f-fec9-4f3f-a90b-bd3fd9c7daf8","","4d473574-ad7f-41ed-83e9-0279d080b6cc",""
"J.Dunn Gardner","Sold to","Huth","4d473574-ad7f-41ed-83e9-0279d080b6cc","","3397d1d3-8dc1-4ddf-9116-f9f777b94883",""
"Sykes","Sold to","Hibbert","d61bf1ea-f464-442e-a8e8-1f1c7eb51437","","574a939f-fec9-4f3f-a90b-bd3fd9c7daf8",""
"John Vincent","Sold to","Ralph Sheldon","1737d041-06c0-4ad3-bc9c-f47048bba75a","","7fb77021-c4de-41ad-a795-001fa920e776",""
"Lefferts","Sold to","Hagen","f471a110-4eee-4997-9df2-0ea6077b21de","","3a44a22b-fcb0-4d9a-b9cb-2b5e28ee9676",""
"Pittar","Sold to","Clawson","21715b6c-d5f6-4ff8-b0f0-e522577a96ca","","8c99c1de-519d-44a2-b818-d03bc431d83a",""
"Bridgewater","Sold to","Huntington","f492519d-a7d4-4c44-926b-f4484ca25ff5","","b88e7d0f-e864-4fcb-b40c-c866f789ef7d",""
"Huntington","Sold to","Clawson","b88e7d0f-e864-4fcb-b40c-c866f789ef7d","","df6b68ef-ceb1-457f-bc2f-ddb7833d4ecc",""
"D.F. Appleton","Sold to","H.W.Poor","7b5db80f-83c0-444d-80b5-1fe018033c2c","","25296b52-3d8a-4ae5-bc58-9fd2f0b8fd2d",""
"Ralph Sheldon","Sold to","Tyssen","7fb77021-c4de-41ad-a795-001fa920e776","","819402b0-20b3-4db1-a118-3fe19c5e0b4d",""
"Lefferts","Sold to","Huntington","e5f59406-1601-4a2e-899c-f4a19f79c539","","32f63750-2a39-40f2-9115-066c26bcf437",""
"John Tudor Frere","Sold to","Lefferts","6975b7e2-3d26-4689-bf0e-ce42c5c59f96","","f471a110-4eee-4997-9df2-0ea6077b21de",""
"Pembroke","Sold to","Clawson","94bc7b90-d8c3-4eb6-a495-280483b2dc29","","7ed70311-eaa9-4c24-927b-687281c7d3a6",""
