"source","relation","target","source_id","source_tags","target_id","target_tags"
"Bright","Sold to","Britwell","28d02041-e03d-4983-af98-c6e3a112f218","","78b6cdd6-175a-47f2-b182-17fc17ed1536",""
"Rhodes","Sold to","Britwell","8300f8a8-2c9a-425f-bc87-8496ca613711","","701f60eb-f6dd-40ce-b714-1cbbc11fe747",""
"Saunders","Sold to","Britwell","4b7713ca-c78b-4002-9cd9-cd8bdae9648c","","e8e7622a-23b7-4af3-93b4-4369260ea19b",""
"Rev.Henry  White","Sold to","Saunders","5cbcf1cc-f71a-428a-ae39-23fa48643cc3","","4b7713ca-c78b-4002-9cd9-cd8bdae9648c",""
"Bridgewater","Sold to","Huntington","85138648-417a-4bd1-b953-27792bddeb6c","","ab1bc666-8ca2-4474-82cf-c0bcb608118c",""
"Devonshire","Sold to","Huntington","d5c1d8bf-1a7e-42b5-90b3-725ed12557c0","","acf111ec-efa2-4769-ae6b-fafb51bfb5a4",""
"Hoe","Sold to","Hunting- 
              ton","e038a612-e6e4-4255-b701-d6cb31c45078","","992dc006-1974-401c-b1bf-ae657f240653",""
"Poor","Sold to","Huntington","18a48eb0-0a20-43c9-a593-1ff152f05a4c","","99045aab-f4ac-4f09-8bb1-5ca90500a053",""
"John Tomlinson","Sold to","Lefferts","fb77edd3-46d5-414f-ac7b-6a68e5013000","","babd8cad-5290-4a62-9d90-3f02a691eee6",""
"Ashburnham","Sold to","J.T. Adams","59f8dbfe-c0d9-4a23-b4c5-10baf81b39be","","8bbb0d55-4c73-4cb5-bace-9e2a40f206fc",""
"Lefferts","Sold to","Poor","babd8cad-5290-4a62-9d90-3f02a691eee6","","18a48eb0-0a20-43c9-a593-1ff152f05a4c",""
