"source","relation","target","source_id","source_tags","target_id","target_tags"
"J.G.Rebow","Sold to","C.G, 
                               Milnes Gaskell","3e99b588-d18b-4021-be00-a4cb37ca4e73","","b72746f4-6956-4d83-b4b7-6f6c357abb69",""
"Lefferts","Sold to","Hagen","05fea090-d47f-41cf-b984-387730018851","","df1cd0d0-46e4-4dcc-bd48-06a995e41f82",""
"Heber","Sold to","Lefferts","4a731d80-d198-4d04-80d0-38c29b9ef824","","77c4a4bb-521d-4c79-ac7c-44ca88a24ebf",""
"Holgate","Sold to","Britwell","b18ed394-1d65-4db8-a203-4054ce9bbbb9","","4a78279b-c330-46c2-9cbc-546e1dc6b4b5",""
"Heber","Sold to","Britwell","1e5f0cc3-194b-4d23-823c-d4c1b3d99c07","","2dd647b5-8075-4d8d-95aa-eab5d5777528",""
"Lefferts","Sold to","Hagen","77c4a4bb-521d-4c79-ac7c-44ca88a24ebf","","2d32a943-c2e3-4a97-adff-3050f191ae05",""
"Daniel","Sold to","Huth","a84101e0-76ad-4cc4-be26-91eb3220036f","","8123bf1c-da34-4c8c-9a38-ca53ffb8dd89",""
"Huth","Sold to","Clawson","8123bf1c-da34-4c8c-9a38-ca53ffb8dd89","","e3a57d73-535b-4d2b-8740-aca7ce9d666e",""
"McKee","Sold to","Chew","ca477894-db48-41ae-8b85-789fe48b3407","","dc8df75f-e121-4c36-8f64-2fc8103b67fc",""
"James Wyllie Guild","Sold to","Bierstadt","2464b246-dc91-4636-a0d0-946b39c19f57","","01b2e8de-f446-473d-bf51-16a7fc59d962",""
"Heber","Sold to","Britwell","7d9f89ec-84e7-4e67-8ce1-1d8fe9169c5d","","1b3f4a16-d88b-40f1-b0c2-a2ac4d1db95d",""
"Fillingham","Sold to","Heber","63d1c493-6a6f-4edc-8029-43c465c5511d","","7d9f89ec-84e7-4e67-8ce1-1d8fe9169c5d",""
"Bierstadt","Sold to","Lefferts","01b2e8de-f446-473d-bf51-16a7fc59d962","","05fea090-d47f-41cf-b984-387730018851",""
"Fillingham","Sold to","Heber","62e3fae9-b4cd-449c-bd32-8993bd8ab67a","","1e5f0cc3-194b-4d23-823c-d4c1b3d99c07",""
"Chew","Sold to","Huntington","dc8df75f-e121-4c36-8f64-2fc8103b67fc","","ef1fb969-9a55-4628-89de-74227b36f62d",""
"William Bayntun of Gray’s Inn","Sold to","Heber","ffd452ea-f70a-43e3-bc63-f2c27bdd5c87","","4a731d80-d198-4d04-80d0-38c29b9ef824",""
