"source","relation","target","source_id","source_tags","target_id","target_tags"
"Lefferts","Sold to","Hagen","744a7998-1419-422f-821b-00e64841cd97","","04fcf3aa-c040-4ec9-84db-faa3f80464a8",""
"Bridgewater","Sold to","Huntington","7eec5fa3-c220-448d-9b62-5aa3552f19a5","","6d0baa49-2d31-4641-9d85-fae3ab10504b",""
"Lefferts","Sold to","Hagen","fc57f95a-2603-49a5-adbc-b29e81d330f0","","66416945-01c4-4c2d-b0e1-e6aaa5c70fcb",""
"Bridgewater","Sold to","Huntington","5038fa43-6332-4ea1-b994-a517c822502c","","b6f5ca41-6ef3-49fd-a280-9e090c940310",""
"Lefferts","Sold to","Hagen","1d3eabe2-cfc7-4230-a468-a4b54586fef7","","5d1106a2-b264-4b46-a6fe-70588234fe9e",""
"Pepys Papers!","Sold to","Alfred Morrison","1d29f1ac-bc18-4034-9548-f9dbf83a0fbd","","d5dfdd3a-fd25-4945-af7d-bef76ea851cd",""
"Kemble","Sold to","Devonshire","c2615ae2-7388-4866-99da-0fc40d2e3d8f","","6969674b-1c82-4a52-9117-0036c5fa7686",""
"Mostyn","Sold to","Clawson","dea62075-6ff5-40a2-80d9-be13521e1ef3","","8b0f51ca-e5f2-40cc-a918-04c8c87b7ae9",""
"Lefferts","Sold to","Hagen","cc5d271f-579e-4262-ac82-71b2bf6e2feb","","8c3b0c75-ba1f-4942-bb4b-c52dd80275d7",""
"Lefferts","Sold to","Hagen","c180db95-08c5-4247-b33d-c11e6ffac50c","","4d1b1a9f-55e7-427b-9d16-6ddd7627229b",""
"Devonshire","Sold to","Huntington","6969674b-1c82-4a52-9117-0036c5fa7686","","b98232a4-9cfd-4fc4-a879-8ccec12ffede",""
"Foun- 
               taine","Sold to","Jones","46bde187-2db4-4e7a-a73d-9a14541bd50f","","5c1a3782-7c94-416d-b9de-15f6a708a824",""
"Arbury","Sold to","Smith","35530d8c-cebe-40d8-9e1a-fa8ffa2b9c3f","","f3a25686-4ad4-4078-a112-c75a210d8ce7",""
