"source","relation","target","source_id","source_tags","target_id","target_tags"
"Heber","Sold to","Holgate","7e5c6781-db80-47eb-8293-fa3a3c893d99","","e7b231f9-2d35-4ffd-9018-83730ed6e5ef",""
"Jones","Sold to","Clawson","fe534900-93c3-4a9a-ab4c-5b91d4654b4f","","893eaace-0ef8-4cd0-b700-a1309616a411",""
"Devonshire","Sold to","Huntington","f81da2de-b5f8-46db-8dd9-dfe81c25fdaf","","cd670bba-ec5b-4cd5-a9b8-7d3f6255692b",""
"Corser","Sold to","Britwell","ca7be10c-4fa0-4df2-a179-f71ae54ce3b3","","986286de-922b-4b67-b4fc-2fba9d5ed1c2",""
"Kemble","Sold to","Devonshire","681399ce-c754-4d19-bf7c-b9aa63558894","","f81da2de-b5f8-46db-8dd9-dfe81c25fdaf",""
"Holgate","Sold to","Knight","e7b231f9-2d35-4ffd-9018-83730ed6e5ef","","31b94aa5-f06b-4a58-a0b6-369e191b0ef8",""
"Kemble","Sold to","Devonshire","9cafc6ee-f5c5-45a8-a92f-6f33eed87773","","982493ea-6bdb-44b1-b1fa-2345b9829505",""
"Heber","Sold to","Corser","9e3ce55b-aeaf-4aa7-b43a-f6e81180b7f7","","ca7be10c-4fa0-4df2-a179-f71ae54ce3b3",""
"Huntington","Sold to","Jones","91279d12-f3c7-476d-9d87-d513f43953c6","","7f08d377-f8da-4f2b-b7cd-0cb9c0ea3301",""
"Jones","Sold to","Clawson","93f285b6-7360-4031-bd6e-6f1234818b74","","239c741e-ee32-4888-a51b-eb0387552793",""
"Devonshire","Sold to","Huntington","982493ea-6bdb-44b1-b1fa-2345b9829505","","b9faa520-de6b-455d-826f-cf45688c96c5",""
"Bridgewater","Sold to","Huntington","0fbfa6c7-a090-4ca4-b151-2e682158d09c","","91279d12-f3c7-476d-9d87-d513f43953c6",""
"Lamport 
Hall","Next in chain","Britwell","76c854d4-60a0-4220-886e-b705f4d0323a","","9597ac2f-657e-4751-a14a-77d3b898b915",""
"Huntington","Sold to","Jones","5a1cab70-1bb7-45fd-9052-fe625e3d231c","","fe534900-93c3-4a9a-ab4c-5b91d4654b4f",""
"Hoe","Sold to","Huntington","2bb9c091-eda9-4bab-adf2-2bc93e4b1acf","","5a1cab70-1bb7-45fd-9052-fe625e3d231c",""
"Britwell","Sold to","Jones","ebdb036e-2984-4e94-bc5c-5b3dd477bb63","","93f285b6-7360-4031-bd6e-6f1234818b74",""
"Heber","Sold to","Britwell","471c200e-d346-45d7-a1bd-abaa0d3ae6f0","","ebdb036e-2984-4e94-bc5c-5b3dd477bb63",""
"Kemble","Sold to","Devonshire","527c501f-cfb9-445d-8022-935fc2fc5490","","babec5d0-e5dc-490c-a481-910d23af5b99",""
"Devonshire","Sold to","Huntington","babec5d0-e5dc-490c-a481-910d23af5b99","","8c6b0c7a-9227-484b-a3c5-9d7e8150bc4d",""
