"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"a898efbf-edda-455c-9eda-08da4bf8ac2c","Tite_entries_entry-434.0_nero-cvii.txt","James Ussher","char-offset:1293","PERSON","","","","","","","","Uncertain Person","","",""
"a6fc1e5c-3cd2-4601-9149-3b6bca102e1c","Tite_entries_entry-434.0_nero-cvii.txt","James Ussher (or William Laud or George Abbot),        ? €.1634 (135.1: (2) this, (1) Jul. D.ITI or Faust. B.IV, or        (2) Claud, E.IV)","char-offset:1293","","","","","","","","","Loan","","",""
"775d3a7c-eb8f-4186-9606-cbc3d82864d0","Tite_entries_entry-434.0_nero-cvii.txt","William Laud","char-offset:1310","PERSON","","","","","","","","Uncertain Person","","",""
"0d02f94a-f830-4f02-9e1e-91d85fd5d71e","Tite_entries_entry-434.0_nero-cvii.txt","George Abbot","char-offset:1326","PERSON","","","","","","","","Uncertain Person","","",""
"3ff2ca79-8b7e-4eb9-8cc4-448e83bcd04d","Tite_entries_entry-434.0_nero-cvii.txt","? €.1634","char-offset:1348","","","","","","","","","Date|Uncertain Date","","",""
"e0208120-2df2-4f59-9b24-059a41afd6c1","Tite_entries_entry-434.0_nero-cvii.txt","135.1","char-offset:1358","","","","","","","","","List Reference","","",""
"f4c301a8-1a9b-4263-8d69-032f95c6ed51","Tite_entries_entry-434.0_nero-cvii.txt","(2) this, (1) Jul. D.ITI or Faust. B.IV, or        (2) Claud, E.IV","char-offset:1365","","","","","","","","","Uncertain Book","","",""
"0815d285-e54f-4ada-9029-1f343ad35fb6","Tite_entries_entry-434.0_nero-cvii.txt","Ussher (or Laud or Abbot), ? ¢.1634       (135.2: (2) this or Claud. E.IV, or (1) Jul. D.III or Faust,        B.IV);","char-offset:1434","","","","","","","","","Loan","","",""
"2dfc7a5e-c216-43fa-8878-29f94a180adc","Tite_entries_entry-434.0_nero-cvii.txt","Ussher","char-offset:1434","PERSON","","","","","","","","Uncertain Person","","",""
"20e98579-f42e-4918-89e9-b316ea50158c","Tite_entries_entry-434.0_nero-cvii.txt","Laud","char-offset:1445","PERSON","","","","","","","","Uncertain Person","","",""
"0166f690-88bf-4e70-810f-1eb1c82ceaf1","Tite_entries_entry-434.0_nero-cvii.txt","Abbot","char-offset:1453","PERSON","","","","","","","","Uncertain Person","","",""
"18f45e0e-f77e-4f0f-8ace-dc99a9dc9539","Tite_entries_entry-434.0_nero-cvii.txt","? ¢.1634","char-offset:1461","","","","","","","","","Date|Uncertain Date","","",""
